Pi_lo,Pi_hi,n,fr,overtune_rate,kp_simple_median,kp_ceiling_median,kp_full_median,mean_Pi
0,50,1539,0.06757634827810266,0.1507472384665367,31.19,126.66666666666667,69.63,19.641598201645007
50,100,439,0.09339407744874716,0.27107061503416857,46.78,76.0,81.89,69.99922727752973
100,150,175,0.12,0.2914285714285714,43.14,76.0,81.89,123.17049339262866
150,200,84,0.23809523809523808,0.34523809523809523,36.68,76.0,81.89,171.39317034349597
200,300,83,0.3132530120481928,0.3855421686746988,46.78,76.0,70.18,248.8617457054698
300,500,55,0.5818181818181818,0.43636363636363634,43.14,76.0,50.74,388.4926055264628
500,1000,23,0.6956521739130435,0.5652173913043478,295.07,76.0,46.78,649.8566333295131
