rocket_id,regime,theta_ddot,Iyy,motor_scale,max_gimbal_deg,servo_slew_deg_s,latency_steps,A_deg,T_u_s,K_u,probe_rms,probe_slew_sat
R0819,EASY,0.7943056829694835,0.0910231924028307,0.5505208264747103,2.090191664222629,188.6815996091125,2,11.921971761769125,0.5,10.232005398906248,7.350381360528262,0.0
R1434,EASY,2.973575614380925,0.0669506258508015,1.0889147733831663,2.909778089733978,96.10420033342344,3,5.961520690420537,0.5,28.485611824075,3.767268481642134,0.0
R0393,EASY,3.85370770681674,0.0992561406762505,0.659541442155681,9.23026560798823,153.11786456771347,5,3.768676708571568,0.5,142.93811574070165,2.4407015051870236,0.1736666666666667
R1930,EASY,4.737481779253717,0.0872722875787525,2.315476152444045,2.8418668865536643,175.4939883375486,2,4.563992486180828,0.5,36.339717675071626,2.6561257282667556,0.0
R2237,EASY,5.553780824748463,0.0799691681116318,0.8367049162366637,8.448101553003372,146.86866016028245,3,2.4273538750436243,0.5,203.118166998448,1.5078026755857543,0.19433333333333336
R2369,EASY,6.240547136928456,0.08380678141151,0.6484356405619929,12.83675002630656,108.13158945790256,4,3.6519342849258507,0.5,205.14213363619092,2.2898724643830746,0.33866666666666667
R0684,EASY,6.849996980592588,0.0964698458532663,2.7782114583536828,3.785618088530405,161.33022472150014,2,3.650477638972011,1.8033333333333335,60.52152234459831,2.169730039009112,0.0
R0634,EASY,7.60860523811945,0.0451699640203169,1.1517400536432163,4.749199985350863,69.93021475559067,3,5.889721194719071,0.5,47.05962466230049,3.4318300105146493,0.529
R1396,EASY,8.430857529117464,0.0334053388487308,0.6547068184261424,6.846378408168532,70.90513453212981,5,6.188468597718434,0.5,64.565489206684,4.037167734776274,0.5166666666666667
R1687,EASY,9.294148246192186,0.0742588270278969,2.4120199757965084,4.55404074349803,135.88837522321046,4,3.7646883247454577,0.5,70.5977114177923,2.3361354411000486,0.0
R1325,EASY,10.19825123373663,0.0497320299325489,1.421531030178011,5.678396056482423,169.07286852666198,2,3.5725517497762107,0.5,92.76195435636215,2.3228492082635417,0.0
R1329,EASY,10.956759528889592,0.0786937101355815,2.0279329416390275,6.766883398750683,199.2265941665734,3,3.2711309733859233,1.8033333333333335,120.72952666188583,2.0913915464521056,0.0
R1110,EASY,12.022195101098983,0.062821215334683,0.8856698282591712,13.571829254761097,179.1342266299086,6,2.1748166575137167,1.8033333333333335,364.1987698278638,1.3907683665431432,0.11266666666666666
R2383,EASY,12.965597388973508,0.0353516549135924,2.7379052404688244,2.6644280646112675,148.09730282589277,5,5.848341201346422,0.5,26.588512137475167,3.4561930271370036,0.0
R2358,EASY,13.716724983916333,0.0730669285899659,1.2843508264416863,12.419603907069591,163.6526866350413,3,2.4845954001113895,2.705,291.72577783484667,1.605555364079628,0.14733333333333334
R1315,EASY,14.582251716883638,0.0118998602050795,0.7090280039372067,3.895141089909989,71.22597233409952,3,9.189073908113462,2.705,24.73854692506392,5.954924236994527,0.5233333333333334
