rocket_id,regime,is_fragile,seed,success,rms,osc,slew_sat,peak,max_theta
R0091,FRAGILE,1,1,True,8.600970121861964,13.0,0.6916666666666667,16.022591047095087,16.022591047095087
R0091,FRAGILE,1,2,True,8.261827314163982,1.0,0.685,14.899372520187697,14.899372520187697
R0091,FRAGILE,1,3,True,6.224844303213297,8.0,0.6966666666666667,12.239600701174265,12.239600701174265
R0091,FRAGILE,1,4,True,11.18400800328344,4.0,0.7166666666666667,21.01050754081324,21.01050754081324
R0091,FRAGILE,1,5,True,8.057653829727585,5.0,0.72,13.456598129319707,13.456598129319707
R0091,FRAGILE,1,6,False,24.055385429116388,4.0,0.6983333333333334,36.462026945746146,36.462026945746146
R0091,FRAGILE,1,7,False,9.420520960864254,6.0,0.7066666666666667,20.611029879480636,20.611029879480636
R0146,FRAGILE,1,1,True,8.281643592782416,6.0,0.5783333333333334,14.221655293987006,14.221655293987006
R0146,FRAGILE,1,2,True,2.1165155965231826,2.0,0.5966666666666667,5.505876326943065,5.505876326943065
R0146,FRAGILE,1,3,True,4.641083819929572,3.0,0.6216666666666667,10.51214176281129,10.51214176281129
R0146,FRAGILE,1,4,True,4.817042100880354,1.0,0.6183333333333333,8.703791171642516,8.703791171642516
R0146,FRAGILE,1,5,False,17.737371763766394,1.0,0.5933333333333334,34.95809065235384,34.95809065235384
R0146,FRAGILE,1,6,True,6.355770587345622,1.0,0.565,10.609508689045233,10.609508689045233
R0146,FRAGILE,1,7,True,4.639386052933541,4.0,0.6383333333333333,7.7186793807763445,7.7186793807763445
R0267,FRAGILE,1,1,False,15.438951111373063,8.0,0.6783333333333333,43.35427512218216,43.35427512218216
R0267,FRAGILE,1,2,True,12.911502463049713,2.0,0.7033333333333334,22.368920761289584,22.368920761289584
R0267,FRAGILE,1,3,False,16.141219859729794,4.0,0.7133333333333334,26.219501462312525,26.219501462312525
R0267,FRAGILE,1,4,False,7.780646754922256,2.0,0.7333333333333333,15.492695682893574,15.492695682893574
R0267,FRAGILE,1,5,False,14.08993051152169,10.0,0.7183333333333334,33.765366028957594,33.765366028957594
R0267,FRAGILE,1,6,False,27.216566858583064,1.0,0.705,53.57536698358338,53.57536698358338
R0267,FRAGILE,1,7,False,20.380359141559723,4.0,0.735,34.71705554487722,34.71705554487722
R0373,FRAGILE,1,1,False,14.32661342562467,3.0,0.7,23.6053749068018,23.6053749068018
R0373,FRAGILE,1,2,True,12.76386822693683,0.0,0.7166666666666667,19.391324776669187,19.391324776669187
R0373,FRAGILE,1,3,False,13.630458381501914,3.0,0.7266666666666667,28.705958590470434,28.705958590470434
R0373,FRAGILE,1,4,True,10.032099477161763,1.0,0.7433333333333333,17.601875450784128,17.601875450784128
R0373,FRAGILE,1,5,True,2.4188622152258747,4.0,0.7233333333333334,4.752448541876767,4.752448541876767
R0373,FRAGILE,1,6,True,7.588108678119359,1.0,0.7333333333333333,13.025893878788278,13.025893878788278
R0373,FRAGILE,1,7,True,8.565900731026897,6.0,0.7366666666666667,15.828510283061895,15.828510283061895
R0430,FRAGILE,1,1,False,10.465503837666992,3.0,0.0,21.30176789782895,21.30176789782895
R0430,FRAGILE,1,2,True,5.820975683949042,0.0,0.0,8.886979832147569,8.886979832147569
R0430,FRAGILE,1,3,False,8.865999222911901,2.0,0.0,15.50011599657896,15.50011599657896
R0430,FRAGILE,1,4,True,6.5418535582061885,0.0,0.0,12.588657211936741,12.588657211936741
