rocket_id,td,original_label,original_nom_sr,original_under_sr,original_over_sr,new_label,new_nom_sr_15seed,new_under_sr_15seed,new_over_sr_15seed,new_robustness_15seed,label_flipped,best_Kp,best_Kd
R0020,64.97357261833929,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,EASY,1.0,1.0,0.8666666666666667,1.0,1,88.81,1.0
R0179,98.96797353395854,MARGINAL,0.6666666666666666,1.0,1.0,EASY,1.0,1.0,0.8666666666666667,1.0,1,70.18,1.0
R0207,176.22556504181404,FRAGILE,1.0,1.0,0.6666666666666666,EASY,0.8666666666666667,1.0,1.0,1.0,1,36.97,1.0
R0248,56.97521358952784,FRAGILE,1.0,1.0,0.6666666666666666,EASY,0.9333333333333333,1.0,0.9333333333333333,1.0,1,168.58,1.0
R0285,75.06381907170143,FRAGILE,1.0,1.0,0.6666666666666666,EASY,0.9333333333333333,1.0,0.9333333333333333,1.0,1,12.98,1.0
R0303,217.51296059556316,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,FRAGILE,0.6,0.7333333333333333,0.4666666666666667,0.3333333333333333,0,50.74,1.0
R0333,150.66632825684047,FRAGILE,0.6666666666666666,1.0,0.3333333333333333,EASY,0.9333333333333333,1.0,0.8666666666666667,1.0,1,88.81,1.0
R0350,330.55956133823173,FRAGILE,0.6666666666666666,0.6666666666666666,0.6666666666666666,FRAGILE,0.6666666666666666,0.9333333333333333,0.26666666666666666,0.6666666666666666,0,36.97,1.0
R0400,214.6999063287188,FRAGILE,1.0,1.0,0.0,FRAGILE,0.7333333333333333,1.0,0.7333333333333333,0.6666666666666666,0,19.32,1.0
R0422,171.33188585238068,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,EASY,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,1,133.21,1.0
R0475,192.77585584700762,FRAGILE,0.6666666666666666,0.6666666666666666,0.0,INFEASIBLE,0.3333333333333333,0.9333333333333333,0.4,0.3333333333333333,1,155.45,1.0
R0487,204.43193191159588,MARGINAL,0.6666666666666666,1.0,1.0,EASY,1.0,1.0,1.0,1.0,1,59.21,1.0
R0540,143.03955295219828,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,EASY,0.8666666666666667,1.0,0.8,1.0,1,50.74,1.0
R0612,111.77360439794599,FRAGILE,0.6666666666666666,1.0,0.6666666666666666,FRAGILE,0.9333333333333333,1.0,0.7333333333333333,0.6666666666666666,0,46.78,1.0
R0623,238.0175313711176,FRAGILE,1.0,1.0,0.6666666666666666,EASY,1.0,1.0,1.0,1.0,1,70.18,1.0
R0689,176.01368924148704,FRAGILE,1.0,1.0,0.6666666666666666,EASY,1.0,1.0,0.9333333333333333,1.0,1,132.17,1.0
R0725,63.83963398477202,FRAGILE,1.0,1.0,0.6666666666666666,EASY,0.8666666666666667,1.0,0.8,1.0,1,69.63,1.0
R0800,36.13163509162807,FRAGILE,1.0,1.0,0.6666666666666666,EASY,0.8,0.9333333333333333,0.9333333333333333,1.0,1,213.33,4.0
R0815,143.24327127054778,FRAGILE,1.0,1.0,0.3333333333333333,FRAGILE,0.8,0.8666666666666667,0.6666666666666666,0.6666666666666666,0,59.67,1.0
R0835,104.43180129467024,FRAGILE,1.0,1.0,0.6666666666666666,EASY,1.0,1.0,0.9333333333333333,1.0,1,70.18,1.0
R0892,54.82314573489018,FRAGILE,1.0,1.0,0.6666666666666666,EASY,1.0,1.0,0.8,1.0,1,16.43,1.0
R0969,115.84897376423487,FRAGILE,1.0,1.0,0.6666666666666666,FRAGILE,0.8,0.9333333333333333,0.5333333333333333,0.6666666666666666,0,112.39,1.0
R1080,89.61299441200431,FRAGILE,1.0,1.0,0.6666666666666666,FRAGILE,0.8666666666666667,1.0,0.6666666666666666,0.6666666666666666,0,113.27,1.0
R1103,55.05358597483785,FRAGILE,1.0,1.0,0.6666666666666666,FRAGILE,1.0,1.0,0.7333333333333333,0.6666666666666666,0,88.81,1.0
