rocket_id,regime,wind_strength,keff_full,mean_r,mean_scale,mean_lag_ms
R0146,FRAGILE,0.4078919337191328,9.118040297989074,0.5453143019214055,0.6373967955317619,77.99999999999999
R0759,FRAGILE,0.4068091944970474,19.413738246539502,0.5697912883728408,0.6739203875108077,206.00000000000003
R1082,FRAGILE,0.3988010998452474,13.510131742663203,0.5322412948332824,0.6424768649310295,94.0
R0958,FRAGILE,0.3905760239746831,21.513579004795993,0.5348192631603127,0.6484537921678115,96.0
R0491,FRAGILE,0.3883064130113716,17.869734416954692,0.5365103548323391,0.648703094960086,96.0
R1021,FRAGILE,0.3620767950540466,17.78909358088766,0.5322055765285694,0.6408861922413717,94.0
R0688,FRAGILE,0.359026189190718,17.09186428117295,0.5367876748736993,0.6578785081089601,99.0
R0982,FRAGILE,0.3409810363448179,11.352376242459808,0.545695177197986,0.6396745476045091,79.99999999999999
R1070,FRAGILE,0.3313059222616702,15.400314651027948,0.5308172267182709,0.6410602383907584,95.0
R1094,FRAGILE,0.3244523571195195,14.702715474342451,0.548793793550151,0.6474379611826668,90.0
R0283,MARGINAL,0.2870100466253295,5.997636288419396,0.5210724670653457,0.6331531148281043,96.0
R0363,MARGINAL,0.2634333291673693,11.771860778923852,0.5440271846879506,0.6425881104106432,82.99999999999999
R0420,MARGINAL,0.4213788248919719,11.17233430727679,0.5308289236879147,0.640147577573172,94.0
R0439,MARGINAL,0.2712798866232529,11.610801391476992,0.5450586544730502,0.6438417781644536,89.0
R0828,MARGINAL,0.4109761962309339,14.292975861039244,0.5370200656919838,0.6538351788914332,96.0
R0848,MARGINAL,0.2973986456708947,16.688186808061143,0.5471320479109627,0.6442807452415462,82.99999999999999
R0380,EASY,0.4496743369696221,4.883470973906244,0.5629699459201409,0.6542564243678284,199.99999999999997
R1057,EASY,0.4495654950279742,6.293601756184049,0.6023523783377177,0.6786869625479042,173.00000000000003
R1078,EASY,0.4492703070340613,3.8179736780782525,0.5906064558596326,0.6723559126637948,182.0
R0309,EASY,0.4491259061927856,5.350081606299033,0.5431732814569716,0.6441299763768783,90.0
