rocket_id,design_id,regime_label,best_Kp,best_Kd,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,baseline_success_rate,baseline_rms,baseline_peak,baseline_max_theta,baseline_u_sat,baseline_slew_sat,baseline_go,abl_success_wind,delta_success_wind,delta_rms_wind,delta_peak_wind,delta_theta_wind,decision_flip_wind,flip_dir_wind,abl_success_backlash,delta_success_backlash,delta_rms_backlash,delta_peak_backlash,delta_theta_backlash,decision_flip_backlash,flip_dir_backlash,abl_success_slew,delta_success_slew,delta_rms_slew,delta_peak_slew,delta_theta_slew,decision_flip_slew,flip_dir_slew,abl_success_latency,delta_success_latency,delta_rms_latency,delta_peak_latency,delta_theta_latency,decision_flip_latency,flip_dir_latency,abl_success_sensor_noise,delta_success_sensor_noise,delta_rms_sensor_noise,delta_peak_sensor_noise,delta_theta_sensor_noise,decision_flip_sensor_noise,flip_dir_sensor_noise,abl_success_deadband,delta_success_deadband,delta_rms_deadband,delta_peak_deadband,delta_theta_deadband,decision_flip_deadband,flip_dir_deadband,abl_success_nonlinear_aero,delta_success_nonlinear_aero,delta_rms_nonlinear_aero,delta_peak_nonlinear_aero,delta_theta_nonlinear_aero,decision_flip_nonlinear_aero,flip_dir_nonlinear_aero,abl_success_dyn_aero,delta_success_dyn_aero,delta_rms_dyn_aero,delta_peak_dyn_aero,delta_theta_dyn_aero,decision_flip_dyn_aero,flip_dir_dyn_aero,abl_success_thrust_curve,delta_success_thrust_curve,delta_rms_thrust_curve,delta_peak_thrust_curve,delta_theta_thrust_curve,decision_flip_thrust_curve,flip_dir_thrust_curve,abl_success_cg_shift,delta_success_cg_shift,delta_rms_cg_shift,delta_peak_cg_shift,delta_theta_cg_shift,decision_flip_cg_shift,flip_dir_cg_shift,dominant_module,dominant_delta_rms,n_decision_flips,decision_flip_modules,fidelity_complexity
R0001,1,INFEASIBLE,10.0,4.0,2.6598720333941874,0.980226043951444,0.0279890280390062,0.2125235670133481,-58.55657893430198,5.696793669890843,28.33384120100757,41.51990502483413,8.40958129155255,5,0.032818701757763,0.1474227504116182,0.0670244116703838,1.0,2.882658337923982,10.056171524404464,10.056171524404464,0.0,0.018666666666666665,1,1.0,0.0,-2.4188028296385835,-6.059059787757683,-6.059059787757683,0,,1.0,0.0,-0.16707988213874314,-0.3556071031421286,-0.3556071031421286,0,,1.0,0.0,1.2777032344986101,5.181578612242317,5.181578612242317,0,,1.0,0.0,-0.22396368436761627,0.5045810782278597,0.5045810782278597,0,,1.0,0.0,-2.668068317235295,-9.398906973070307,-9.398906973070307,0,,1.0,0.0,-0.3519032422487385,-1.3824554608418769,-1.3824554608418769,0,,1.0,0.0,0.0010250977209795842,0.0005868433230595826,0.0005868433230595826,0,,1.0,0.0,-0.2952507955122541,0.07378056428642665,0.07378056428642665,0,,0.8,-0.19999999999999996,-0.07471447528328934,6.38393724577673,6.38393724577673,0,,1.0,0.0,-0.0363980039649916,0.36087524913912183,0.36087524913912183,0,,sensor_noise,2.668068317235295,0,none,0
R0002,2,FRAGILE,45.0,4.0,0.3299571470459935,1.5333561348799194,0.0307044309596682,0.0437594309668621,-35.57424129072616,13.148340614097382,28.81117047383116,54.76436406900061,12.931315291005122,5,0.0143306842539837,0.240631104578251,0.4403689596262259,0.8,6.824070317194779,31.730043916698378,31.730043916698378,0.0,0.11599999999999999,1,1.0,0.19999999999999996,-6.824070317194779,-31.730043916698378,-31.730043916698378,0,,0.4,-0.4,-0.8656195974541694,-3.547142686469307,-3.547142686469307,0,,1.0,0.19999999999999996,-3.759321443394484,-22.657098068334676,-22.657098068334676,0,,0.8,0.0,-0.07374298282928216,0.8978673857342798,0.8978673857342798,0,,0.8,0.0,-2.6811826546051263,1.9976715481877179,1.9976715481877179,0,,0.8,0.0,-0.026429291814034528,-1.1801491204824437,-1.1801491204824437,0,,0.8,0.0,7.993605777301127e-15,-2.1671553440683056e-13,-2.1671553440683056e-13,0,,0.8,0.0,-1.5219585963164413,-14.595654983860804,-14.595654983860804,0,,0.6,-0.20000000000000007,2.7126102877015077,41.512673048734044,41.512673048734044,0,,0.8,0.0,0.03520950959244207,1.8846474126336972,1.8846474126336972,0,,wind,6.824070317194779,0,none,0
R0003,3,EASY,10.0,4.0,0.9142380681124036,2.0932216165029263,0.0160951340323037,0.1335888798327121,-30.168126792192908,5.658842828809494,25.152436480140786,53.18793648700768,13.816022859894131,3,0.1037036925367456,0.0313605092059842,0.0732701762136385,1.0,3.659473746186906,12.65584252778312,12.65584252778312,0.0,0.052000000000000005,1,1.0,0.0,-0.8468788739618849,-4.067794144829902,-4.067794144829902,0,,1.0,0.0,-0.007334665173369892,-1.987980791518119,-1.987980791518119,0,,0.8,-0.19999999999999996,3.751022803469398,19.16165808375549,19.16165808375549,0,,1.0,0.0,0.11620730715847083,-1.5328780937634647,-1.5328780937634647,0,,1.0,0.0,-3.567308112660588,-12.389676745476335,-12.389676745476335,0,,1.0,0.0,-0.7502150253099122,-2.419250551744719,-2.419250551744719,0,,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,-0.7906254233439483,-1.465614666555295,-1.465614666555295,0,,1.0,0.0,0.5913718905055494,-0.2347190382770865,-0.2347190382770865,0,,1.0,0.0,0.1519220693260892,-1.3163276711903258,-1.3163276711903258,0,,slew,3.751022803469398,0,none,0
R0004,4,INFEASIBLE,10.0,4.0,1.3262410120284398,1.1458700784946645,0.0197381073768443,0.1221288484418248,-56.58899379982275,7.411721360608458,35.1493192042488,39.10831124149981,13.860677861258605,6,0.0970244044553129,0.071169275337702,0.2215705572986899,0.8,8.485161416884058,26.410325085955677,26.410325085955677,0.0,0.038,1,1.0,0.19999999999999996,-7.970350321844513,-20.4313509318495,-20.4313509318495,0,,1.0,0.19999999999999996,-2.45533455683029,-8.232306962069128,-8.232306962069128,0,,0.6,-0.20000000000000007,0.3518490438844424,-2.3961644167745675,-2.3961644167745675,0,,0.8,0.0,0.08513267804084101,1.058755735804617,1.058755735804617,0,,1.0,0.19999999999999996,-7.788761341255812,-23.449753050902924,-23.449753050902924,0,,0.8,0.0,-0.35999776971103614,-1.6055932749925645,-1.6055932749925645,0,,0.8,0.0,0.03410748581516998,0.21958391594828797,0.21958391594828797,0,,0.8,0.0,-2.2385050862333324,-5.4453402822506085,-5.4453402822506085,0,,0.8,0.0,-1.194187055896335,-10.1972637516138,-10.1972637516138,0,,0.8,0.0,-0.08913870992592976,-0.47208718476192857,-0.47208718476192857,0,,wind,7.970350321844513,0,none,0
R0005,5,EASY,10.0,4.0,2.244097704897517,1.7023175044960253,0.0322465061879097,0.1713000152995874,-67.33357874232503,6.884098067168734,34.194482273821,61.85790288511447,13.968779080652372,3,0.0979289073505058,0.0083042089587234,0.2432951566421546,1.0,4.179721334782611,10.722475461249614,10.722475461249614,0.0,0.16899999999999998,1,1.0,0.0,-1.9412159791031476,-3.503109188030356,-3.503109188030356,0,,1.0,0.0,-0.08531802306583458,-0.27082851268224495,-0.27082851268224495,0,,1.0,0.0,-0.4419670871581305,5.940858771766694,5.940858771766694,0,,1.0,0.0,-0.0403636750334293,-1.1484082738730237,-1.1484082738730237,0,,1.0,0.0,-3.9780690846881757,-9.914703556105662,-9.914703556105662,0,,1.0,0.0,-0.4971234141740686,2.0021151473508603,2.0021151473508603,0,,1.0,0.0,0.0,0.0,0.0,0,,1.0,0.0,-0.85464530453612,-3.0795889535985843,-3.0795889535985843,0,,1.0,0.0,-0.6731517393749993,1.807309374527918,1.807309374527918,0,,1.0,0.0,-0.38988936290230747,-1.0226789175199613,-1.0226789175199613,0,,sensor_noise,3.9780690846881757,0,none,0
R0006,6,INFEASIBLE,10.0,4.0,1.6071754526065285,1.2213315970382097,0.0376382225948464,0.2070724606489198,-34.1588332952472,8.655239612599996,25.07180042915296,24.87006606993788,12.705726957761302,6,0.1370704103263459,0.2314136281931626,0.3325304904520918,0.6,9.469931846584469,45.950550093239514,45.950550093239514,0.0,0.018666666666666668,1,1.0,0.4,-9.469931846584469,-45.950550093239514,-45.950550093239514,0,,0.8,0.20000000000000007,-2.2747786265915106,-17.532120728069703,-17.532120728069703,0,,1.0,0.4,-4.914546416706418,-32.503686411140954,-32.503686411140954,0,,0.6,0.0,-0.0016026848908570202,-0.042465754195475824,-0.042465754195475824,0,,1.0,0.4,-6.278121437334688,-33.26179372077851,-33.26179372077851,0,,0.6,0.0,0.0023191276103577962,0.07639887991999217,0.07639887991999217,0,,0.6,0.0,0.001003531623659626,0.02193009785959532,0.02193009785959532,0,,0.6,0.0,-1.2579425376975273,-6.507379627779535,-6.507379627779535,0,,0.6,0.0,0.35595064333760007,1.9687842415060004,1.9687842415060004,0,,0.6,0.0,0.008988905339174735,0.1010158984592806,0.1010158984592806,0,,wind,9.469931846584469,0,none,0
R0007,7,EASY,10.0,4.0,1.932932563356812,0.9131465969267318,0.0349191515128533,0.1531569495430518,-66.77604612973407,13.622798046816747,36.23621007260986,86.28691398730489,12.767093927113546,2,0.10382420164232,0.2056637457531945,0.0906110090266974,0.8,3.381845921475199,16.043921577563196,16.043921577563196,0.0,0.013333333333333332,1,1.0,0.19999999999999996,-3.073302432140598,-12.056228759823016,-12.056228759823016,0,,1.0,0.19999999999999996,-0.6267469258511258,-7.367663429460851,-7.367663429460851,0,,1.0,0.19999999999999996,0.659126902346221,-0.925942686136052,-0.925942686136052,0,,1.0,0.19999999999999996,0.041367433994866865,-1.4547844688165021,-1.4547844688165021,0,,1.0,0.19999999999999996,-2.991259945112358,-15.139012222574408,-15.139012222574408,0,,0.8,0.0,0.0417091176050719,0.7750559924128204,0.7750559924128204,0,,0.8,0.0,-0.0023373510691597765,-0.06685259877600203,-0.06685259877600203,0,,1.0,0.19999999999999996,-0.570306172546132,-2.7974672567964003,-2.7974672567964003,0,,0.8,0.0,1.2954383553208069,7.637913424804658,7.637913424804658,0,,0.8,0.0,0.07383221919567617,-0.4241452006416182,-0.4241452006416182,0,,wind,3.073302432140598,0,none,0
R0008,8,EASY,10.0,4.0,1.608433777705023,1.7909772879268662,0.0278727488034806,0.2160462734415672,-38.94872924100838,11.126290461657248,35.42706156718535,81.40397399144058,8.182604797812047,3,0.1243273723467379,0.1643121849814275,0.4437899058022937,0.8,5.4561694305769874,20.04092328698255,20.04092328698255,0.0,0.029333333333333333,1,1.0,0.19999999999999996,-3.086583292532645,-10.7079571968983,-10.7079571968983,0,,1.0,0.19999999999999996,-0.931522674145012,-7.576522604000102,-7.576522604000102,0,,1.0,0.19999999999999996,0.4820434568753873,-6.316748288561444,-6.316748288561444,0,,0.8,0.0,1.3938503508541746,3.547416006788893,3.547416006788893,0,,1.0,0.19999999999999996,-4.955272393361932,-18.588547511522776,-18.588547511522776,0,,0.8,0.0,-0.17094391115052687,-3.240040759320369,-3.240040759320369,0,,0.8,0.0,0.0,0.0,0.0,0,,0.8,0.0,-0.22947140326673843,-2.732226077789079,-2.732226077789079,0,,0.6,-0.20000000000000007,2.102968182977847,5.003788916413352,5.003788916413352,0,,0.8,0.0,0.6183163134990579,0.33153073364605135,0.33153073364605135,0,,sensor_noise,4.955272393361932,0,none,0
R0009,9,FRAGILE,10.0,4.0,1.0055022951186718,0.9456381873894466,0.0336228087520171,0.1219803323496465,-45.43206325548498,5.480685644819693,39.31875610137895,79.64451083654504,9.662679804465473,2,0.0730353887263551,0.1711563830203867,0.3752425861460516,1.0,7.763653584177405,21.438899442078476,21.438899442078476,0.0,0.031,1,1.0,0.0,-6.7978457227178515,-12.608343549096617,-12.608343549096617,0,,0.8,-0.19999999999999996,-1.4793404259969662,-3.1075602741460706,-3.1075602741460706,0,,1.0,0.0,-2.5043600866948914,-4.6900364936437455,-4.6900364936437455,0,,1.0,0.0,-0.12605815841669887,-1.21653925830865,-1.21653925830865,0,,1.0,0.0,-7.0552802068798295,-18.5465156960399,-18.5465156960399,0,,1.0,0.0,-0.49577477481273924,-2.0034376612210565,-2.0034376612210565,0,,1.0,0.0,-0.06806452093113968,-0.3158021825716588,-0.3158021825716588,0,,1.0,0.0,-1.3790780396564601,-3.516596077663227,-3.516596077663227,0,,0.8,-0.19999999999999996,-1.0664500401278385,6.53619361269072,6.53619361269072,0,,1.0,0.0,-0.14197686795935205,-1.5713045809934236,-1.5713045809934236,0,,sensor_noise,7.0552802068798295,0,none,0
R0010,10,EASY,10.0,4.0,0.9739305329084648,1.9939036090378468,0.0112524349400864,0.0809240372850277,-59.34007877882651,6.56520532531887,31.46709959231371,69.3186022680884,12.113336416676129,3,0.1340350671305061,0.0494933139500468,0.2594575637197658,0.6,7.008461563562522,19.27127616711571,19.27127616711571,0.0,0.053666666666666675,1,1.0,0.4,-2.838180654095301,-7.745227354589646,-7.745227354589646,0,,1.0,0.4,-2.0695453337935463,-4.821541063568533,-4.821541063568533,0,,0.8,0.20000000000000007,2.157817757838389,5.458730614804171,5.458730614804171,0,,0.4,-0.19999999999999996,0.285943006344322,1.2993273516584587,1.2993273516584587,0,,1.0,0.4,-6.5711157179802235,-18.066204858785778,-18.066204858785778,0,,0.6,0.0,0.21882425947286865,2.0590752673619725,2.0590752673619725,0,,0.6,0.0,0.0,0.0,0.0,0,,1.0,0.4,-2.208704317218782,-5.24630067152807,-5.24630067152807,0,,1.0,0.4,-1.3448873728224982,-5.741795259940538,-5.741795259940538,0,,0.8,0.20000000000000007,-0.4906027609298764,-2.06419152549714,-2.06419152549714,0,,sensor_noise,6.5711157179802235,0,none,0
