rocket_id,keff,latency,Pi,window_ratio,collapse_C,log_collapse_C
R0049,9.821145129103911,3,88.3903061619352,588.7552997104206,52040.26119586599,10.859772951750394
R0093,30.700856807441465,2,122.80342722976586,103.39464770853388,12697.217095822218,9.449138122121793
R0213,24.03264450228268,5,600.8161125570671,5.694253162601831,3421.199049070217,8.13774636775447
R0234,5.245894664664795,1,5.245894664664795,1877.4109386255504,9848.7000263191,9.19509474843296
R0266,11.644412544545062,5,291.11031361362654,13.587988089338316,3955.603474065499,8.282888453660568
R0606,36.38709683579572,5,909.677420894893,7.609268350011387,6921.979607535496,8.842457078154471
R0890,18.04336350594461,4,288.6938160951138,24.26428032541704,7004.947681946235,8.854371990070302
R1143,11.860211022771509,5,296.50527556928773,57.90096482248509,17167.94153041858,9.750799059134168
R1345,32.588304965558144,2,130.35321986223258,184.633420316,24067.560832367548,10.088620189222109
R1569,36.38646136537409,4,582.1833818459854,43.3291003671384,25225.48218408476,10.135609960364576
R1687,36.304267137687866,3,326.7384042391908,24.264280325417047,7928.072233539159,8.97816518716145
R1809,16.946830246477106,4,271.1492839436337,13.587988089338308,3684.3732406587055,8.211855706211445
R2068,6.530168311779696,6,235.08605922406903,57.90096482248505,13611.70964538946,9.518685704610855
R2070,28.4834850801614,4,455.7357612825824,18.157718801053527,8275.12180095319,9.021008919285359
R2200,2.989525954000008,1,2.989525954000008,1404.925241564889,4200.060473087966,8.342854202522082
R2208,19.60808855057857,4,313.72941680925715,13.587988089338308,4262.95157887924,8.357717058239347
R2362,4.916643540852401,1,4.916643540852401,440.5839790588584,2166.1943748427857,7.680727162612551
R2449,12.13237466192751,4,194.11799459084017,77.37344415111075,15019.57781319999,9.617109816614157
R2557,8.377831681307478,4,134.04530690091966,786.757620369124,105461.16667901646,11.566098075786558
R2611,8.552719887363091,2,34.210879549452365,588.7552997104206,20141.836642494924,9.910554355883022
R2792,13.10158267304766,2,52.40633069219064,440.5839790588587,23089.389704239744,10.047128470827284
R2836,0.956295627363065,4,15.30073003780904,138.16695498126344,2114.0552783144267,7.656363314770633
R2866,25.640616518724965,3,230.76554866852467,43.3291003671384,9998.863619536267,9.210226727472518
R2871,21.0016330459664,4,336.0261287354624,24.26428032541706,8153.432184301942,9.006194244494074
R2939,3.5283207332847795,1,3.5283207332847795,1404.925241564889,4957.026858528525,8.508561416309007
R2965,18.468441541442413,4,295.4950646630786,10.168315873758727,3004.6871566309437,8.0079287339394
R3022,15.508487265962064,6,558.3055415746343,18.157718801053534,10137.555028982111,9.224002126668577
R3095,12.121640639258544,4,193.9462502281367,32.42451907980097,6288.613890978072,8.746495958315984
R3316,18.008013909747095,4,288.1282225559535,138.16695498126344,39809.79915471988,10.591868370885427
R3332,22.64229052354827,6,815.1224588477377,4.261187487198086,3473.3896221761165,8.152886232508735
R3429,2.737771319869597,3,24.639941878826374,440.5839790588585,10855.96363675233,9.29246985191001
R3515,44.69590347142803,4,715.1344555428485,1.7857154544060696,1277.026649241135,7.152289724445282
R3686,9.619540736303277,4,153.91265178085243,138.1669549812634,21265.642429651907,9.96484801788985
R3724,7.8221661868943935,1,7.8221661868943935,588.7552997104206,4605.3417977497265,8.434972169116268
R3761,23.227957389869054,2,92.91182955947625,138.16695498126347,12837.34457197098,9.460113746819486
R3898,34.675735267602015,4,554.8117642816322,1.0,554.8117642816322,6.318628892760983
R4018,29.56095556512956,4,472.975289042073,3.1887796841046794,1508.213992780901,7.318681443527458
R4075,17.959792551040692,5,448.9948137760173,4.2611874871980815,1913.2510822791976,7.556559211365657
R4215,3.874267554740951,5,96.85668886852376,588.7552997104209,57024.888883746695,10.951243098597367
R4332,32.949792818448024,5,823.7448204612006,2.3862634310993043,1965.6721416240248,7.583589522621389
R4780,16.78685382582116,5,419.671345645529,24.26428032541706,10183.023175288114,9.22847721804928
R4812,1.436026222916032,5,35.9006555729008,77.37344415111072,2777.7573689581022,7.929399179312044
R4935,10.747982580783878,4,171.96772129254205,138.1669549812634,23760.256406057106,10.075769564919073
R4987,4.945154207269621,3,44.50638786542659,1404.925241564889,62528.14772301509,11.0433720979095
R5026,9.285742857988671,2,37.142971431954685,440.58397905885823,16364.598147560093,9.702875631030983
R5227,22.089549263870538,5,552.2387315967635,32.42451907980097,17906.075289264347,9.79289533588002
R5585,28.01746350162252,5,700.436587540563,1.0,700.436587540563,6.551703837112104
R5654,20.49535595136254,5,512.3838987840635,7.609268350011388,3898.8665840730127,8.268441170411258
