rocket_id,td,Iyy,wind,latency,kp_floor,kp_ceil,window_ratio,collapsed
R0024,156.25481013841963,0.0051563210769216,0.05,1,1,320,320.0,False
R0024,156.25481013841963,0.0051563210769216,0.05,3,3,270,90.0,False
R0024,156.25481013841963,0.0051563210769216,0.05,6,5,90,18.0,False
R0024,156.25481013841963,0.0051563210769216,0.12,1,1,320,320.0,False
R0024,156.25481013841963,0.0051563210769216,0.12,3,3,270,90.0,False
R0024,156.25481013841963,0.0051563210769216,0.12,6,5,40,8.0,False
R0024,156.25481013841963,0.0051563210769216,0.22,1,1,320,320.0,False
R0024,156.25481013841963,0.0051563210769216,0.22,3,3,270,90.0,False
R0024,156.25481013841963,0.0051563210769216,0.22,6,5,60,12.0,False
R0024,156.25481013841963,0.0051563210769216,0.32,1,1,320,320.0,False
R0024,156.25481013841963,0.0051563210769216,0.32,3,5,270,54.0,False
R0024,156.25481013841963,0.0051563210769216,0.32,6,5,40,8.0,False
R0024,156.25481013841963,0.0051563210769216,0.42,1,1,320,320.0,False
R0024,156.25481013841963,0.0051563210769216,0.42,3,2,270,135.0,False
R0024,156.25481013841963,0.0051563210769216,0.42,6,18,40,2.2222222222222223,False
R0099,18.00190913407573,0.0292767478956913,0.05,1,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.05,3,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.05,6,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.12,1,1,190,190.0,False
R0099,18.00190913407573,0.0292767478956913,0.12,3,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.12,6,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.22,1,1,190,190.0,False
R0099,18.00190913407573,0.0292767478956913,0.22,3,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.22,6,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.32,1,1,190,190.0,False
R0099,18.00190913407573,0.0292767478956913,0.32,3,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.32,6,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.42,1,1,190,190.0,False
R0099,18.00190913407573,0.0292767478956913,0.42,3,1,130,130.0,False
R0099,18.00190913407573,0.0292767478956913,0.42,6,1,90,90.0,False
R0365,79.99152398421617,0.0222361267878068,0.05,1,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.05,3,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.05,6,3,90,30.0,False
R0365,79.99152398421617,0.0222361267878068,0.12,1,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.12,3,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.12,6,2,60,30.0,False
R0365,79.99152398421617,0.0222361267878068,0.22,1,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.22,3,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.22,6,2,60,30.0,False
R0365,79.99152398421617,0.0222361267878068,0.32,1,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.32,3,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.32,6,1,60,60.0,False
R0365,79.99152398421617,0.0222361267878068,0.42,1,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.42,3,1,320,320.0,False
R0365,79.99152398421617,0.0222361267878068,0.42,6,1,60,60.0,False
R0821,44.965911308573496,0.0394339942318284,0.05,1,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.05,3,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.05,6,1,190,190.0,False
R0821,44.965911308573496,0.0394339942318284,0.12,1,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.12,3,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.12,6,1,270,270.0,False
R0821,44.965911308573496,0.0394339942318284,0.22,1,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.22,3,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.22,6,1,270,270.0,False
R0821,44.965911308573496,0.0394339942318284,0.32,1,1,320,320.0,False
