regime,median_combined_success_recovery,median_sum_single_success_recovery,median_interaction_gap_success,median_combined_rms_recovery_deg,median_sum_single_rms_recovery_deg,median_interaction_gap_rms_recovery_deg,median_combined_s2r_reduction,median_sum_single_s2r_reduction,median_interaction_gap_s2r_reduction,median_combined_score,median_sum_single_score,median_interaction_gap_score
EASY,0,-0.25,0.25,3.23941492937018,0.871620288640382,2.36433185303906,0.64048091144389,0.162430555555556,0.474510306895914,0.862529085712999,0.617808834507288,0.248412282285076
FRAGILE,0.333333333333333,-0.416666666666667,0.833333333333333,9.5321023883234,6.36719982221654,2.67397580865758,0.62390136809022,0.195905666481789,0.431312049362174,1.23529568220947,1.13645023476888,0.121184726896781
INFEASIBLE,0.666666666666667,0.25,0.5,14.5843992217266,5.5303942257023,4.52972677240082,0.60397462562396,0.201753558883342,0.397623174339064,1.5524374876217,1.63189903406992,0.115139779186358
