rocket_id,regime_label,ablated_modules,kp_ablated,kd_ablated,kp_full,kd_full,kp_delta,kp_ratio,kp_misselected,kp_underselected,sr_ablated_in_full,sr_full_in_full,sr_gap,rms_ablated_in_full,rms_full_in_full,rms_gap,go_ablated,go_full,decision_agrees,false_approval,false_rejection,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength
R0001,EASY,wind,15.0,32.0,80.0,1.0,65.0,5.333333333333333,1,1,1.0,1.0,0.0,2.9989981532372707,0.9182374565427284,2.0807606966945422,1,1,1,0,0,0.0,1.3576780674399598,0.0130647154798341,-0.2641108535497068,-37.88210121005577,12.932920307048692,1.7603501903582248,138.8767215149671,3.020328484504756,3,0.0269778421269918,0.1317738856224588,0.3551844798131129
R0001,EASY,sensor_noise,40.0,32.0,80.0,1.0,40.0,2.0,1,1,0.6666666666666666,1.0,0.33333333333333337,4.994641407362583,0.9182374565427284,4.076403950819855,1,1,1,0,0,0.0,1.3576780674399598,0.0130647154798341,-0.2641108535497068,-37.88210121005577,12.932920307048692,1.7603501903582248,138.8767215149671,3.020328484504756,3,0.0269778421269918,0.1317738856224588,0.3551844798131129
R0001,EASY,slew,160.0,32.0,80.0,1.0,-80.0,0.5,1,0,0.6666666666666666,1.0,0.33333333333333337,5.251944017695233,0.9182374565427284,4.333706561152504,1,1,1,0,0,0.0,1.3576780674399598,0.0130647154798341,-0.2641108535497068,-37.88210121005577,12.932920307048692,1.7603501903582248,138.8767215149671,3.020328484504756,3,0.0269778421269918,0.1317738856224588,0.3551844798131129
R0001,EASY,latency,40.0,32.0,80.0,1.0,40.0,2.0,1,1,0.6666666666666666,1.0,0.33333333333333337,4.994641407362583,0.9182374565427284,4.076403950819855,1,1,1,0,0,0.0,1.3576780674399598,0.0130647154798341,-0.2641108535497068,-37.88210121005577,12.932920307048692,1.7603501903582248,138.8767215149671,3.020328484504756,3,0.0269778421269918,0.1317738856224588,0.3551844798131129
R0001,EASY,sensor_noise+wind,40.0,32.0,80.0,1.0,40.0,2.0,1,1,0.6666666666666666,1.0,0.33333333333333337,4.994641407362583,0.9182374565427284,4.076403950819855,1,1,1,0,0,0.0,1.3576780674399598,0.0130647154798341,-0.2641108535497068,-37.88210121005577,12.932920307048692,1.7603501903582248,138.8767215149671,3.020328484504756,3,0.0269778421269918,0.1317738856224588,0.3551844798131129
R0002,EASY,wind,80.0,8.0,80.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,3.3520944047494843,0.7764603538090338,2.5756340509404505,1,1,1,0,0,0.0,1.7551108082514633,0.0283475670161518,-0.0803666802509317,-18.438868867680853,7.226921414404747,2.4044968240070395,112.22322220757204,8.424342655615982,3,0.0229768462683728,0.2349510879363254,0.0731350881068192
R0002,EASY,sensor_noise,5.0,32.0,80.0,1.0,75.0,16.0,1,1,0.3333333333333333,1.0,0.6666666666666667,9.315601782273346,0.7764603538090338,8.539141428464312,0,1,0,0,1,0.0,1.7551108082514633,0.0283475670161518,-0.0803666802509317,-18.438868867680853,7.226921414404747,2.4044968240070395,112.22322220757204,8.424342655615982,3,0.0229768462683728,0.2349510879363254,0.0731350881068192
R0002,EASY,slew,40.0,32.0,80.0,1.0,40.0,2.0,1,1,0.6666666666666666,1.0,0.33333333333333337,7.897715945926741,0.7764603538090338,7.121255592117707,1,1,1,0,0,0.0,1.7551108082514633,0.0283475670161518,-0.0803666802509317,-18.438868867680853,7.226921414404747,2.4044968240070395,112.22322220757204,8.424342655615982,3,0.0229768462683728,0.2349510879363254,0.0731350881068192
R0002,EASY,latency,5.0,8.0,80.0,1.0,75.0,16.0,1,1,0.3333333333333333,1.0,0.6666666666666667,15.545841722487074,0.7764603538090338,14.76938136867804,0,1,0,0,1,0.0,1.7551108082514633,0.0283475670161518,-0.0803666802509317,-18.438868867680853,7.226921414404747,2.4044968240070395,112.22322220757204,8.424342655615982,3,0.0229768462683728,0.2349510879363254,0.0731350881068192
R0002,EASY,sensor_noise+wind,2.0,8.0,80.0,1.0,78.0,40.0,1,1,0.0,1.0,1.0,18.57585772747881,0.7764603538090338,17.799397373669777,0,1,0,0,1,0.0,1.7551108082514633,0.0283475670161518,-0.0803666802509317,-18.438868867680853,7.226921414404747,2.4044968240070395,112.22322220757204,8.424342655615982,3,0.0229768462683728,0.2349510879363254,0.0731350881068192
R0003,EASY,wind,40.0,32.0,80.0,1.0,40.0,2.0,1,1,0.3333333333333333,1.0,0.6666666666666667,11.219746079014138,0.6111971866447868,10.60854889236935,0,1,0,0,1,0.0,1.8834350392473325,0.0327815536884221,-0.1410567273372627,-63.83343168733383,9.228360680304228,2.12934096021244,158.19248453571652,9.083308014025846,5,0.0150122022276564,0.1698554710021843,0.2396186119826783
R0003,EASY,sensor_noise,40.0,32.0,80.0,1.0,40.0,2.0,1,1,0.3333333333333333,1.0,0.6666666666666667,11.219746079014138,0.6111971866447868,10.60854889236935,0,1,0,0,1,0.0,1.8834350392473325,0.0327815536884221,-0.1410567273372627,-63.83343168733383,9.228360680304228,2.12934096021244,158.19248453571652,9.083308014025846,5,0.0150122022276564,0.1698554710021843,0.2396186119826783
