rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_original,wind_fixed,servo_slew,static_margin,backlash,deadband,opt_Kd,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,td_bin,lat_bin
R0049,80.04661205068682,9.821145129103911,8.15043571787543,3,0.020533460059270533,2.56764149246812,10.188044647344288,0.3171429428628271,0.25,128.4606643240587,-0.04966838354080971,0.22098365502785008,0.13315217925525205,1.0,1.135370852372753,428.4068829159843,377.32770928607056,1.0,False,False,td80-120,lat2-3
R0093,182.0763566033869,30.700856807441465,5.930660428970637,2,0.005976380844903858,2.3361400764223568,7.413325536213296,0.0689352429808166,0.25,132.33576488739337,-0.17057871875320008,0.146782262998982,0.11781608489652394,1.0,2.8972639430499196,585.4276268957477,202.06223471634212,1.0,False,False,td180-300,lat2-3
R0213,219.2985103352799,24.032644502282682,9.12502618321718,5,0.007113359232873254,2.176639081013015,11.406282729021475,0.2916098216683963,0.25,166.1837251406423,0.007410852379798438,0.06399763755154705,0.025534823496302553,1.0,18.866385464303505,35.230779367293174,1.8673836296810655,1.0,False,False,td180-300,lat5-6
R0234,44.89246476578255,5.245894664664795,8.557637473769427,1,0.036674186992451716,2.4495718329973184,10.697046842211783,0.22020608632903793,0.25,96.82737634939254,0.29009120390868687,0.05196617820661336,0.10646329790270154,1.0,0.830846829688979,229.41557166223677,276.12258176169087,1.0,False,False,td40-80,lat1
R0259,145.52418670934162,12.98487367899014,11.207208503291296,1,0.014098743683370808,2.3309248008565544,14.009010629114119,0.12262768416700567,0.25,195.94043469592594,0.04819566623362859,0.12613721251708887,0.14734841708818552,1.0,0.830846829688979,800.0,962.8730247420859,1.0,False,True,td120-180,lat1
R0266,105.3105867363675,11.644412544545062,9.04387287323492,5,0.0062298852123422455,0.9236506640640498,11.304841091543649,0.3826588669944616,0.25,111.11834081739644,0.20332456393884885,0.21375521351299667,0.12203156605666914,1.0,2.8972639430499196,89.90266619324312,31.030195370672207,1.0,False,False,td80-120,lat5-6
R0384,348.8473292395993,29.392138566166818,11.868729063531163,1,0.006071298935761828,2.2720763545538047,14.835911329413953,0.42950015903508126,0.25,157.90789605725786,-0.2811332265252654,0.0031330292406572583,0.12829169084464329,1.0,5.410303258116627,800.0,147.8660181940498,1.0,False,True,td300+,lat1
R0477,53.876395063902805,4.990970497578579,10.79477329910916,6,0.042946283436679215,2.729107904784412,13.49346662388645,0.2153985432917086,0.25,110.05385043860548,0.28310140144188994,0.1902586779439317,0.07898438666063375,1.0,0.05,167.8827671139434,3357.655342278868,1.0,True,False,td40-80,lat5-6
R0606,417.7390547846609,36.38709683579572,11.480417266312687,5,0.006019963417865381,2.7890183863718345,14.35052158289086,0.3567069641785257,0.25,92.45161244664885,0.26100947088708343,0.06613202476039376,0.013401385455394791,1.0,13.806129088084548,65.78938065138858,4.765230009921351,0.95,False,False,td300+,lat5-6
R0624,285.35936586946815,35.34114097649544,8.074424254136389,1,0.00532596633603666,2.396564391030915,10.093030317670486,0.2624679302841973,0.25,72.41554532599976,0.22585710161215983,0.21876374362146847,0.06983192530693856,1.0,1.135370852372753,800.0,704.6155873458625,1.0,False,True,td180-300,lat1
R0787,148.50363741170023,19.188431032631897,7.739227723160614,2,0.012163789686139716,2.9717925297696137,9.674034653950768,0.09099647222341894,0.25,173.6709997203717,-0.2824680243791907,0.20827993927723001,0.002955850428502577,1.0,2.1201729433379146,800.0,377.32770928607,1.0,False,True,td120-180,lat2-3
R0890,209.53367289522254,18.043363505944612,11.612783438419841,4,0.010458233159647137,2.4026246981933044,14.515979298024801,0.3658809008906195,0.25,150.4156485588162,0.23224568021557918,0.041856215822034554,0.09113498367335901,1.0,3.9591762464819387,122.85401243525928,31.03019537067222,1.0,False,False,td180-300,lat4
R1143,48.688531120868284,11.860211022771509,4.105199395473377,5,0.010215477642896154,1.5426280094551403,5.131499244341722,0.10678403887492197,0.25,64.43293132495455,0.11046260773426814,0.1940544264957473,0.10277865856676757,1.0,1.5515097685336101,89.90266619324312,57.9452788609984,1.0,False,False,td40-80,lat5-6
R1330,281.6801299868545,25.923012886958027,10.866025921260446,1,0.007449715614964485,2.458868417205217,13.582532401575559,0.31479751109642634,0.25,90.40090771566035,0.2692429455756273,0.06969470187380401,0.10931008973883889,1.0,1.135370852372753,800.0,704.6155873458625,1.0,False,True,td180-300,lat1
R1345,314.55303443606647,32.588304965558144,9.652328796128261,2,0.005242973016666744,2.175452038927996,12.065410995160324,0.3193386345486193,0.25,80.20501112326679,-0.03590889174457962,0.22272669367603512,0.06444123586719669,1.0,2.8972639430499196,428.4068829159843,147.86601819404993,1.0,False,False,td300+,lat2-3
R1489,154.48555476007593,21.862045211862924,7.066381633693081,1,0.00863501107216079,2.4036089115347865,8.832977042116351,0.12037292049760087,0.25,121.2739131680344,-0.2426532857705283,0.18803349086925092,0.11691811008994259,1.0,1.5515097685336101,800.0,515.6267889670523,1.0,False,True,td120-180,lat1
R1569,82.5177343996346,36.38646136537409,2.2678142172450917,4,0.0053407775558939425,2.4743118236737067,2.834767771556365,0.21534491356671515,0.25,125.47544736910189,0.14064645287463934,0.1905003558972776,0.04986409529813182,4.0,13.806129088084548,585.4276268957477,42.40345886675825,1.0,False,False,td80-120,lat4
R1641,12.966247434470345,2.2769127253672448,5.694661587162508,1,0.06072755863027519,1.7605255202995327,7.118326983953134,0.10737221021577777,0.25,194.15633867332508,0.03455808560689644,0.08051250467461911,0.10820661103412045,1.0,0.05,313.5015310141363,6270.030620282725,1.0,True,False,td0-40,lat1
R1687,208.4842785550694,36.304267137687866,5.742693490117021,3,0.00532058565321915,2.4593890320274348,7.178366862646276,0.3313635529237941,0.25,108.40201651577138,-0.060624094134767936,0.04298425261831077,0.14327680894088296,1.0,7.393300909702492,167.8827671139434,22.707417047455063,1.0,False,False,td180-300,lat2-3
R1809,148.48450566368834,16.946830246477106,8.7617863343238,4,0.012553070510569315,2.7086230262423228,10.95223291790475,0.2560231260191134,0.25,121.42262580464654,-0.2886944815742102,0.2317449646678871,0.050757443230091535,1.0,5.410303258116627,122.85401243525928,22.707417047455085,1.0,False,False,td120-180,lat4
R1990,121.73297752400958,25.91928958566501,4.696617055096122,2,0.006570980849378332,2.1685199104636634,5.870771318870153,0.1784794509145567,0.25,117.46763619254247,-0.29438827356242125,0.017344262843728222,0.010052336072469518,1.0,3.9591762464819387,585.4276268957477,147.8660181940497,1.0,False,False,td120-180,lat2-3
R2068,61.781837725979436,6.530168311779696,9.460987033754074,6,0.01921051656115869,1.5972523536080008,11.826233792192594,0.24291811030092564,0.25,182.72812744463113,0.09423487984616868,0.1208020513077641,0.03785366397550521,1.0,1.5515097685336101,89.90266619324312,57.9452788609984,1.0,False,False,td40-80,lat5-6
R2070,340.01630356325313,28.483485080161397,11.937313941968174,4,0.006814779257429409,2.471468260938062,14.921642427460217,0.13301692274800453,0.25,150.36441205575386,0.17469884414893622,0.03691944358664085,0.04282960444396556,1.0,13.806129088084548,89.90266619324312,6.511793828643402,1.0,False,False,td300+,lat4
R2200,35.08846199957421,2.989525954000008,11.73713242148829,1,0.04925955335136313,1.8750070994478034,14.671415526860363,0.2864902541470724,0.25,181.6640261345494,0.04602524232498123,0.12073281511154693,0.10523219709787608,1.0,0.05,313.5015310141363,6270.030620282725,1.0,True,False,td0-40,lat1
R2208,194.34503065306157,19.60808855057857,9.911472510528165,4,0.008072774737514174,2.015432290003314,12.389340638160206,0.2631747435107146,0.25,172.57852166428285,0.09665667776537834,0.03321017912478354,0.09819034610808076,1.0,5.410303258116627,122.85401243525928,22.707417047455085,1.0,False,False,td180-300,lat4
R2226,97.57342002454222,12.364871304743609,7.891179586083484,1,0.006752755870557877,1.063116278889828,9.863974482604355,0.21722710755477265,0.25,143.98429093080006,-0.23721904199521093,0.10841762404854746,0.04477906855512701,1.0,1.5515097685336101,800.0,515.6267889670523,1.0,False,True,td80-120,lat1
R2338,14.884406983975957,1.674992324213307,8.886253846546259,2,0.03973126094223556,0.8473352779650355,11.107817308182824,0.1029122695507646,0.25,102.41222271990962,0.11513298285800755,0.16316741497195522,0.09017546583894252,1.0,0.4449256256096033,167.8827671139434,377.32770928607044,1.0,False,False,td0-40,lat2-3
R2340,72.01649998856557,12.083272491485353,5.960016215748921,1,0.01832682064225489,2.8195630960608877,7.450020269686152,0.19023837847248465,0.25,180.47394520137414,0.21121098048310244,0.053137995550919255,0.005709748263374894,1.0,0.6080008597733432,800.0,1315.7876130277714,1.0,False,True,td40-80,lat1
R2362,57.44967594224752,4.916643540852401,11.684734812458549,1,0.031692114463776545,1.9839469601029645,14.605918515573187,0.2923668196584603,0.25,153.53215261184152,-0.1360718097989497,0.01881065560970917,0.1410273756744025,1.0,0.6080008597733432,428.4068829159843,704.6155873458637,1.0,False,False,td40-80,lat1
R2377,215.5924564121108,18.466289884749052,11.674919962680994,2,0.0108624698807267,2.5539850617189055,14.593649953351242,0.1683831320334438,0.25,166.70464002459096,-0.09607868365032654,0.19845971153229008,0.03203799934737822,1.0,2.1201729433379146,800.0,377.32770928607,1.0,False,True,td180-300,lat2-3
R2449,82.747726674471,12.13237466192751,6.820406472785649,4,0.0052949170396993615,0.8179280309438202,8.525508090982061,0.13271418928888523,0.25,122.80656882752041,-0.15680894874779047,0.1149752073465906,0.13170342227016948,1.0,2.8972639430499196,122.85401243525928,42.403458866758314,1.0,False,False,td80-120,lat4
R2557,86.37776710644869,8.377831681307478,10.310277216379719,4,0.01761045391068342,1.8785047581078682,12.887846520474648,0.09428259063733578,0.25,148.74922309386488,-0.003982611023182425,0.1495455839833814,0.03304441157095094,1.0,1.5515097685336101,167.8827671139434,108.2060651623326,1.0,False,False,td80-120,lat4
R2611,57.76796349566478,8.552719887363091,6.75433829898004,2,0.0184469671620035,2.0088122211225663,8.442922873725049,0.23373995622984373,0.25,126.04012593894551,0.08775017385394934,0.02295758912542496,0.07759207934355487,1.0,0.05,428.4068829159843,8568.137658319685,1.0,True,False,td40-80,lat2-3
R2792,84.5784943760398,13.101582673047659,6.455593685641747,2,0.010534672684234353,1.757336489162991,8.069492107052184,0.4321962687936396,0.25,125.77846753418784,-0.24258215942489172,0.08098017119621141,0.11046546314548657,1.0,0.6080008597733432,585.4276268957477,962.8730247420858,1.0,False,False,td80-120,lat2-3
R2836,5.395053090643795,0.956295627363065,5.641616395884158,4,0.06592794549061805,0.8027343191252663,7.052020494855198,0.3979392784756445,0.25,144.31441701865043,-0.14625112553135636,0.1293655176544402,0.021785651052240833,1.0,0.05,229.41557166223677,4588.311433244735,1.0,True,False,td0-40,lat4
R2866,187.20367092092036,25.640616518724965,7.301059659942586,3,0.006350799576768864,2.0733231133468717,9.126324574928233,0.38032263705252095,0.25,100.94521690375615,-0.15906202776879666,0.23636949979326627,0.017886262244536894,1.0,7.393300909702492,229.41557166223677,31.030195370672192,1.0,False,False,td180-300,lat2-3
R2871,197.01499886819357,21.0016330459664,9.380937112699078,4,0.008290053915297501,2.216769510985602,11.726171390873846,0.07556982108745064,0.25,86.7109438718916,0.12339330395630793,0.0721254319725595,0.04217599668760844,1.0,3.9591762464819387,122.85401243525928,31.03019537067222,1.0,False,False,td180-300,lat4
