rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kp,opt_Kd,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,td_bin,lat_bin
R8769,4.2263480710408965,2.094458996547181,2.0178710005821263,1,0.08572839268042082,2.286160213723009,2.522338750727658,0.361627200600472,156.5609939411105,-0.10017821283968156,115.62844575768011,1.0,0.5,303.6848699070746,607.3697398141492,1.0,True,False,td0-40,lat1
R1641,12.966247434470345,2.2769127253672448,5.694661587162508,1,0.06072755863027519,1.7605255202995327,7.118326983953134,0.10737221021577777,194.15633867332508,0.03455808560689644,82.35745631970453,1.0,0.5,303.6848699070746,607.3697398141492,1.0,True,False,td0-40,lat1
R5525,15.476411195033384,1.685915372130632,9.179826847105945,1,0.06233681879981646,1.3381060201327406,11.474783558882432,0.3193531640605157,193.8747114090574,0.016671256827397785,82.35745631970453,1.0,0.5,303.6848699070746,607.3697398141492,1.0,True,False,td0-40,lat1
R2200,35.08846199957421,2.989525954000008,11.73713242148829,1,0.04925955335136313,1.8750070994478034,14.671415526860363,0.2864902541470724,181.6640261345494,0.04602524232498123,82.35745631970453,1.0,0.5,303.6848699070746,607.3697398141492,1.0,True,False,td0-40,lat1
R9812,13.436027459582201,4.194965412404011,3.202893501780366,1,0.03805347894407542,2.0325108388528137,4.003616877225458,0.31107994974706416,165.45778515237956,-0.2838598446261293,82.35745631970453,1.0,1.2491257717535775,303.6848699070746,243.11792837381654,1.0,False,False,td0-40,lat1
R6086,29.01144400492663,2.813746463031553,10.310610563564945,2,0.04232992100741776,1.5165004333573127,12.88826320445618,0.20842923455621742,62.78284732858889,-0.2557995599138922,58.65987877815546,1.0,0.5,121.55896418690836,243.1179283738167,1.0,True,False,td0-40,lat2-3
R2338,14.884406983975957,1.674992324213307,8.886253846546259,2,0.03973126094223556,0.8473352779650355,11.107817308182824,0.1029122695507646,102.41222271990962,0.11513298285800755,82.35745631970453,1.0,0.5,121.55896418690836,243.1179283738167,1.0,True,False,td0-40,lat2-3
R6774,3.238292530134727,1.5471422690416885,2.093079993309568,2,0.07418518960848733,1.4613612296172562,2.6163499916369597,0.2942316674040663,146.44595573192672,0.20787565080131792,82.35745631970453,1.0,0.5,480.0,960.0,1.0,True,True,td0-40,lat2-3
R3429,22.364842509492814,2.737771319869597,8.16899583510798,3,0.07935556580913602,2.76620703064128,10.211244793884974,0.38286767374026265,133.3583511183796,-0.09027658229855057,58.65987877815546,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td0-40,lat2-3
R7019,37.6174464367618,8.962559787785517,4.197176624475984,2,0.01134308945698572,1.2944150136112271,5.246470780594979,0.41321500647697523,149.83670231230496,0.0747615278584367,162.34034009544706,1.0,0.7902929114428325,480.0,607.3697398141496,1.0,False,True,td0-40,lat2-3
R6700,11.846140749512378,4.184945615799983,2.8306558404936166,4,0.05214864682331336,2.7787084445050794,3.5383198006170207,0.382394659505358,185.14996786955282,-0.1423240829213274,82.35745631970453,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td0-40,lat4
R4853,16.871624874420764,1.9745888122585908,8.544373780342916,4,0.06725165286209948,1.6907903218536036,10.680467225428645,0.197890652129868,155.8090870452187,-0.19069610125078262,82.35745631970453,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td0-40,lat4
R3870,8.37985466379884,0.715916264036867,11.705076535832559,4,0.08510777537700717,0.775785371394641,14.6313456697907,0.21136060080241698,122.5412117512438,0.24344894621326024,58.65987877815546,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td0-40,lat4
R7587,8.116201007149744,0.8602146561000319,9.435088032499104,4,0.09212450837870997,1.009002261357134,11.793860040623882,0.3833027629240863,156.61951655886747,0.19964599142021267,41.78105458855241,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td0-40,lat4
R2836,5.395053090643795,0.956295627363065,5.641616395884158,4,0.06592794549061805,0.8027343191252663,7.052020494855198,0.3979392784756445,144.31441701865043,-0.14625112553135636,41.78105458855241,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td0-40,lat4
R6739,28.5499033888247,3.6424142173563148,7.838181405284098,6,0.05992897857026768,2.7793057553347227,9.797726756605122,0.3677852783375682,156.3213523442767,0.2529287273664413,41.78105458855241,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td0-40,lat5-6
R8442,14.858850566535493,2.2172859694863445,6.701368597023003,5,0.08454884423176365,2.386929009872256,8.376710746278754,0.26224589206552323,188.95160784450857,0.25714128161938327,82.35745631970453,1.0,0.5,303.6848699070746,607.3697398141492,1.0,True,False,td0-40,lat5-6
R4215,29.580633453465925,3.8742675547409506,7.635155041697632,5,0.052661784774063705,2.5977377288780263,9.54394380212204,0.05970994263750284,126.32074275680364,-0.22214085383101367,58.65987877815546,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td0-40,lat5-6
R8400,22.0846592886953,4.350727668718048,5.076084041638624,6,0.03555424689438735,1.9695340900048037,6.34510505204828,0.41620055710619414,80.56855042368673,0.0033002080340521767,58.65987877815546,1.0,0.5,121.55896418690836,243.1179283738167,1.0,True,False,td0-40,lat5-6
R4812,15.585100831469525,1.4360262229160319,10.852936097379905,5,0.08523607587037775,1.558460992050756,13.56617012172488,0.07985757282376588,61.514791615476234,-0.21107376755099375,21.19609566078763,1.0,0.5,76.90753796904167,153.81507593808334,1.0,True,False,td0-40,lat5-6
R3724,61.10966698595062,7.8221661868943935,7.812371346486666,1,0.020406670719775817,2.0324005979441138,9.765464183108332,0.35686932812539623,138.83892287461515,-0.016299875447298884,320.0,1.0,0.5,480.0,960.0,1.0,True,True,td40-80,lat1
R0234,44.89246476578255,5.245894664664795,8.557637473769427,1,0.036674186992451716,2.4495718329973184,10.697046842211783,0.22020608632903793,96.82737634939254,0.29009120390868687,58.65987877815546,1.0,0.5,192.13437543849358,384.26875087698716,1.0,True,False,td40-80,lat1
R2362,57.44967594224752,4.916643540852401,11.684734812458549,1,0.031692114463776545,1.9839469601029645,14.605918515573187,0.2923668196584603,153.53215261184152,-0.1360718097989497,82.35745631970453,1.0,0.5,303.6848699070746,607.3697398141492,1.0,True,False,td40-80,lat1
R2939,40.86772317676719,3.5283207332847795,11.582768763405573,1,0.04250867596683244,1.9096586896697425,14.478460954256967,0.1691849774335254,139.05508006014475,0.051506074905397714,82.35745631970453,1.0,0.5,303.6848699070746,607.3697398141492,1.0,True,False,td40-80,lat1
R2340,72.01649998856557,12.083272491485353,5.960016215748921,1,0.01832682064225489,2.8195630960608877,7.450020269686152,0.19023837847248465,180.47394520137414,0.21121098048310244,320.0,1.0,0.5,480.0,960.0,1.0,True,True,td40-80,lat1
R4987,53.16130472806418,4.945154207269621,10.750181389675259,3,0.027799848867706606,1.7503802019973707,13.437726737094074,0.3667840885320389,170.61723634900363,0.022958610271179736,58.65987877815546,1.0,0.5,303.6848699070746,607.3697398141492,1.0,True,False,td40-80,lat2-3
R2611,57.76796349566478,8.552719887363091,6.75433829898004,2,0.0184469671620035,2.0088122211225663,8.442922873725049,0.23373995622984373,126.04012593894551,0.08775017385394934,162.34034009544706,1.0,0.5,480.0,960.0,1.0,True,True,td40-80,lat2-3
