rocket_id,regime,td,latency,kp_pid,kd_pid,b0,pid_sr,pid_rms,adrc_sr,adrc_rms
R0026,FRAGILE,367.97884529976704,5,58.65987877815546,1.0,32.39137830158145,0.7,5.848917979800204,1.0,2.886932448791835
R0179,FRAGILE,98.96797353395854,5,115.62844575768013,1.0,12.079611515572138,0.8,4.159059514482449,1.0,1.974128303162025
R0236,FRAGILE,168.5998668667279,6,41.78105458855241,1.0,21.485337127938408,0.95,4.058282192690053,1.0,1.7783473502249827
R0303,FRAGILE,217.5129605955632,6,58.65987877815546,1.0,21.34511034067251,0.55,6.792172597546594,0.85,4.2814321748945705
R0333,FRAGILE,150.66632825684047,4,227.9230326898601,2.0,18.672631790568712,0.85,3.9855212333597976,1.0,1.447904716298795
R0400,FRAGILE,214.6999063287188,5,41.78105458855241,1.0,19.379628939556724,0.9,4.9978418970565315,0.95,3.681133132710536
R0540,FRAGILE,143.03955295219828,6,41.78105458855241,1.0,13.633976400338609,0.95,4.880502522599129,1.0,1.8695517112250055
R0581,FRAGILE,227.87584343420303,5,29.758952096260835,1.0,22.498723546172275,0.85,5.806766502131128,0.9,5.209724248420505
R0709,FRAGILE,120.15969202344482,5,82.35745631970453,1.0,22.80576925138233,1.0,3.3234982121522045,1.0,1.6817608254399616
R0769,FRAGILE,178.93312424290602,5,7.658973741837444,1.0,14.991824988788828,0.75,5.68551966633145,1.0,2.305987363021118
R0840,FRAGILE,112.45188096717152,5,115.62844575768013,1.0,30.05582151863792,0.85,4.665685756780948,0.95,5.096294275066117
R0864,FRAGILE,297.6144442048734,4,58.65987877815546,1.0,29.84215200118187,0.95,4.949794741959206,1.0,2.2525162383080453
R0906,FRAGILE,79.44097470036105,5,115.62844575768013,1.0,9.53472108776517,0.65,4.333656232991705,1.0,1.1975896029819437
R0969,FRAGILE,115.84897376423488,5,162.34034009544706,1.0,14.638691821579592,0.55,6.928268163103572,1.0,1.8590105583232475
R1080,FRAGILE,89.61299441200431,5,115.62844575768013,1.0,8.142754440008241,1.0,3.2938539811288834,1.0,1.1847635910758885
R1217,FRAGILE,143.54577869065147,5,82.35745631970453,1.0,12.68393569861513,0.95,4.203233602498963,1.0,1.9513827570737874
R1229,FRAGILE,58.81504741996059,5,162.34034009544706,1.0,6.708663819387181,0.85,2.5947711687262336,1.0,0.4029017106455801
R1300,FRAGILE,174.62530282827237,5,82.35745631970453,2.0,20.85035314019539,0.7,6.485799833375222,1.0,2.953580644291186
R1319,FRAGILE,90.03227526313664,4,227.9230326898601,2.0,12.446461728037733,0.8,3.564307466375026,1.0,2.2801554259394043
R1439,FRAGILE,96.30208815896428,5,115.62844575768013,1.0,13.632931534340694,0.7,4.393145065391915,1.0,1.9636291589555654
R1641,FRAGILE,209.91106234246683,4,82.35745631970453,1.0,25.462129728160907,0.7,5.248104645451416,1.0,2.1886710156317384
R1701,FRAGILE,173.3475551633541,5,41.78105458855241,1.0,15.406112846598312,0.95,4.359431174699782,1.0,1.9036858980477789
R1707,FRAGILE,166.3271113441963,4,41.78105458855241,1.0,20.05623430491554,1.0,4.206041652997296,0.95,4.761430341547846
R1713,FRAGILE,122.16500398486026,6,29.758952096260835,1.0,17.695364540657714,0.85,4.452676278680608,1.0,1.5163730441897376
R1714,FRAGILE,133.65978526451477,5,115.62844575768013,1.0,11.30347421956704,0.4,6.169451456112959,1.0,2.383916573636191
R1715,FRAGILE,170.13315758703897,6,10.753066807087182,1.0,25.566546778741852,0.5,8.664374101211347,0.95,4.442124583856797
R2072,FRAGILE,351.3367592924232,6,29.758952096260835,1.0,33.474462067189485,0.7,8.826258844418252,0.5,8.215356808077697
R2080,FRAGILE,311.79245101667595,5,10.753066807087182,1.0,29.606545749199764,0.5,10.243860024099735,0.75,5.430898819820753
R2083,FRAGILE,177.62159173197742,5,115.62844575768013,2.0,20.04370512777419,0.5,7.753279424272063,1.0,1.862336457824648
R2106,FRAGILE,144.84147635852042,6,21.19609566078763,1.0,31.857029227708004,0.9,5.955267787300994,0.95,4.05041180198732
R2107,FRAGILE,92.08421691730304,4,162.34034009544706,1.0,10.144835905964197,0.95,2.497351988135628,1.0,0.7690653345290824
R2139,FRAGILE,175.57769106028084,4,162.34034009544706,2.0,17.675978275375225,0.75,5.026826832524425,1.0,1.8227971719191582
