regime,p_unstable,slew_code,u_max_code,Kp,Kd,theta0_deg,seed,stable,rms_deg,peak_deg,end_deg,failure_time_s,metric,first_cross_s,peak_early,lead_time_s,crossed,lead_valid,threshold
LOW_DEMAND,4,18,10.2,30,10,3,104,1,0.821654818039183,2.7098216661466,0.455568739368853,NaN,LESO_DHAT_O4,NaN,8.31283229338735,NaN,0,0,22.2806497216406
LOW_DEMAND,4,18,10.2,30,10,3,104,1,0.821654818039183,2.7098216661466,0.455568739368853,NaN,LESO_DHAT_O8,NaN,15.1409161539341,NaN,0,0,40.5850762924148
LOW_DEMAND,4,18,10.2,30,10,3,104,1,0.821654818039183,2.7098216661466,0.455568739368853,NaN,LESO_DHAT_O12,NaN,18.9252103425689,NaN,0,0,113.68283462573
LOW_DEMAND,4,18,10.2,30,10,3,104,1,0.821654818039183,2.7098216661466,0.455568739368853,NaN,LESO_DHAT_O16,NaN,21.4878742922513,NaN,0,0,222.375648979326
LOW_DEMAND,4,18,10.2,30,10,3,105,1,0.691610895056313,2.48148182723024,0.0499687345243758,NaN,THETA_ABS,NaN,1.26212845563285,NaN,0,0,3.33033854304802
LOW_DEMAND,4,18,10.2,30,10,3,105,1,0.691610895056313,2.48148182723024,0.0499687345243758,NaN,Q_ABS,NaN,5.3631997747904,NaN,0,0,13.1289848403107
LOW_DEMAND,4,18,10.2,30,10,3,105,1,0.691610895056313,2.48148182723024,0.0499687345243758,NaN,CMD_GAP,NaN,0.588970586823542,NaN,0,0,1.48964232950244
LOW_DEMAND,4,18,10.2,30,10,3,105,1,0.691610895056313,2.48148182723024,0.0499687345243758,NaN,RATE_GAP,NaN,6.30200355460649,NaN,0,0,10.6710449380633
LOW_DEMAND,4,18,10.2,30,10,3,105,1,0.691610895056313,2.48148182723024,0.0499687345243758,NaN,LESO_DHAT_O4,NaN,8.98470261585883,NaN,0,0,22.2806497216406
LOW_DEMAND,4,18,10.2,30,10,3,105,1,0.691610895056313,2.48148182723024,0.0499687345243758,NaN,LESO_DHAT_O8,NaN,13.8218065294425,NaN,0,0,40.5850762924148
LOW_DEMAND,4,18,10.2,30,10,3,105,1,0.691610895056313,2.48148182723024,0.0499687345243758,NaN,LESO_DHAT_O12,NaN,16.8234563053626,NaN,0,0,113.68283462573
LOW_DEMAND,4,18,10.2,30,10,3,105,1,0.691610895056313,2.48148182723024,0.0499687345243758,NaN,LESO_DHAT_O16,NaN,23.5414548331524,NaN,0,0,222.375648979326
LOW_DEMAND,4,18,10.2,30,10,3,106,1,0.808000981308296,2.06488126530524,1.23970590984381,NaN,THETA_ABS,NaN,1.05143491770373,NaN,0,0,3.33033854304802
LOW_DEMAND,4,18,10.2,30,10,3,106,1,0.808000981308296,2.06488126530524,1.23970590984381,NaN,Q_ABS,NaN,5.29038539040607,NaN,0,0,13.1289848403107
LOW_DEMAND,4,18,10.2,30,10,3,106,1,0.808000981308296,2.06488126530524,1.23970590984381,NaN,CMD_GAP,NaN,0.6107773726884,NaN,0,0,1.48964232950244
LOW_DEMAND,4,18,10.2,30,10,3,106,1,0.808000981308296,2.06488126530524,1.23970590984381,NaN,RATE_GAP,NaN,5.5919997447445,NaN,0,0,10.6710449380633
LOW_DEMAND,4,18,10.2,30,10,3,106,1,0.808000981308296,2.06488126530524,1.23970590984381,NaN,LESO_DHAT_O4,2.945,8.12891989120374,NaN,1,0,22.2806497216406
LOW_DEMAND,4,18,10.2,30,10,3,106,1,0.808000981308296,2.06488126530524,1.23970590984381,NaN,LESO_DHAT_O8,NaN,14.4233850775486,NaN,0,0,40.5850762924148
LOW_DEMAND,4,18,10.2,30,10,3,106,1,0.808000981308296,2.06488126530524,1.23970590984381,NaN,LESO_DHAT_O12,NaN,18.579289111961,NaN,0,0,113.68283462573
LOW_DEMAND,4,18,10.2,30,10,3,106,1,0.808000981308296,2.06488126530524,1.23970590984381,NaN,LESO_DHAT_O16,NaN,23.1224106353376,NaN,0,0,222.375648979326
LOW_DEMAND,4,18,10.2,30,10,6,201,1,1.3554158180726,5.3889549637195,0.0118204103400892,NaN,THETA_ABS,NaN,2.79119135203132,NaN,0,0,3.33033854304802
LOW_DEMAND,4,18,10.2,30,10,6,201,1,1.3554158180726,5.3889549637195,0.0118204103400892,NaN,Q_ABS,NaN,12.0140989134778,NaN,0,0,13.1289848403107
LOW_DEMAND,4,18,10.2,30,10,6,201,1,1.3554158180726,5.3889549637195,0.0118204103400892,NaN,CMD_GAP,NaN,1.03944107202675,NaN,0,0,1.48964232950244
LOW_DEMAND,4,18,10.2,30,10,6,201,1,1.3554158180726,5.3889549637195,0.0118204103400892,NaN,RATE_GAP,NaN,5.41554748719712,NaN,0,0,10.6710449380633
LOW_DEMAND,4,18,10.2,30,10,6,201,1,1.3554158180726,5.3889549637195,0.0118204103400892,NaN,LESO_DHAT_O4,2.9,12.5772634239068,NaN,1,0,22.2806497216406
LOW_DEMAND,4,18,10.2,30,10,6,201,1,1.3554158180726,5.3889549637195,0.0118204103400892,NaN,LESO_DHAT_O8,NaN,19.0094383381475,NaN,0,0,40.5850762924148
LOW_DEMAND,4,18,10.2,30,10,6,201,1,1.3554158180726,5.3889549637195,0.0118204103400892,NaN,LESO_DHAT_O12,NaN,30.6627467063546,NaN,0,0,113.68283462573
LOW_DEMAND,4,18,10.2,30,10,6,201,1,1.3554158180726,5.3889549637195,0.0118204103400892,NaN,LESO_DHAT_O16,NaN,80.0999501876563,NaN,0,0,222.375648979326
LOW_DEMAND,4,18,10.2,30,10,6,202,1,1.49378250032017,5.81101368310704,0.175054661158663,NaN,THETA_ABS,NaN,3.024915587628,NaN,0,0,3.33033854304802
LOW_DEMAND,4,18,10.2,30,10,6,202,1,1.49378250032017,5.81101368310704,0.175054661158663,NaN,Q_ABS,0.295,13.1289848403107,NaN,1,0,13.1289848403107
LOW_DEMAND,4,18,10.2,30,10,6,202,1,1.49378250032017,5.81101368310704,0.175054661158663,NaN,CMD_GAP,NaN,1.07145558750916,NaN,0,0,1.48964232950244
LOW_DEMAND,4,18,10.2,30,10,6,202,1,1.49378250032017,5.81101368310704,0.175054661158663,NaN,RATE_GAP,NaN,8.23942926147566,NaN,0,0,10.6710449380633
LOW_DEMAND,4,18,10.2,30,10,6,202,1,1.49378250032017,5.81101368310704,0.175054661158663,NaN,LESO_DHAT_O4,NaN,15.5693491010557,NaN,0,0,22.2806497216406
LOW_DEMAND,4,18,10.2,30,10,6,202,1,1.49378250032017,5.81101368310704,0.175054661158663,NaN,LESO_DHAT_O8,NaN,26.748039165637,NaN,0,0,40.5850762924148
