rocket_id,td,keff,latency,kp_floor,kp_ceiling,window_ratio,Kp,kp_norm,sr_mean,slew_frac,rms_mean
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,0.3,0.0015979453076992796,1.0,0.05499999999999999,4.009875323470094
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,0.4130544058925202,0.0022001278324015544,1.0,0.05633333333333333,3.9448769574358487
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,0.5687131407574095,0.003029241649000742,1.0,0.056666666666666664,3.746893720417435
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,0.7830315615960701,0.0041708053654429325,1.0,0.058666666666666666,3.776613558459656
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,1.0781154549005236,0.005742565107721221,1.0,0.05600000000000001,3.4259413443918456
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,1.4844011290249333,0.007906639396229685,1.0,0.05566666666666666,3.3126208538439945
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,2.043794754851934,0.01088624079472016,1.0,0.05633333333333333,2.919791728714917
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,2.813994760772049,0.01498869907955351,1.0,0.056666666666666664,2.5953698691633846
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,3.874443113651211,0.020637160644689134,1.0,0.058666666666666666,2.191853474011965
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,5.334519328245224,0.028414233764668565,1.0,0.05800000000000001,1.8421983823939354
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,7.34482237283499,0.039122081488521206,1.0,0.056333333333333326,1.6101518454603472
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,10.112704138658158,0.05386516042173296,1.0,0.05633333333333333,1.5146090889361026
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,13.92365666653426,0.07416413945434738,1.0,0.05700000000000001,1.3001208729988192
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,19.170759107489125,0.1021127485361516,1.0,0.05633333333333333,1.0226053330685976
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,26.39522171217514,0.14059373560217472,1.0,0.056666666666666664,0.9218475118085141
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,36.34220874241284,0.1935762064378878,1.0,0.05533333333333333,0.8154294134602473
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,50.03769813639764,0.2665250164837653,1.0,0.056999999999999995,0.6928218736081182
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,68.89430558652998,0.36696444113065285,1.0,0.05533333333333333,0.7681209128554117
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,94.85698821140626,0.5052542640496751,1.0,0.05633333333333333,0.8924128988299639
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,130.60365636805395,0.6956583328723366,1.0,0.06,0.7998752436797383
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,179.82138562832463,0.9578157979625468,1.0,0.07966666666666668,1.6052552630239831
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,247.58671869159136,1.3187667846062998,0.8,0.137,8.048625397944262
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,340.88928332011267,1.8157414357544812,0.0,0.207,22.59776781056657
R3429,22.364842509492814,2.737771319869597,3,0.4261187487198085,187.74109386255512,440.5839790588585,469.3527346563878,2.5,0.0,0.24133333333333332,38.5442189065688
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,0.3,0.0006696432954022758,0.4,0.19066666666666668,7.787877697644433
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,0.42274299215296135,0.0009436233679117582,0.4,0.188,7.400751083705581
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,0.5957054580481292,0.001329700553388238,0.4,0.1913333333333333,7.865747366324288
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,0.8394343592570552,0.0018737386353559747,0.6,0.19433333333333336,7.437274309341608
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,1.182883309161105,0.0026403662574099717,0.8,0.193,6.765479471863898
