rocket_id,keff,lat,Pi,wind,floor,ceil,window_ratio,floor_censored,ceil_censored,opt_kd_floor,opt_kd_ceil
R8967,3.9999323219478344,1,3.9999323219478344,0.37549896887201084,0.5445114811318649,500.0,,0,1,0.5445114811318649,32.0
R4487,4.001272727285028,2,16.00509090914011,0.4016014932457716,0.05,500.0,,1,1,0.57,32.0
R0822,3.9965298380481538,3,35.96876854243338,0.11894775049227738,0.05,500.0,,1,1,0.57,32.0
R9188,4.004611424403108,4,64.07378279044973,0.42558738029329507,0.05,500.0,,1,1,0.15800000000000003,32.0
R1074,3.998661203472126,6,143.95180332499655,0.15216988634640444,0.05,500.0,,1,1,0.15800000000000003,32.0
R9975,8.044429597868524,1,8.044429597868524,0.24471045433362226,0.5445114811318649,500.0,,0,1,0.5445114811318649,32.0
R7140,8.01150387487206,2,32.04601549948824,0.18726313518668286,0.0989159441392082,500.0,,0,1,0.31257438347989797,32.0
R6937,7.954757748494814,3,71.59281973645334,0.1989154983042698,0.2752394903927485,500.0,,0,1,0.8697567896410853,32.0
R5359,7.972240501628969,4,127.5558480260635,0.340146346589521,0.05,500.0,,1,1,0.57,32.0
R3813,7.967842407116117,5,199.19606017790292,0.3502631398564647,0.1391279701103562,500.0,,0,1,0.43964438554872565,32.0
R0259,12.98487367899014,1,12.98487367899014,0.12262768416700567,0.05,500.0,,1,1,0.15800000000000003,0.57
R7210,13.065397468737562,2,52.261589874950246,0.09296838699821379,0.05,500.0,,1,1,0.57,0.57
R3383,13.016445158612784,3,117.14800642751506,0.1947963744222469,0.05,500.0,,1,1,0.15800000000000003,32.0
R0648,12.987418186959415,4,207.79869099135064,0.41820351215730106,1.0772173450159415,500.0,,0,1,0.34470955040510126,32.0
R2771,13.03669298593427,5,325.9173246483567,0.24037282267344434,0.0989159441392082,90.82998941876633,918.2542835656282,0,0,0.31257438347989797,0.57
R7031,19.866965666470445,1,19.866965666470445,0.2751459891105228,0.05,500.0,,1,1,0.15800000000000003,32.0
R1551,20.54628840058805,2,82.1851536023522,0.05309579978510502,0.05,500.0,,1,1,0.01,32.0
R5391,20.439996866202595,3,183.95997179582335,0.19021831913890513,0.05,500.0,,1,1,0.15800000000000003,32.0
R3261,20.572803389140507,4,329.1648542262481,0.09746202024570452,0.05,500.0,,1,1,0.15800000000000003,32.0
R5654,20.49535595136254,5,512.3838987840635,0.3390953364506354,0.2752394903927485,64.57748325074412,234.62288481422613,0,0,0.2752394903927485,0.57
R7855,35.065222439887194,1,35.065222439887194,0.4489742452288959,0.05,500.0,,1,1,0.57,0.57
R3089,35.29859794557465,2,141.1943917822986,0.3770501149460492,0.2752394903927485,500.0,,0,1,0.2752394903927485,32.0
R4870,34.57092982347235,3,311.1383684112511,0.17809396734107213,0.05,355.4854716156215,,1,0,0.15800000000000003,32.0
R3898,34.675735267602015,4,554.8117642816322,0.13205937997784606,0.07032636210526184,64.57748325074412,918.2542835656277,0,0,0.22223130425262744,0.57
R2920,34.97965659822752,6,1259.2676375361907,0.11502928616263966,0.05,32.642605705639234,,1,0,0.15800000000000003,0.57
