rocket_id,regime,sr_adrc,sr_pid_best,sr_kp2
R0001,EASY,1.0,0.0,0.6666666666666666
R0002,EASY,1.0,1.0,1.0
R0003,EASY,1.0,0.0,1.0
R0004,EASY,1.0,0.3333333333333333,1.0
R0005,EASY,1.0,0.0,0.3333333333333333
R0006,EASY,1.0,1.0,0.3333333333333333
R0007,EASY,1.0,0.6666666666666666,0.3333333333333333
R0008,EASY,1.0,0.0,0.6666666666666666
R0009,EASY,1.0,0.0,0.6666666666666666
R0010,EASY,1.0,0.3333333333333333,0.6666666666666666
R0011,EASY,1.0,0.0,0.6666666666666666
R0012,EASY,1.0,0.0,0.6666666666666666
R0013,EASY,1.0,0.0,0.6666666666666666
R0014,EASY,1.0,0.0,1.0
R0015,EASY,1.0,0.0,0.6666666666666666
R0016,EASY,1.0,0.0,0.3333333333333333
R0017,EASY,1.0,0.0,1.0
R0018,EASY,1.0,0.0,0.3333333333333333
R0019,EASY,1.0,0.0,0.6666666666666666
R0020,EASY,1.0,1.0,0.3333333333333333
R0021,EASY,1.0,0.0,1.0
R0022,EASY,1.0,0.3333333333333333,0.6666666666666666
R0023,EASY,1.0,0.0,0.6666666666666666
R0024,EASY,1.0,0.6666666666666666,0.3333333333333333
R0025,EASY,1.0,0.0,1.0
R0026,EASY,1.0,0.6666666666666666,1.0
R0027,EASY,1.0,0.6666666666666666,1.0
R0028,EASY,1.0,1.0,0.3333333333333333
R0029,EASY,1.0,0.0,0.0
R0030,EASY,1.0,0.3333333333333333,0.6666666666666666
R0031,EASY,1.0,0.6666666666666666,0.3333333333333333
R0032,EASY,1.0,1.0,0.6666666666666666
R0033,EASY,1.0,1.0,1.0
R0034,EASY,1.0,0.0,0.6666666666666666
R0035,EASY,1.0,1.0,1.0
R0036,EASY,1.0,0.6666666666666666,0.3333333333333333
R0037,EASY,1.0,0.0,1.0
R0038,EASY,1.0,0.0,1.0
R0039,EASY,1.0,0.0,0.3333333333333333
R0040,EASY,1.0,0.0,0.3333333333333333
R0041,EASY,1.0,0.3333333333333333,0.6666666666666666
R0042,EASY,1.0,1.0,1.0
R0043,EASY,1.0,0.0,1.0
R0044,EASY,1.0,0.3333333333333333,1.0
R0045,EASY,1.0,0.3333333333333333,0.6666666666666666
R0046,EASY,1.0,0.0,0.6666666666666666
R0047,EASY,1.0,0.0,0.3333333333333333
R0048,EASY,1.0,0.0,0.3333333333333333
R0049,EASY,1.0,1.0,1.0
R0050,EASY,1.0,0.3333333333333333,0.6666666666666666
R0051,EASY,1.0,0.0,1.0
R0052,EASY,1.0,0.0,1.0
R0053,EASY,1.0,1.0,1.0
R0054,EASY,1.0,0.0,0.6666666666666666
R0055,EASY,1.0,1.0,1.0
