t,st,state,px,pz,vx,vz,th_deg,q_dps,estX,estZ,estVx,estVz,thEst_deg,uTVC,deploy,keff,thrust,legs,chute
20.711,5,COAST,0.937,47.910,0.322,-12.655,-10.93,3.063,0.926,47.930,0.313,-12.637,-10.93,0.076,1.000,2.825,0.00,0,0
20.731,5,COAST,0.944,47.655,0.324,-12.847,-10.86,3.946,0.932,47.681,0.314,-12.825,-10.86,0.076,1.000,2.825,0.00,0,0
20.751,5,COAST,0.950,47.396,0.325,-13.038,-10.77,4.859,0.938,47.422,0.316,-13.018,-10.78,0.076,1.000,2.825,0.00,0,0
20.771,5,COAST,0.957,47.133,0.326,-13.230,-10.67,5.804,0.944,47.166,0.316,-13.206,-10.67,0.076,1.000,2.825,0.00,0,0
20.791,5,COAST,0.963,46.867,0.328,-13.421,-10.54,6.782,0.950,46.898,0.318,-13.398,-10.55,0.076,1.000,2.825,0.00,0,0
20.811,5,COAST,0.970,46.596,0.329,-13.612,-10.39,7.794,0.956,46.632,0.318,-13.586,-10.41,0.076,1.000,2.825,0.00,0,0
20.831,5,COAST,0.977,46.322,0.330,-13.803,-10.23,8.842,0.963,46.361,0.320,-13.776,-10.24,0.076,1.000,2.825,0.00,0,0
20.851,5,COAST,0.983,46.044,0.332,-13.993,-10.04,9.927,0.969,46.082,0.322,-13.967,-10.06,0.076,1.000,2.825,0.00,0,0
20.871,5,COAST,0.990,45.762,0.333,-14.184,-9.83,11.052,0.976,45.798,0.323,-14.160,-9.85,0.076,1.000,2.825,0.00,0,0
20.891,5,COAST,0.997,45.477,0.335,-14.375,-9.59,12.217,0.977,45.507,0.322,-14.354,-9.62,0.076,1.000,2.825,0.00,0,0
20.911,5,COAST,1.003,45.187,0.336,-14.565,-9.34,13.424,0.983,45.215,0.324,-14.547,-9.37,0.076,1.000,2.825,0.00,0,0
20.931,5,COAST,1.010,44.894,0.338,-14.755,-9.06,14.676,0.990,44.924,0.325,-14.735,-9.09,0.076,1.000,2.825,0.00,0,0
20.951,5,COAST,1.017,44.597,0.339,-14.945,-8.75,15.974,0.996,44.623,0.326,-14.928,-8.79,0.076,1.000,2.825,0.00,0,0
20.971,5,COAST,1.024,44.296,0.341,-15.135,-8.42,16.826,1.003,44.330,0.328,-15.115,-8.46,0.076,0.870,2.825,0.00,0,0
20.991,5,COAST,1.030,43.991,0.342,-15.325,-8.08,17.216,1.009,44.029,0.329,-15.303,-8.12,0.076,0.790,2.825,0.00,0,0
21.011,5,COAST,1.037,43.683,0.344,-15.514,-7.73,17.454,1.016,43.715,0.331,-15.496,-7.78,0.076,0.758,2.825,0.00,0,0
21.031,5,COAST,1.044,43.370,0.346,-15.703,-7.38,17.648,1.031,43.397,0.336,-15.689,-7.43,0.076,0.748,2.825,0.00,0,0
21.051,5,COAST,1.051,43.054,0.347,-15.893,-7.03,17.795,1.038,43.091,0.337,-15.873,-7.07,0.076,0.732,2.825,0.00,0,0
21.071,5,COAST,1.058,42.734,0.349,-16.082,-6.67,17.855,1.045,42.773,0.338,-16.061,-6.72,0.076,0.709,2.825,0.00,0,0
21.091,5,COAST,1.065,42.411,0.350,-16.271,-6.31,17.741,1.052,42.452,0.340,-16.248,-6.36,0.076,0.673,2.825,0.00,0,0
21.111,5,COAST,1.072,42.083,0.352,-16.459,-5.96,17.447,1.058,42.124,0.341,-16.438,-6.01,0.076,0.633,2.825,0.00,0,0
21.131,5,COAST,1.079,41.752,0.354,-16.648,-5.62,16.966,1.065,41.793,0.343,-16.626,-5.66,0.076,0.605,2.825,0.00,0,0
21.151,5,COAST,1.086,41.417,0.355,-16.836,-5.28,16.463,1.075,41.468,0.345,-16.809,-5.32,0.076,0.598,2.825,0.00,0,0
21.171,5,COAST,1.093,41.079,0.357,-17.025,-4.96,15.936,1.082,41.132,0.346,-16.996,-5.00,0.076,0.593,2.825,0.00,0,0
21.191,5,COAST,1.100,40.736,0.359,-17.213,-4.65,15.338,1.089,40.791,0.348,-17.183,-4.69,0.076,0.577,2.825,0.00,0,0
21.211,5,COAST,1.108,40.390,0.361,-17.400,-4.35,14.667,1.096,40.447,0.350,-17.370,-4.38,0.076,0.558,2.825,0.00,0,0
21.231,5,COAST,1.115,40.040,0.362,-17.588,-4.06,13.918,1.103,40.102,0.352,-17.556,-4.09,0.076,0.543,2.825,0.00,0,0
21.251,5,COAST,1.122,39.686,0.364,-17.776,-3.79,13.137,1.110,39.752,0.354,-17.742,-3.82,0.076,0.543,2.825,0.00,0,0
21.271,5,COAST,1.129,39.329,0.366,-17.963,-3.54,12.371,1.114,39.396,0.356,-17.930,-3.56,0.076,0.541,2.825,0.00,0,0
21.291,5,COAST,1.137,38.968,0.368,-18.150,-3.30,11.618,1.121,39.031,0.358,-18.119,-3.32,0.076,0.538,2.825,0.00,0,0
21.311,5,COAST,1.144,38.603,0.369,-18.337,-3.07,10.827,1.129,38.663,0.360,-18.309,-3.10,0.076,0.534,2.825,0.00,0,0
21.331,5,COAST,1.152,38.234,0.371,-18.524,-2.86,9.997,1.136,38.299,0.362,-18.493,-2.88,0.076,0.531,2.825,0.00,0,0
21.351,5,COAST,1.159,37.861,0.373,-18.711,-2.67,9.178,1.143,37.919,0.364,-18.686,-2.69,0.076,0.533,2.825,0.00,0,0
21.371,5,COAST,1.167,37.485,0.375,-18.897,-2.50,8.423,1.150,37.550,0.366,-18.868,-2.51,0.076,0.539,2.825,0.00,0,0
21.391,5,COAST,1.174,37.105,0.377,-19.083,-2.34,7.734,1.150,37.178,0.365,-19.051,-2.35,0.076,0.542,2.825,0.00,0,0
21.411,5,COAST,1.182,36.722,0.379,-19.269,-2.19,7.055,1.158,36.790,0.367,-19.240,-2.20,0.076,0.539,2.825,0.00,0,0
21.431,5,COAST,1.189,36.334,0.381,-19.455,-2.06,6.385,1.165,36.405,0.369,-19.425,-2.06,0.076,0.543,2.825,0.00,0,0
21.451,5,COAST,1.197,35.943,0.383,-19.641,-1.93,5.726,1.172,36.021,0.371,-19.609,-1.94,0.076,0.546,2.825,0.00,0,0
21.471,5,COAST,1.205,35.549,0.385,-19.826,-1.83,5.193,1.180,35.631,0.372,-19.792,-1.83,0.076,0.555,2.825,0.00,0,0
21.491,5,COAST,1.212,35.150,0.387,-20.011,-1.73,4.670,1.187,35.232,0.374,-19.979,-1.74,0.076,0.560,2.825,0.00,0,0
21.511,5,COAST,1.220,34.748,0.389,-20.196,-1.64,4.156,1.195,34.831,0.375,-20.163,-1.65,0.076,0.557,2.825,0.00,0,0
21.531,5,COAST,1.228,34.342,0.391,-20.381,-1.56,3.651,1.208,34.422,0.380,-20.351,-1.57,0.076,0.557,2.825,0.00,0,0
21.551,5,COAST,1.236,33.933,0.393,-20.566,-1.49,3.154,1.216,34.018,0.381,-20.533,-1.50,0.076,0.561,2.825,0.00,0,0
21.571,5,COAST,1.243,33.519,0.395,-20.750,-1.44,2.729,1.223,33.609,0.384,-20.715,-1.44,0.076,0.566,2.825,0.00,0,0
21.591,5,COAST,1.251,33.102,0.397,-20.935,-1.38,2.378,1.231,33.196,0.386,-20.897,-1.39,0.076,0.571,2.825,0.00,0,0
21.611,5,COAST,1.259,32.682,0.399,-21.119,-1.34,2.035,1.239,32.779,0.389,-21.080,-1.35,0.076,0.574,2.825,0.00,0,0
21.631,5,COAST,1.267,32.257,0.401,-21.302,-1.30,1.699,1.247,32.360,0.391,-21.262,-1.31,0.076,0.576,2.825,0.00,0,0
21.651,5,COAST,1.275,31.829,0.403,-21.486,-1.27,1.441,1.254,31.938,0.393,-21.443,-1.28,0.076,0.580,2.825,0.00,0,0
21.671,5,COAST,1.283,31.398,0.405,-21.669,-1.25,1.260,1.262,31.503,0.394,-21.629,-1.25,0.076,0.580,2.825,0.00,0,0
21.691,5,COAST,1.292,30.962,0.407,-21.853,-1.22,1.087,1.270,31.070,0.397,-21.811,-1.22,0.076,0.581,2.825,0.00,0,0
21.711,5,COAST,1.300,30.523,0.409,-22.036,-1.20,0.923,1.278,30.639,0.400,-21.990,-1.20,0.076,0.581,2.825,0.00,0,0
21.731,5,COAST,1.308,30.081,0.412,-22.218,-1.19,0.767,1.286,30.202,0.402,-22.171,-1.19,0.076,0.582,2.825,0.00,0,0
21.751,5,COAST,1.316,29.635,0.414,-22.401,-1.17,0.618,1.294,29.754,0.404,-22.355,-1.17,0.076,0.582,2.825,0.00,0,0
21.771,5,COAST,1.325,29.185,0.416,-22.583,-1.16,0.478,1.297,29.308,0.404,-22.537,-1.16,0.076,0.587,2.825,0.00,0,0
21.791,5,COAST,1.333,28.731,0.418,-22.765,-1.15,0.345,1.305,28.853,0.406,-22.721,-1.15,0.076,0.588,2.825,0.00,0,0
21.811,5,COAST,1.341,28.274,0.420,-22.947,-1.15,0.219,1.313,28.398,0.408,-22.902,-1.15,0.076,0.589,2.825,0.00,0,0
21.831,5,COAST,1.350,27.813,0.423,-23.129,-1.14,0.100,1.321,27.934,0.410,-23.087,-1.15,0.076,0.593,2.825,0.00,0,0
21.851,5,COAST,1.358,27.348,0.425,-23.310,-1.14,0.150,1.329,27.471,0.412,-23.268,-1.14,0.076,0.595,2.825,0.00,0,0
21.871,5,COAST,1.367,26.880,0.427,-23.491,-1.14,0.127,1.337,27.004,0.415,-23.450,-1.14,0.076,0.592,2.825,0.00,0,0
21.891,5,COAST,1.375,26.409,0.430,-23.672,-1.14,0.028,1.352,26.533,0.421,-23.631,-1.14,0.076,0.589,2.825,0.00,0,0
21.911,5,COAST,1.384,25.933,0.432,-23.853,-1.14,-0.064,1.361,26.058,0.423,-23.813,-1.14,0.076,0.591,2.825,0.00,0,0
21.931,5,COAST,1.393,25.454,0.434,-24.034,-1.14,-0.062,1.369,25.581,0.426,-23.992,-1.14,0.076,0.593,2.825,0.00,0,0
21.951,5,COAST,1.401,24.972,0.437,-24.214,-1.14,0.035,1.378,25.098,0.429,-24.173,-1.14,0.076,0.595,2.825,0.00,0,0
21.971,5,COAST,1.410,24.486,0.439,-24.394,-1.14,0.051,1.386,24.609,0.432,-24.356,-1.14,0.076,0.592,2.825,0.00,0,0
21.991,5,COAST,1.419,23.996,0.441,-24.574,-1.14,-0.014,1.395,24.112,0.434,-24.540,-1.14,0.076,0.590,2.825,0.00,0,0
22.011,5,COAST,1.428,23.503,0.444,-24.753,-1.14,-0.071,1.404,23.624,0.436,-24.718,-1.14,0.076,0.591,2.825,0.00,0,0
22.031,6,BURN,1.437,23.006,0.446,-24.922,-1.14,-0.029,1.412,23.135,0.438,-24.888,-1.14,0.076,0.594,2.825,1.87,0,0
22.051,6,BURN,1.446,22.506,0.447,-25.010,-1.20,-6.872,1.421,22.642,0.440,-24.986,-1.19,-2.352,0.594,2.825,5.60,0,0
22.071,6,BURN,1.454,22.006,0.445,-25.005,-1.43,-15.926,1.430,22.140,0.438,-24.996,-1.39,-1.328,0.594,2.825,9.33,0,0
22.091,6,BURN,1.463,21.507,0.439,-24.906,-1.79,-18.657,1.439,21.642,0.434,-24.911,-1.74,0.032,0.594,2.825,13.07,0,0
22.111,6,BURN,1.472,21.010,0.429,-24.715,-2.13,-15.201,1.447,21.145,0.423,-24.733,-2.09,0.725,0.594,2.825,16.80,0,0
22.131,6,BURN,1.480,20.519,0.413,-24.431,-2.39,-10.625,1.456,20.647,0.408,-24.465,-2.36,0.374,0.594,2.825,20.53,0,0
22.151,6,BURN,1.488,20.034,0.391,-24.054,-2.63,-15.502,1.458,20.164,0.384,-24.099,-2.59,-0.449,0.594,2.825,24.27,0,0
22.171,6,BURN,1.496,19.558,0.362,-23.584,-3.04,-24.862,1.465,19.686,0.356,-23.644,-2.97,-0.430,0.594,2.825,28.00,0,0
22.191,6,BURN,1.503,19.091,0.324,-23.073,-3.52,-21.779,1.472,19.219,0.318,-23.130,-3.46,0.537,0.594,2.825,27.43,0,0
22.211,6,BURN,1.509,18.635,0.283,-22.577,-3.79,-6.101,1.478,18.756,0.277,-22.634,-3.78,0.775,0.594,2.825,26.86,0,0
22.231,6,BURN,1.514,18.189,0.241,-22.097,-3.95,-11.553,1.483,18.307,0.235,-22.150,-3.92,-0.438,0.594,2.825,26.29,0,0
22.251,6,BURN,1.518,17.752,0.196,-21.631,-4.35,-25.032,1.488,17.862,0.190,-21.686,-4.28,-0.667,0.594,2.825,25.71,0,0
22.271,6,BURN,1.522,17.324,0.148,-21.181,-4.84,-22.333,1.499,17.433,0.145,-21.232,-4.78,0.581,0.594,2.825,25.14,0,0
22.291,6,BURN,1.524,16.905,0.096,-20.745,-5.13,-8.102,1.501,17.010,0.092,-20.795,-5.11,1.085,0.594,2.825,24.57,0,0
22.311,6,BURN,1.526,16.494,0.043,-20.325,-5.25,-5.637,1.503,16.592,0.039,-20.375,-5.24,-0.004,0.594,2.825,24.00,0,0
22.331,6,BURN,1.526,16.092,-0.010,-19.919,-5.48,-18.056,1.503,16.188,-0.014,-19.967,-5.43,-0.859,0.594,2.825,23.43,0,0
22.351,6,BURN,1.525,15.698,-0.065,-19.528,-5.91,-22.967,1.502,15.786,-0.069,-19.577,-5.84,0.001,0.594,2.825,22.86,0,0
22.371,6,BURN,1.523,15.311,-0.123,-19.153,-6.29,-13.694,1.500,15.397,-0.126,-19.199,-6.25,1.229,0.594,2.825,22.29,0,0
22.391,6,BURN,1.520,14.932,-0.182,-18.792,-6.38,2.164,1.504,15.017,-0.182,-18.835,-6.38,0.905,0.594,2.825,21.71,0,0
22.411,6,BURN,1.516,14.560,-0.239,-18.446,-6.37,-2.535,1.500,14.639,-0.240,-18.489,-6.36,-0.700,0.594,2.825,21.14,0,0
22.431,6,BURN,1.511,14.194,-0.295,-18.114,-6.57,-16.884,1.495,14.274,-0.297,-18.154,-6.52,-1.028,0.594,2.825,20.57,0,0
22.451,6,BURN,1.504,13.836,-0.353,-17.797,-6.95,-18.189,1.488,13.912,-0.354,-17.836,-6.90,0.492,0.594,2.825,20.00,0,0
22.471,6,BURN,1.496,13.483,-0.411,-17.495,-7.13,-1.006,1.481,13.554,-0.412,-17.533,-7.13,1.546,0.594,2.825,19.43,0,0
22.491,6,BURN,1.488,13.136,-0.468,-17.208,-7.06,6.634,1.472,13.209,-0.469,-17.241,-7.08,0.509,0.594,2.825,18.86,0,0
22.511,6,BURN,1.478,12.795,-0.523,-16.935,-7.02,-3.393,1.462,12.867,-0.524,-16.965,-7.01,-0.840,0.594,2.825,18.29,0,0
22.531,6,BURN,1.467,12.459,-0.577,-16.674,-7.20,-13.150,1.462,12.527,-0.574,-16.705,-7.17,-0.432,0.594,2.825,18.00,0,0
22.551,6,BURN,1.454,12.128,-0.632,-16.416,-7.40,-5.974,1.450,12.191,-0.629,-16.450,-7.39,0.980,0.594,2.896,18.00,0,0
22.571,6,BURN,1.441,11.802,-0.688,-16.159,-7.37,6.777,1.437,11.864,-0.684,-16.192,-7.40,1.111,0.594,3.119,18.00,0,0
22.591,6,BURN,1.427,11.482,-0.743,-15.901,-7.21,8.263,1.423,11.538,-0.739,-15.936,-7.24,0.044,0.594,3.693,18.00,0,0
22.611,6,BURN,1.412,11.166,-0.797,-15.644,-7.12,1.348,1.408,11.219,-0.793,-15.680,-7.12,-0.436,0.594,4.226,18.00,0,0
22.631,6,BURN,1.395,10.856,-0.850,-15.387,-7.15,-2.707,1.392,10.904,-0.847,-15.425,-7.14,-0.002,0.594,4.432,18.00,0,0
22.651,6,BURN,1.377,10.551,-0.904,-15.130,-7.15,1.683,1.377,10.596,-0.900,-15.169,-7.16,0.624,0.594,4.609,18.00,0,0
22.671,6,BURN,1.359,10.251,-0.958,-14.873,-7.07,6.067,1.358,10.300,-0.953,-14.909,-7.10,0.718,0.594,4.885,18.00,0,0
22.691,6,BURN,1.339,9.957,-1.011,-14.616,-6.91,10.447,1.339,10.000,-1.006,-14.654,-6.94,0.464,0.594,5.081,18.00,0,0
22.711,6,BURN,1.318,9.667,-1.062,-14.360,-6.67,12.020,1.318,9.709,-1.057,-14.398,-6.71,0.144,0.594,5.265,18.00,0,0
22.731,6,BURN,1.297,9.382,-1.111,-14.103,-6.44,10.806,1.297,9.424,-1.106,-14.140,-6.48,0.045,0.594,5.420,18.00,0,0
22.751,6,BURN,1.274,9.103,-1.159,-13.846,-6.24,9.620,1.274,9.153,-1.154,-13.877,-6.27,0.216,0.594,5.519,18.00,0,0
22.771,6,BURN,1.250,8.829,-1.205,-13.589,-6.00,14.074,1.250,8.866,-1.201,-13.627,-6.05,0.438,0.594,5.566,18.00,0,0
22.791,6,BURN,1.226,8.560,-1.249,-13.333,-5.67,18.530,1.226,8.593,-1.245,-13.371,-5.73,0.425,0.594,5.618,18.00,0,0
22.811,6,BURN,1.200,8.296,-1.290,-13.076,-5.27,20.182,1.200,8.335,-1.286,-13.110,-5.34,0.216,0.594,5.713,18.00,0,0
22.831,6,BURN,1.174,8.037,-1.327,-12.819,-4.88,19.052,1.174,8.076,-1.324,-12.852,-4.94,0.100,0.594,5.814,18.00,0,0
22.851,6,BURN,1.147,7.783,-1.362,-12.562,-4.51,17.954,1.148,7.828,-1.358,-12.591,-4.57,0.200,0.594,5.879,18.00,0,0
22.871,6,BURN,1.120,7.535,-1.394,-12.305,-4.10,22.500,1.120,7.581,-1.390,-12.332,-4.18,0.362,0.594,5.907,18.00,0,0
22.891,6,BURN,1.091,7.291,-1.423,-12.047,-3.60,27.052,1.092,7.333,-1.419,-12.076,-3.69,0.311,0.594,5.954,18.00,0,0
22.911,6,BURN,1.063,7.053,-1.447,-11.790,-3.07,26.000,1.064,7.093,-1.444,-11.820,-3.16,0.126,0.594,6.043,18.00,0,0
22.931,6,BURN,1.033,6.820,-1.467,-11.533,-2.56,24.983,1.035,6.855,-1.464,-11.565,-2.65,0.097,0.594,6.119,18.00,0,0
22.951,6,BURN,1.004,6.592,-1.484,-11.275,-2.07,24.000,1.005,6.627,-1.480,-11.306,-2.16,0.212,0.594,6.166,18.00,0,0
22.971,6,BURN,0.974,6.369,-1.496,-11.018,-1.54,28.661,0.976,6.403,-1.493,-11.049,-1.64,0.329,0.594,6.184,18.00,0,0
22.991,6,BURN,0.944,6.152,-1.504,-10.761,-0.94,30.520,0.946,6.181,-1.502,-10.793,-1.04,0.223,0.594,6.230,18.00,0,0
23.011,6,BURN,0.914,5.939,-1.508,-10.503,-0.34,29.597,0.916,5.964,-1.506,-10.538,-0.43,0.085,0.594,6.295,18.00,0,0
23.031,6,BURN,0.884,5.732,-1.506,-10.246,0.25,28.708,0.888,5.754,-1.504,-10.282,0.15,0.092,0.594,6.341,18.00,0,0
23.051,6,BURN,0.854,5.530,-1.500,-9.989,0.81,27.852,0.858,5.551,-1.499,-10.024,0.72,0.184,0.594,6.364,18.00,0,0
23.071,6,BURN,0.824,5.332,-1.490,-9.732,1.38,29.836,0.828,5.354,-1.488,-9.766,1.28,0.285,0.594,6.356,18.00,0,0
23.091,6,BURN,0.794,5.140,-1.476,-9.476,2.01,31.832,0.799,5.163,-1.474,-9.508,1.90,0.234,0.594,6.352,18.00,0,0
23.111,6,BURN,0.765,4.954,-1.456,-9.220,2.64,31.043,0.769,4.972,-1.454,-9.252,2.53,0.102,0.594,6.363,18.00,0,0
23.131,6,BURN,0.736,4.772,-1.431,-8.964,3.25,30.285,0.740,4.792,-1.430,-8.995,3.15,0.070,0.594,6.363,18.00,0,0
23.151,6,BURN,0.708,4.595,-1.402,-8.708,3.85,29.558,0.717,4.613,-1.399,-8.741,3.75,0.105,0.594,6.351,18.00,0,0
23.171,6,BURN,0.680,4.424,-1.368,-8.453,4.43,28.859,0.690,4.436,-1.365,-8.488,4.33,0.146,0.594,6.326,18.00,0,0
23.191,6,BURN,0.653,4.257,-1.330,-8.199,5.00,28.189,0.663,4.264,-1.327,-8.235,4.90,0.170,0.594,6.285,18.00,0,0
23.211,6,BURN,0.627,4.096,-1.287,-7.945,5.56,27.546,0.636,4.105,-1.284,-7.979,5.46,0.169,0.594,6.226,18.00,0,0
23.231,6,BURN,0.602,3.940,-1.240,-7.691,6.10,26.929,0.611,3.947,-1.238,-7.726,6.01,0.158,0.594,6.145,18.00,0,0
23.251,6,BURN,0.577,3.789,-1.189,-7.438,6.63,26.338,0.587,3.793,-1.186,-7.474,6.54,0.135,0.594,6.046,18.00,0,0
23.271,6,BURN,0.554,3.643,-1.134,-7.186,7.15,25.772,0.569,3.644,-1.128,-7.223,7.06,0.105,0.594,5.933,18.00,0,0
23.291,6,BURN,0.532,3.502,-1.075,-6.934,7.66,25.229,0.547,3.501,-1.069,-6.972,7.58,0.053,0.594,5.817,18.00,0,0
23.311,6,BURN,0.511,3.366,-1.012,-6.683,8.05,13.487,0.526,3.361,-1.007,-6.723,7.99,-0.842,0.594,5.760,18.00,0,0
23.331,6,BURN,0.492,3.235,-0.947,-6.432,8.25,7.431,0.506,3.234,-0.942,-6.469,8.22,-0.335,0.594,5.831,18.00,0,0
23.351,6,BURN,0.473,3.109,-0.881,-6.181,8.40,7.033,0.488,3.110,-0.877,-6.216,8.36,0.136,0.594,6.082,18.00,0,0
23.371,6,BURN,0.456,2.988,-0.814,-5.931,8.53,6.651,0.471,2.986,-0.809,-5.967,8.50,0.207,0.594,6.353,18.00,0,0
23.391,6,BURN,0.441,2.872,-0.746,-5.681,8.66,6.286,0.456,2.863,-0.741,-5.720,8.63,0.033,0.594,6.353,18.00,0,0
23.411,6,BURN,0.427,2.761,-0.676,-5.431,8.78,5.937,0.442,2.747,-0.672,-5.473,8.75,-0.186,0.594,6.353,18.00,0,0
23.431,6,BURN,0.414,2.655,-0.607,-5.182,8.84,-0.009,0.429,2.638,-0.602,-5.224,8.83,-0.309,0.594,6.353,18.00,0,0
23.451,6,BURN,0.403,2.554,-0.537,-4.932,8.79,-3.103,0.418,2.535,-0.532,-4.976,8.79,-0.176,0.594,6.632,18.00,0,0
23.471,6,BURN,0.393,2.458,-0.467,-4.683,8.73,-3.368,0.408,2.441,-0.464,-4.723,8.72,-0.027,0.594,6.916,18.00,0,0
23.491,6,BURN,0.384,2.366,-0.399,-4.433,8.66,-3.620,0.399,2.349,-0.395,-4.473,8.66,-0.034,0.594,7.164,18.00,0,0
23.511,6,BURN,0.377,2.280,-0.330,-4.184,8.58,-3.859,0.391,2.259,-0.327,-4.225,8.58,-0.129,0.594,7.164,18.00,0,0
23.531,6,BURN,0.371,2.199,-0.263,-3.934,8.50,-4.087,0.378,2.172,-0.263,-3.979,8.50,-0.220,0.594,7.268,18.00,0,0
23.551,6,BURN,0.366,2.123,-0.196,-3.685,8.36,-9.914,0.373,2.093,-0.196,-3.730,8.38,-0.253,0.594,7.440,18.00,0,0
23.571,6,BURN,0.363,2.052,-0.131,-3.435,8.16,-10.091,0.370,2.025,-0.131,-3.477,8.18,-0.145,0.594,7.622,18.00,0,0
23.591,6,BURN,0.361,1.986,-0.067,-3.185,7.96,-10.257,0.368,1.960,-0.067,-3.225,7.97,-0.092,0.594,7.779,18.00,0,0
23.611,6,BURN,0.360,1.925,-0.005,-2.935,7.75,-10.413,0.367,1.887,-0.004,-2.982,7.77,-0.130,0.594,7.899,18.00,0,0
23.631,6,BURN,0.361,1.869,0.055,-2.685,7.54,-10.560,0.367,1.828,0.057,-2.732,7.56,-0.202,0.594,7.977,18.00,0,0
23.651,6,BURN,0.363,1.818,0.114,-2.434,7.31,-13.507,0.363,1.773,0.113,-2.484,7.34,-0.273,0.594,8.004,18.00,0,0
23.671,6,BURN,0.366,1.772,0.171,-2.184,7.00,-16.424,0.366,1.731,0.170,-2.229,7.03,-0.218,0.594,8.040,18.00,0,0
23.691,6,BURN,0.369,1.731,0.225,-1.933,6.67,-16.517,0.370,1.688,0.224,-1.979,6.70,-0.119,0.594,8.092,18.00,0,0
23.711,6,BURN,0.375,1.695,0.276,-1.682,6.34,-16.602,0.375,1.650,0.275,-1.729,6.37,-0.108,0.594,8.126,18.00,0,0
23.731,6,BURN,0.381,1.664,0.325,-1.430,6.00,-16.680,0.381,1.622,0.324,-1.474,6.04,-0.161,0.594,8.134,18.00,0,0
23.751,6,BURN,0.388,1.638,0.371,-1.179,5.67,-16.752,0.387,1.592,0.371,-1.224,5.71,-0.230,0.594,8.111,18.00,0,0
23.771,6,BURN,0.395,1.617,0.415,-0.927,5.27,-22.430,0.387,1.562,0.412,-0.976,5.33,-0.256,0.594,8.065,18.00,0,0
23.791,6,BURN,0.404,1.601,0.455,-0.675,4.83,-22.464,0.396,1.544,0.451,-0.724,4.88,-0.129,0.594,8.079,18.00,0,0
23.811,7,TD,0.414,1.590,0.491,-0.422,4.38,-22.494,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.831,7,TD,0.424,1.584,0.524,-0.169,3.93,-22.520,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.851,7,TD,0.435,1.584,0.554,0.084,3.48,-22.544,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.871,7,TD,0.446,1.588,0.580,0.337,3.02,-22.567,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.891,7,TD,0.458,1.597,0.602,0.590,2.57,-22.589,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.911,7,TD,0.470,1.612,0.621,0.843,2.12,-22.612,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.931,7,TD,0.483,1.631,0.636,1.097,1.67,-22.636,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.951,7,TD,0.496,1.656,0.648,1.350,1.22,-22.661,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.971,7,TD,0.509,1.686,0.656,1.604,0.76,-22.689,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
23.991,7,TD,0.522,1.720,0.661,1.858,0.31,-22.720,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
24.011,7,TD,0.535,1.760,0.662,2.111,-0.15,-22.755,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,18.00,1,0
24.031,7,TD,0.548,1.804,0.661,2.163,-0.60,-22.793,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.051,7,TD,0.561,1.845,0.661,1.966,-1.06,-22.828,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.071,7,TD,0.575,1.883,0.662,1.770,-1.52,-22.859,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.091,7,TD,0.588,1.916,0.662,1.574,-1.97,-22.885,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.111,7,TD,0.601,1.945,0.662,1.377,-2.43,-22.908,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.131,7,TD,0.614,1.971,0.663,1.181,-2.89,-22.927,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.151,7,TD,0.628,1.992,0.663,0.985,-3.35,-22.944,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.171,7,TD,0.641,2.010,0.663,0.789,-3.81,-22.959,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.191,7,TD,0.654,2.024,0.664,0.592,-4.27,-22.972,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.211,7,TD,0.667,2.033,0.664,0.396,-4.73,-22.985,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
24.231,7,TD,0.681,2.039,0.664,0.200,-5.19,-22.996,0.401,1.538,0.470,-0.597,4.66,0.000,0.500,8.092,0.00,1,0
