factor,importance_pid,importance_adrc
aero_scale,0.0691195746747761,0.383804243132927
loop_delay_ms,0.382281891081875,0.284906286909714
slew_rate_deg_s,0.374491319444075,0.00317731095716712
mmi_inertia_scale,0.0600315401763862,0.100471646106748
cg_moment_coeff,0.0107493621521575,0.187487034484711
thrust_profile_amp,0.0648631945032948,0.020523151742629
gust_scale,0.118321924540422,0.0157576793622708
dist_step_scale,0.289116541839301,0.732550790090833
