ablation,uncertainty_level,predicted_best_controller,realistic_best_controller,top1_match,rank_spearman_rho,pred_score_pid,pred_score_adrc,pred_score_mpc,real_score_pid,real_score_adrc,real_score_mpc
A_inertia_error,0,ADRC,ADRC,1,1,64.3516732368234,58.2463898913341,63.326147679189,68.3158134311667,63.9476941666191,67.4700879865317
A_inertia_error,0.1,ADRC,ADRC,1,1,64.5139665191376,58.2351224925382,61.7984028212989,318.281775287742,63.8974992528247,67.6538412239403
A_inertia_error,0.2,ADRC,ADRC,1,1,64.3936387903236,58.2277185986556,62.2173254043708,68.2412604227819,63.8338848351943,67.4839116367166
A_inertia_error,0.3,ADRC,ADRC,1,1,64.3926671616418,58.2240040119726,61.6226073293437,68.056933381064,63.7641057382776,67.3276359962174
A_inertia_error,0.4,ADRC,ADRC,1,1,64.2513746571482,58.2355709908902,61.5774897829286,68.0973960821281,63.6945637345421,67.3945130501965
A_inertia_error,0.5,ADRC,ADRC,1,1,64.0905288142044,58.2418669197419,61.5148090146328,68.0675301520449,63.6406971740832,67.3990480745571
A_inertia_error,0.6,ADRC,ADRC,1,1,64.1562990813609,58.2438389798178,61.7897630418441,68.0819078108095,63.548864896998,67.1461959357813
A_inertia_error,0.7,ADRC,ADRC,1,1,63.9235909026455,58.2421963058282,61.7383496307904,68.026035977021,63.5227563123106,67.1831171752865
A_inertia_error,0.8,ADRC,ADRC,1,1,64.0690002240353,58.2374858707397,61.7005743021615,67.8793435367457,63.4381956335483,67.1319613098971
A_inertia_error,0.9,ADRC,ADRC,1,1,63.775061232917,58.2303733949546,61.6012522870589,67.7455253386982,63.3538008653696,66.9699115076872
A_inertia_error,1,ADRC,ADRC,1,1,63.9699539988342,58.2211673555504,61.3762002033142,67.782985474384,63.3202685721955,67.1001775420509
B_aero_error,0,ADRC,ADRC,1,1,65.4231997295488,58.909589286194,64.0115374072931,318.422896018104,63.9386648875434,67.5767437188033
B_aero_error,0.1,ADRC,ADRC,1,1,65.714595558769,59.0636519158559,63.9133679839222,68.186220205548,64.1826821897584,67.685309804393
B_aero_error,0.2,ADRC,ADRC,1,1,65.9460936056135,59.2126082144939,64.9592768286782,68.1566544939574,64.3792472495459,67.8510873879263
B_aero_error,0.3,ADRC,ADRC,1,1,66.0422908164555,59.3570352902881,65.2533149614279,68.1253270674125,64.5201517267502,67.8802461796211
B_aero_error,0.4,ADRC,ADRC,1,1,66.2203996925271,59.4967873124438,65.4306304966826,68.2000354553274,64.683191323377,68.1648846603794
B_aero_error,0.5,ADRC,ADRC,1,0.5,66.3380767359561,59.6320153045794,65.499535284264,68.0464164406449,64.8333917978381,319.113335625381
B_aero_error,0.6,ADRC,ADRC,1,0.5,66.4084919740155,59.762959570928,65.4935108692504,67.9490273564322,65.005520262761,319.781221056359
B_aero_error,0.7,ADRC,ADRC,1,0.5,66.5896708553282,59.8896728307252,65.6494212327768,68.0249537285889,65.1229372688175,320.716500795666
B_aero_error,0.8,ADRC,ADRC,1,0.5,66.7131883606205,60.0122735875802,65.7282577169361,67.7718386410777,65.190025420583,320.669040435627
B_aero_error,0.9,ADRC,ADRC,1,0.5,66.7675125927183,60.1308952995127,65.7760503424276,67.6902993331394,65.2587557149162,321.755505659325
B_aero_error,1,ADRC,PID,0,-0.5,66.8386048404426,60.245698789902,65.9100050692454,64.5749888875126,65.3297617057953,321.707449721236
C_latency_error,0,ADRC,ADRC,1,1,64.6666544655042,58.3021811585446,63.224861274576,318.340517394049,63.9365603876251,67.5841253277085
C_latency_error,0.1,ADRC,ADRC,1,1,65.4245591286176,58.3720528707847,64.8785910909663,68.3271543741779,64.0233673134738,67.7853340570219
C_latency_error,0.2,ADRC,ADRC,1,1,65.4245591286176,58.3720528707847,64.8785910909663,68.2876221257208,64.0596773866399,68.1523653861468
C_latency_error,0.3,ADRC,ADRC,1,1,65.4245591286176,58.3720528707847,64.8785910909663,68.2024278784865,64.0478092171278,67.8309613646927
C_latency_error,0.4,ADRC,ADRC,1,0.5,65.4245591286176,58.3720528707847,64.8785910909663,67.8357756880753,64.1287323201076,319.102455199804
C_latency_error,0.5,ADRC,ADRC,1,0.5,65.8006585914442,58.4461188821081,65.7864981000727,67.7865075623288,64.1857001588411,319.426293643504
C_latency_error,0.6,ADRC,ADRC,1,0.5,65.8006585914442,58.4461188821081,65.7864981000727,67.9460790917706,64.1744063541772,319.626110653106
C_latency_error,0.7,ADRC,ADRC,1,0.5,65.8006585914442,58.4461188821081,65.7864981000727,67.6933998297944,64.2447884336814,320.24061333239
C_latency_error,0.8,ADRC,ADRC,1,0.5,65.8006585914442,58.4461188821081,65.7864981000727,67.5920297401649,64.3292073755265,320.438620635928
C_latency_error,0.9,ADRC,ADRC,1,1,66.0336885500134,58.5174153244731,66.0350144965635,67.4492118671114,64.3673283994525,320.84021332233
C_latency_error,1,ADRC,ADRC,1,1,66.0336885500134,58.5174153244731,66.0350144965635,67.0631885625755,64.4206703927238,321.085295512239
