controller,factor,delta_theta_rmse_total_deg,delta_theta_rmse_boost_deg,delta_theta_rmse_coast_deg,max_abs_theta_deg,control_thd_pct,is_stable,region_importance
PID,aero,26.6680494330331,0.00699025375561169,32.7491609815023,80,55.5592971973995,1,coast_dominant
ADRC,aero,-0.626649881505173,-0.0315656903931762,-0.759820726392583,80,43.5396772183931,1,coast_dominant
PID,loop_delay,52.1712151540664,0.271332827190744,63.6930599826641,80,147.636476094452,1,coast_dominant
ADRC,loop_delay,2.80760323359437,0.802530454827142,3.39502793197551,80,45.3180084039854,1,coast_dominant
PID,slew_rate,21.3453022395971,0.116824581611491,26.2817728602506,80,57.1566503786695,1,coast_dominant
ADRC,slew_rate,1.30095623309512,0.961637726298323,1.56431842710905,80,41.4675626828775,1,coast_dominant
PID,mmi_inertia,17.3340255332851,-0.00151183749626371,21.4127680195122,80,64.7886278288052,1,coast_dominant
ADRC,mmi_inertia,-2.09115164719276,-0.132870064221247,-2.53525743741269,80,45.0310293611348,1,coast_dominant
PID,cg_shift,38.6662490966032,0.0231135248010053,47.3110834281681,80,38.9122469828646,1,coast_dominant
ADRC,cg_shift,3.54647574549205,0.112573469593608,4.30088014255271,80,48.8240311425756,1,coast_dominant
PID,thrust_profile,-0.0861781421667116,-0.00326783766887528,-0.123146295535931,10.7310053730514,116.918074710606,1,coast_dominant
ADRC,thrust_profile,-5.13859864585383,-0.0988525911657172,-6.23240746482583,80,42.7509500472901,1,coast_dominant
