factor,factor_value,signed_delta_rmse_pid,signed_delta_rmse_adrc,rmse_pid,rmse_adrc,thd_pid,thd_adrc,stable_pid,stable_adrc,abs_delta_rmse_pid,abs_delta_rmse_adrc
loop_delay_ms,0,-4.55968620341353,-0.906024760045241,60.9815040004727,62.0016853483178,66.6823156952175,63.5365110211871,1,1,4.55968620341353,0.906024760045241
loop_delay_ms,4,-4.55336100410653,-0.861822903098918,60.9878291997797,62.0458872052642,66.6357074082353,63.834515782764,1,1,4.55336100410653,0.861822903098918
loop_delay_ms,8,-4.14509130577589,-0.821766275664523,61.3960988981103,62.0859438326985,81.5483672686557,63.7417556601625,1,1,4.14509130577589,0.821766275664523
loop_delay_ms,12,-3.68032949692193,-0.756735536274462,61.8608607069643,62.1509745720886,90.5541215231945,63.664603517396,1,1,3.68032949692193,0.756735536274462
loop_delay_ms,16,-2.60375980166238,-0.670239002943646,62.9374304022238,62.2374711054194,99.8410674116025,63.9437214036257,1,1,2.60375980166238,0.670239002943646
loop_delay_ms,20,-2.74613151594929,-0.621482936677928,62.7950586879369,62.2862271716851,104.721146505885,64.0589389912737,1,1,2.74613151594929,0.621482936677928
loop_delay_ms,24,-1.93710980912547,-0.488193384006365,63.6040803947607,62.4195167243567,117.594859660217,64.2034032601213,1,1,1.93710980912547,0.488193384006365
loop_delay_ms,28,0.566097548978433,-0.391091594741226,66.1072877528646,62.5166185136218,118.673700831676,64.4823202165854,0,1,0.566097548978433,0.391091594741226
loop_delay_ms,32,0.92378678405062,-0.313201324711706,66.4649769879368,62.5945087836514,123.673227245438,64.4998889744863,0,1,0.92378678405062,0.313201324711706
loop_delay_ms,36,0.296919095219579,-0.173873948894361,65.8381092991058,62.7338361594687,124.414653298774,64.90602636243,0,1,0.296919095219579,0.173873948894361
loop_delay_ms,40,-0.11755385007514,-0.126679193160541,65.4236363538111,62.7810309152025,124.618949184222,64.784159848864,1,1,0.11755385007514,0.126679193160541
loop_delay_ms,44,-0.189998042664072,-0.0201480711965729,65.3511921612221,62.8875620371665,126.13269198108,64.9819692134716,1,1,0.189998042664072,0.0201480711965729
loop_delay_ms,48,-0.136621028028955,0.0841805839929037,65.4045691758572,62.991890692356,124.905300975573,65.1166659080087,1,1,0.136621028028955,0.0841805839929037
loop_delay_ms,52,-0.185304351011965,0.188383856022838,65.3558858528742,63.0960939643859,128.673420824211,65.2743082576653,1,1,0.185304351011965,0.188383856022838
loop_delay_ms,56,-0.339109288990841,0.303926134311979,65.2020809148954,63.211636242675,124.497802891365,65.684488936297,1,1,0.339109288990841,0.303926134311979
loop_delay_ms,60,-0.270939968794039,0.36324072911016,65.2702502350922,63.2709508374732,120.932074826347,65.4494105782642,1,1,0.270939968794039,0.36324072911016
slew_rate_deg_s,30,5.06501028844352,0.0850888838845663,70.6062004923297,62.9927989922476,114.041524295724,63.3076263857818,0,1,5.06501028844352,0.0850888838845663
slew_rate_deg_s,36,5.76426690720618,0.0673571475687211,71.3054571110924,62.9750672559318,125.951603053057,64.0776064550283,0,1,5.76426690720618,0.0673571475687211
slew_rate_deg_s,42,6.20384947377306,0.0348502511716902,71.7450396776593,62.9425603595348,133.804082811095,64.2551988981323,0,1,6.20384947377306,0.0348502511716902
slew_rate_deg_s,48,4.53861118951433,0.0398861697378976,70.0798013934005,62.947596278101,146.417992027165,64.2143275419363,0,1,4.53861118951433,0.0398861697378976
slew_rate_deg_s,54,-1.47008672643815,0.0409905986563359,64.071103477448,62.9487007070194,134.002396062925,64.8571183712016,1,1,1.47008672643815,0.0409905986563359
slew_rate_deg_s,60,-0.0121121412908565,0.0330453658367134,65.5290780625953,62.9407554741998,127.737090156184,65.0973772284892,1,1,0.0121121412908565,0.0330453658367134
slew_rate_deg_s,66,0.984475068378657,0.00994431758554271,66.5256652722649,62.9176544259486,125.197410629161,65.2134047141931,0,1,0.984475068378657,0.00994431758554271
slew_rate_deg_s,72,0.63204932881635,-0.0374615543830785,66.1732395327026,62.87024855398,125.387790589288,65.081711529121,0,1,0.63204932881635,0.0374615543830785
slew_rate_deg_s,78,-1.12968485233682,-0.0679022253940502,64.4115053515494,62.839807882969,128.717702602258,65.4448589035886,1,1,1.12968485233682,0.0679022253940502
slew_rate_deg_s,84,-5.0330199548831,-0.0503749198811576,60.5081702490031,62.8573351884819,121.960638440148,65.3868415522768,1,1,5.0330199548831,0.0503749198811576
slew_rate_deg_s,90,-2.21977365473013,-0.070370962943997,63.3214165491561,62.8373391454191,116.098775963492,65.6890205014551,1,1,2.21977365473013,0.070370962943997
slew_rate_deg_s,96,-1.42709158621788,-0.0308980355954773,64.1140986176683,62.8768120727676,117.895467119166,66.1387318325689,1,1,1.42709158621788,0.0308980355954773
slew_rate_deg_s,102,-1.77488153880336,-0.0700380085993828,63.7663086650828,62.8376720997637,118.783097499201,66.1895971635718,1,1,1.77488153880336,0.0700380085993828
slew_rate_deg_s,108,-3.14669463859662,-0.0736008056779625,62.3944955652896,62.8341093026851,120.192574882329,66.4285203882839,1,1,3.14669463859662,0.0736008056779625
slew_rate_deg_s,114,-4.37695330466223,-0.0787620757380409,61.164236899224,62.828948032625,117.155070888088,66.3089187684865,1,1,4.37695330466223,0.0787620757380409
slew_rate_deg_s,120,-7.04847920250796,-0.0919730831611929,58.4927110013782,62.8157370252019,121.111370018609,66.6823347197621,1,1,7.04847920250796,0.0919730831611929
aero_scale,0.7,0.0775487783406561,-0.876067757709663,65.6187389822269,62.0316423506534,121.703550841135,62.7430308611643,1,1,0.0775487783406561,0.876067757709663
aero_scale,0.76,0.163413649959253,-0.691073667114281,65.7046038538455,62.2166364412488,123.122793686395,63.1691687442675,1,1,0.163413649959253,0.691073667114281
aero_scale,0.82,0.403407307936135,-0.498598526000016,65.9445975118223,62.4091115823631,123.129893359099,63.6256976017161,0,1,0.403407307936135,0.498598526000016
aero_scale,0.88,0.0654205872382363,-0.331307569759147,65.6066107911244,62.5764025386039,123.55547218562,63.8880101287359,1,1,0.0654205872382363,0.331307569759147
aero_scale,0.94,-0.0394542257019452,-0.173393332567677,65.5017359781843,62.7343167757954,123.829851815611,64.3911415700232,1,1,0.0394542257019452,0.173393332567677
aero_scale,1,-0.131377993333004,0.00661690167349605,65.4098122105532,62.9143270100366,126.065622401862,65.0981584383319,1,1,0.131377993333004,0.00661690167349605
aero_scale,1.06,-0.142115634928757,0.132659600781238,65.3990745689574,63.0403697091443,130.877790000555,65.2741544843564,1,1,0.142115634928757,0.132659600781238
aero_scale,1.12,-0.424512788438136,0.287683873115625,65.1166774154481,63.1953939814787,127.838721075711,65.7925529459544,1,1,0.424512788438136,0.287683873115625
aero_scale,1.18,-0.4158133699259,0.440710003831988,65.1253768339603,63.3484201121951,131.325949403412,66.1200224717618,1,1,0.4158133699259,0.440710003831988
aero_scale,1.24,-0.278566308201405,0.555720232699343,65.2626238956848,63.4634303410624,127.78697227866,66.7114533678633,1,1,0.278566308201405,0.555720232699343
aero_scale,1.3,-0.673151331381519,0.661820010578595,64.8680388725047,63.5695301189417,131.67026582387,66.8105650103195,1,1,0.673151331381519,0.661820010578595
aero_scale,1.36,-0.524928767287747,0.793896677416981,65.0162614365985,63.7016067857801,127.810176845194,67.4272507179832,1,1,0.524928767287747,0.793896677416981
aero_scale,1.42,-1.70817301810232,0.87134584194056,63.8330171857839,63.7790559503036,135.851957320004,67.8042748393436,1,1,1.70817301810232,0.87134584194056
aero_scale,1.48,-1.11947435767024,0.979544305107389,64.421715846216,63.8872544134705,130.873786903783,68.3083011829954,1,1,1.11947435767024,0.979544305107389
aero_scale,1.54,-1.21261193866322,1.04141611292262,64.328578265223,63.9491262212857,133.135035366054,68.3321754641017,1,1,1.21261193866322,1.04141611292262
aero_scale,1.6,-0.317454781974774,1.08407109355051,65.2237354219114,63.9917812019136,113.957866483385,68.5035481303175,1,1,0.317454781974774,1.08407109355051
mmi_inertia_scale,0.75,0.465673397429882,0.81968074506311,66.0068636013161,63.7273908534262,127.165858226131,64.4757535869106,1,1,0.465673397429882,0.81968074506311
mmi_inertia_scale,0.79,0.38996389156047,0.697575574413797,65.9311540954467,63.6052856827769,126.179588340336,64.4965684453344,1,1,0.38996389156047,0.697575574413797
mmi_inertia_scale,0.83,0.248907478024506,0.57981790949686,65.7900976819107,63.4875280178599,128.067284051832,64.7045331432385,1,1,0.248907478024506,0.57981790949686
mmi_inertia_scale,0.87,0.010299761876027,0.47188269511161,65.5514899657622,63.3795928034747,129.978607405419,64.8168584034979,1,1,0.010299761876027,0.47188269511161
mmi_inertia_scale,0.91,0.056939086132985,0.314225796110001,65.5981292900192,63.2219359044731,125.286187070557,64.8231747006687,1,1,0.056939086132985,0.314225796110001
mmi_inertia_scale,0.95,0.128407420944157,0.177613448193711,65.6695976248304,63.0853235565568,122.681856443079,64.8078271006745,1,1,0.128407420944157,0.177613448193711
mmi_inertia_scale,0.99,0.103534884341656,0.0464827583111713,65.6447250882279,62.9541928666742,123.486630564209,64.974113040249,1,1,0.103534884341656,0.0464827583111713
mmi_inertia_scale,1.03,0.0369226143970138,-0.114034927778278,65.5781128182832,62.7936751805848,125.702788660803,64.8373132387411,1,1,0.0369226143970138,0.114034927778278
mmi_inertia_scale,1.07,-0.267272647412128,-0.225981141022878,65.2739175564741,62.6817289673402,123.234668716138,65.1196721238869,1,1,0.267272647412128,0.225981141022878
mmi_inertia_scale,1.11,-0.245206018719699,-0.385095960960463,65.2959841851665,62.5226141474026,123.159256099683,64.9756047792294,1,1,0.245206018719699,0.385095960960463
mmi_inertia_scale,1.15,-0.436097543848547,-0.523955472483991,65.1050926600377,62.3837546358791,123.297611128962,64.8451872018763,1,1,0.436097543848547,0.523955472483991
mmi_inertia_scale,1.19,-0.465772449106794,-0.646272643007343,65.0754177547794,62.2614374653557,126.072787893228,64.9324228329411,1,1,0.465772449106794,0.646272643007343
mmi_inertia_scale,1.23,-0.530672473950787,-0.778432585847334,65.0105177299354,62.1292775225157,123.971874763179,64.8448143833241,1,1,0.530672473950787,0.778432585847334
mmi_inertia_scale,1.27,-0.644477524380875,-0.899881115080987,64.8967126795053,62.0078289932821,124.453045254626,64.8448476749923,1,1,0.644477524380875,0.899881115080987
mmi_inertia_scale,1.31,-0.551139592218675,-1.06997661478395,64.9900506116675,61.8377334935791,123.960621036147,64.8123983118891,1,1,0.551139592218675,1.06997661478395
