controller,condition,theta_rmse_deg,max_abs_theta_deg,max_abs_q_deg_s,control_thd_pct,is_stable
PID,perfect,2.31927015688018,11.3171844687268,36.9692781641634,134.650673082214,1
ADRC,perfect,52.483667191086,80,562.460140437403,44.161528053349,1
PID,realistic,65.8797025544538,80,800,121.619768853715,0
ADRC,realistic,62.0754989675592,80,800,63.4799699704648,1
