p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,under_settling_time_s,over_settling_time_s,regime_label,regime_code,wind_strength,latency_steps,robust_success_threshold,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,nominal_servo_slew_deg_s,nominal_max_gimbal_deg,design_id,rocket_id,boundary_distance,pipeline_layer,dataset_name,schema_version,latency,parameter_vector_id
0.417030851168822,28.2843714006884,11.0490807593903,0.736605383959356,20,32,1,1,1,1,3,5.1012221170134,11.5713252982856,9.75337568825265,11.5713252982856,0.405990016638935,0.998333333333333,3,0,0.124792013311148,0.582362728785358,3,3,EASY,2,0.255834109064031,1,0.35,1.3455202105932,0.0282122455181966,0.0814226851027834,-30.2092766842284,12.3960861318965,45.0294333870936,0.0400598275518011,0.0474657159783142,28.2843714006884,11.0490807593903,1,R0001,2.11819695613465,Exp1,regime_structure,regime-pipeline-v1,3,1
2.18921071847445,96.5829597032321,11.2968016731227,0.753120111541511,20,32,0,0,0,0,0,18.6035887720922,42.2270112386395,3.93011445375273,42.2270112386395,0.695507487520799,1,3,0,0.607321131447587,0.773710482529118,3,3,INFEASIBLE,0,0.376287350660581,4,0.35,2.06070521989436,0.0318372266075143,0.190998966990991,-55.2320518053731,11.0627020418967,30.0559608504273,0.00881056182885053,0.130247960377034,96.5829597032321,11.2968016731227,2,R0002,-1.99107367157892,Exp1,regime_structure,regime-pipeline-v1,3,2
0.576005935200122,20.834942330008,13.4722860493184,0.898152403287891,20,32,0,0,0,0,0,29.8958228151915,75.1323773637741,75.1323773637741,75.1323773637741,0.610648918469218,0.998333333333333,3,0,0.480865224625624,0.765391014975042,3,3,INFEASIBLE,0,0.133478415484679,2,0.35,1.06364896011847,0.0164466805553495,0.0643464597250906,-45.8477740367295,5.66192559932626,33.9541814480612,0.117294187374687,0.174734742351388,20.834942330008,13.4722860493184,3,R0003,-2.02254054476737,Exp1,regime_structure,regime-pipeline-v1,3,3
0.902025133258978,24.3887487401739,8.49041121981922,0.566027414654615,20,32,0,0,0,0,0,33.5088668128149,90,90,90,0.770382695507488,0.996666666666667,3,0,0.708818635607321,0.868552412645591,3,3,INFEASIBLE,0,0.281325126131685,2,0.35,0.911035302056227,0.0266897933207778,0.0723217857192248,-67.5732339620744,11.6944600125768,37.993715830686,0.112313345531099,0.146114277760714,24.3887487401739,8.49041121981922,4,R0004,-2.51687839405766,Exp1,regime_structure,regime-pipeline-v1,3,4
0.757279643175819,20.2485743007543,13.9192820636948,0.927952137579654,20,32,0,0,0,0,0,41.5704147685022,90,90,90,0.880199667221298,0.998333333333333,3,0,0.778702163061564,0.911813643926789,3,3,INFEASIBLE,0,0.180802688284461,6,0.35,2.07419010563088,0.0370722475214449,0.125041021514937,-32.5675449156735,9.98410630914647,37.430347543899,0.0402129686757989,0.236077645912333,20.2485743007543,13.9192820636948,5,R0005,-2.36269986445624,Exp1,regime_structure,regime-pipeline-v1,3,5
1.03232555095632,100.426845107948,8.18670234966873,0.545780156644582,20,8,1,1,1,1,3,0.0772123085154237,0.164726751709782,0.0344317013754188,0.164726751709782,0,0.561666666666667,0,0,0,0,0,0,EASY,2,0.428151532328225,5,0.35,1.26772386372769,0.0360607077720019,0.0950176065072407,-62.8969389299716,9.64447560344068,43.3805641827091,0.0733015063046762,0.0250819654491156,100.426845107948,8.18670234966873,6,R0006,2.31899409097101,Exp1,regime_structure,regime-pipeline-v1,3,6
2.3102960123854,35.0307226395225,8.73802295882967,0.582534863921978,20,32,0,0,0,0,0,17.9340304748121,61.5372575805925,61.5372575805925,61.5372575805925,0.718801996672213,0.993333333333333,3,0,0.600665557404326,0.768718801996672,3,3,INFEASIBLE,0,0.234778212518668,1,0.35,1.25547867094709,0.0129259840494634,0.182050966784224,-58.3038570397247,13.5828656641125,27.3216328785191,0.105342997479748,0.0825095003049588,35.0307226395225,8.73802295882967,7,R0007,-1.95176408463017,Exp1,regime_structure,regime-pipeline-v1,3,7
2.68737554866924,69.7214256992232,13.5116089684049,0.900773931226996,20,8,0,0,0,0,0,90,90,90,90,0.760399334442596,1,3,0,0.497504159733777,0.78369384359401,3,3,INFEASIBLE,0,0.421576378179622,2,0.35,1.93147416436114,0.0220577673311965,0.201387765980977,-68.7942416095913,9.82588800608414,34.4013097385949,0.00582613774853891,0.206945358836783,69.7214256992232,13.5116089684049,8,R0008,-2.45562128002621,Exp1,regime_structure,regime-pipeline-v1,3,8
0.487774320712528,118.79375290557,8.28051967296702,0.552034644864468,20,8,1,1,1,1,3,0.0933609443473512,0.210522121204361,0.00477969614274442,0.210522121204361,0,0.57,0,0,0,0,0,0,EASY,2,0.444046164464707,1,0.35,1.34664191763444,0.0194177393623503,0.0579053167616226,-50.2383156331079,5.5567379255478,46.0394911757031,0.0801410867343613,0.0577736823078368,118.79375290557,8.28051967296702,9,R0009,2.62604679271244,Exp1,regime_structure,regime-pipeline-v1,3,9
1.41502978999373,108.044451192835,8.02401181186181,0.534934120790788,20,32,0,1,0,0.333333333333333,1,16.8971845248694,43.8256922076709,41.9391239627457,43.8256922076709,0.780366056572379,0.998333333333333,3,0,0.665557404326123,0.825291181364393,3,3,INFEASIBLE,0,0.440961423988927,5,0.35,1.96816035196201,0.0312807629724046,0.22092881296634,-30.609445831329,10.3163103798944,29.5628189309942,0.0932137887407869,0.145905138031079,108.044451192835,8.02401181186181,10,R0010,-2.08458605293494,Exp1,regime_structure,regime-pipeline-v1,3,10
0.262983490340395,113.086430429328,13.7764923843275,0.918432825621832,20,32,0,0,0,0,0,18.1476327992824,40.8368468825709,14.564533818594,40.8368468825709,0.683860232945091,0.995,3,0,0.544093178036606,0.760399334442596,2.975,3,INFEASIBLE,0,0.152839447458332,4,0.35,1.46159969389155,0.015555843589087,0.045252055091403,-34.142800058673,10.5720118039709,44.6765131902724,0.037891971914802,0.158874219675233,113.086430429328,13.7764923843275,11,R0011,-1.68248640282852,Exp1,regime_structure,regime-pipeline-v1,3,11
0.948241260984356,56.3756802574198,11.2011298215927,0.746741988106178,20,32,0,0,0,0,0,18.2788255103886,36.7162504088304,33.9312252629022,36.7162504088304,0.720465890183028,0.996666666666667,3,0,0.535773710482529,0.767054908485857,3,3,INFEASIBLE,0,0.353472500162134,1,0.35,1.58160421082979,0.0289460219600257,0.163767769409341,-31.0678850278565,8.38001265148117,37.2652385264792,0.0835639582800067,0.205731762295503,56.3756802574198,11.2011298215927,12,R0012,-2.27902353169112,Exp1,regime_structure,regime-pipeline-v1,3,12
1.15427053024499,91.5514670862098,14.9206868041991,0.994712453613273,20,32,1,1,1,1,3,2.86771955175672,7.18008954705548,3.00540869909564,7.18008954705548,0.193011647254576,0.986666666666667,3,0,0,0.332778702163062,3,3,EASY,2,0.0613817688518923,2,0.35,1.37438410101674,0.0262171641922288,0.130842155965241,-44.6512853777342,7.80960607319489,33.1596131785566,0.0938620034563696,0.0574739190305206,91.5514670862098,14.9206868041991,13,R0013,2.02705158082887,Exp1,regime_structure,regime-pipeline-v1,3,13
0.961046093772542,21.8176566133505,14.5085084877399,0.967233899182662,45,32,0,0,0,0,0,43.290827805198,74.5444061729688,67.0953187155717,74.5444061729688,0.680532445923461,1,3,0,0.597337770382696,0.813643926788686,3,3,INFEASIBLE,0,0.209049081016236,6,0.35,1.50347043044639,0.0141040143047768,0.175207654035584,-32.9297741574954,10.5819849141496,46.6505292358247,0.0132808185443911,0.124157934473815,21.8176566133505,14.5085084877399,14,R0014,-2.06212303547637,Exp1,regime_structure,regime-pipeline-v1,3,14
0.490902732942493,39.7982718013841,12.13640195697,0.809093463797997,20,32,1,1,1,1,3,3.60959715306183,8.43187979914098,0.639607913333567,8.43187979914098,0.299500831946755,0.99,2.93,0,0.104825291181364,0.434276206322795,3,2.99,EASY,2,0.242330355642101,1,0.35,1.14349293291121,0.0180616233670148,0.0537621654987067,-55.4049943173862,8.84831048411122,47.6564615809325,0.0958933036796487,0.058083246544704,39.7982718013841,12.13640195697,15,R0015,1.62071126373818,Exp1,regime_structure,regime-pipeline-v1,3,15
0.656764488187501,30.3327782633368,8.53904926181689,0.569269950787793,20,32,0,0,0,0,0,35.1708530326856,64.5671062870206,17.2546066663681,64.5671062870206,0.858569051580699,0.998333333333333,3,0,0.692179700499168,0.901830282861897,3,3,INFEASIBLE,0,0.278711543701241,4,0.35,1.24714679447873,0.0152119450479976,0.0763065753679408,-51.3751369780131,7.86829107581895,46.1181570960922,0.0696004862210126,0.249584354823519,30.3327782633368,8.53904926181689,16,R0016,-2.10328954380191,Exp1,regime_structure,regime-pipeline-v1,3,16
1.23404391780212,49.2889826238961,12.6769530716717,0.84513020477811,20,32,0,1,0,0.333333333333333,1,7.84241332657498,22.0328068232317,22.0328068232317,22.0328068232317,0.547420965058236,0.993333333333333,3,0,0.254575707154742,0.617304492512479,3,3,INFEASIBLE,0,0.227060645433479,5,0.35,1.89171682845702,0.0119139468486143,0.131370950107651,-56.2453592533597,12.3063655966203,46.4057928628757,0.111248481553215,0.0640808780110443,49.2889826238961,12.6769530716717,17,R0017,-1.89897261713065,Exp1,regime_structure,regime-pipeline-v1,3,17
2.63580257546365,90.9133157575232,11.59389858296,0.772926572197331,20,8,0,0,0,0,0,90,90,90,90,0.717138103161398,0.996666666666667,3,0,0.632279534109817,0.775374376039933,3,3,INFEASIBLE,0,0.275157331453043,3,0.35,1.42500874206613,0.0284917963479638,0.234079803795968,-68.560854911248,11.8902679180621,47.9861535376894,0.0559890453902599,0.242244537032032,90.9133157575232,11.59389858296,18,R0018,-2.47645629406845,Exp1,regime_structure,regime-pipeline-v1,3,18
1.79474361632511,23.0551668419147,12.9211534997539,0.861410233316927,20,32,0,0,0,0,0,71.0335579172489,90,90,90,0.643926788685524,0.998333333333333,3,0,0.610648918469218,0.718801996672213,3,3,INFEASIBLE,0,0.259913281206074,1,0.35,2.07304889297772,0.0228561740104964,0.199412111039558,-45.3625543335509,8.96073282142678,32.8817245925907,0.123356889278738,0.121697597817326,23.0551668419147,12.9211534997539,19,R0019,-2.02065720072661,Exp1,regime_structure,regime-pipeline-v1,3,19
1.23168000206886,21.4153538210175,8.90924483626757,0.593949655751171,20,32,0,0,0,0,0,8.06987747986321,23.5282566866065,23.5282566866065,23.5282566866065,0.552412645590682,0.996666666666667,3,0,0.259567387687188,0.608985024958403,3,3,INFEASIBLE,0,0.366397306316589,5,0.35,1.61750470163294,0.0344208786777714,0.19220656558023,-31.3091445407588,5.18607873792236,30.8989994901451,0.0520169276742758,0.0792760322719438,21.4153538210175,8.90924483626757,20,R0020,-1.71633682917865,Exp1,regime_structure,regime-pipeline-v1,3,20
2.59965983407475,78.068474565935,12.0364320223733,0.802428801491554,20,8,0,0,0,0,0,90,90,90,90,0.733777038269551,0.993333333333333,3,0,0.59234608985025,0.773710482529118,3,3,INFEASIBLE,0,0.0795404055486029,4,0.35,1.68858261971733,0.0338365632264659,0.237398256667065,-64.4265698782774,11.6550982605773,44.8036482596917,0.131154621901044,0.224737671413141,78.068474565935,12.0364320223733,21,R0021,-2.78531864595691,Exp1,regime_structure,regime-pipeline-v1,3,21
2.01140711005576,86.3389723611305,14.6009432288587,0.973396215257248,20,32,0,0,0,0,0,9.35083422085087,29.5230085260961,29.5230085260961,29.5230085260961,0.502495840266223,0.996666666666667,3,0,0.357737104825291,0.645590682196339,3,3,INFEASIBLE,0,0.395439535357136,2,0.35,1.53866035998079,0.0214374050565994,0.17152345409372,-53.6821943549665,11.8505685495246,27.1249497882439,0.0104258301397847,0.0673907574017638,86.3389723611305,14.6009432288587,22,R0022,-1.96251400644149,Exp1,regime_structure,regime-pipeline-v1,3,22
1.48949759381235,97.1970323190518,9.61574934202384,0.641049956134922,20,32,0,0,0,0,0,34.5008613238981,90,90,90,0.8369384359401,0.998333333333333,3,0,0.725457570715474,0.863560732113145,3,3,INFEASIBLE,0,0.443080284466284,2,0.35,0.990860736397036,0.0301579195922534,0.210749587022034,-31.5051068918544,10.991627626072,25.7203648311362,0.0934809562917555,0.220749985518777,97.1970323190518,9.61574934202384,23,R0023,-2.15042940883503,Exp1,regime_structure,regime-pipeline-v1,3,23
