parameter,context,low_value,ref_value,high_value,low_response,ref_response,high_response,response_span,min_local_step,expected_direction,monotonic_pass,local_step_pass,effect_size_pass,overall_pass,response_units,notes
mass,disturbance_response_qdot,0.84,1.2,1.56,1.42857142857143,1,0.769230769230769,-0.659340659340659,0.230769230769231,descending,1,1,1,1,rad/s^2,PASS
Iyy,control_authority_qdot,0.0126,0.018,0.0234,11.4285714285143,7.99999999996,6.15384615381538,-5.2747252746989,1.84615384614462,descending,1,1,1,1,rad/s^2,PASS
static_margin,geometry_qdot,0.05,0.1,0.15,0.25,1,2.25,2,0.75,ascending,1,1,1,1,rad/s^2,PASS
Cm_alpha,geometry_qdot,-78,-52,-26,2.25,1,0.25,-2,0.75,descending,1,1,1,1,rad/s^2,PASS
thrust,control_authority_qdot,24.5,35,45.5,5.599999999972,7.99999999996,10.399999999948,4.799999999976,2.399999999988,ascending,1,1,1,1,rad/s^2,PASS
