regime_label,rockets,best_levers,mean_expected_improvement,mean_tradeoff_score
EASY,14,1,0.07142857142857158,0.2709000503158266
FRAGILE,34,1,0.32352941176470584,0.5780369649925592
INFEASIBLE,120,2,0.3722222222222222,0.5047374893715605
