dominant_missing_physics,count,percentage
DEADBAND_BACKLASH,92,54.761904761904766
SENSOR_LATENCY_NOISE,40,23.809523809523807
NONE,24,14.285714285714285
AERO_UNCERTAINTY_AND_DRIFT,12,7.142857142857142
