design_lever,rows,mean_success_improvement,median_success_improvement,mean_stability_gain,mean_maneuverability_gain,mean_tradeoff
reduce_backlash_50pct,168,0.33730158730158727,0.333333333333333,18.66809652741126,2.380952380952381,0.5000854538021182
increase_servo_slew_20pct,168,0.04365079365079371,0.0,3.4203745790024658,1.1904761904761905,0.0893908216191825
increase_aero_damping_10pct,168,0.003968253968253952,0.0,-0.3534132422142156,0.5952380952380952,0.015726227693026066
reduce_latency_1sample,168,0.0,0.0,0.0,0.0,0.0
increase_gimbal_15pct,168,0.0,0.0,0.0,0.0,0.0
reduce_deadband_50pct,168,-0.027777777777777783,0.0,-1.0006094119017486,0.23809523809523808,-0.0294548236382667
increase_control_effectiveness_10pct,168,-0.06349206349206347,0.0,-1.738938159827651,0.23809523809523808,-0.0856495754816267
