freeze_thr,shield_frac,disturb_gate,mean_rms_keff_amp2,mean_rms_slew_amp2,objective
0,20,0.5,1.33712895656359,0.082037050254778,1.74731420783748
0,40,0.5,1.33712895656359,0.082037050254778,1.74731420783748
0,100,0.5,1.33712895656359,0.082037050254778,1.74731420783748
0,1000000,0.5,1.33712895656359,0.082037050254778,1.74731420783748
0.1,20,0.5,1.33712895656359,0.082037050254778,1.74731420783748
0.1,40,0.5,1.33712895656359,0.082037050254778,1.74731420783748
0.1,100,0.5,1.33712895656359,0.082037050254778,1.74731420783748
0.1,1000000,0.5,1.33712895656359,0.082037050254778,1.74731420783748
0,20,0,1.90924791711614,0.082037050254778,2.31943316839003
0,40,0,1.90924791711614,0.082037050254778,2.31943316839003
0,100,0,1.90924791711614,0.082037050254778,2.31943316839003
0,1000000,0,1.90924791711614,0.082037050254778,2.31943316839003
0.1,20,0,1.90924791711614,0.082037050254778,2.31943316839003
0.1,40,0,1.90924791711614,0.082037050254778,2.31943316839003
0.1,100,0,1.90924791711614,0.082037050254778,2.31943316839003
0.1,1000000,0,1.90924791711614,0.082037050254778,2.31943316839003
0,10,0.5,2.44662320537395,0.082037050254778,2.85680845664784
0.1,10,0.5,2.44662320537395,0.082037050254778,2.85680845664784
0,10,0,4.9306732088369,0.082037050254778,5.34085846011079
0.1,10,0,4.9306732088369,0.082037050254778,5.34085846011079
0.2,40,0,7.13370849755669,0.082037050254778,7.54389374883058
0.2,100,0,8.13315448087798,0.082037050254778,8.54333973215187
0.2,1000000,0,8.13315448087798,0.082037050254778,8.54333973215187
0.2,20,0,11.3316299115935,0.082037050254778,11.7418151628674
0.7,10,0,14.8095396070592,0.082037050254778,15.2197248583331
0.7,10,0.5,15.6742336863943,0.082037050254778,16.0844189376682
0.7,20,0,15.7885902554991,0.082037050254778,16.198775506773
0.7,40,0,15.7902868045205,0.082037050254778,16.2004720557944
0.7,100,0,15.7902868045205,0.082037050254778,16.2004720557944
0.7,1000000,0,15.7902868045205,0.082037050254778,16.2004720557944
0.2,10,0.5,16.5811475647909,0.082037050254778,16.9913328160648
0.7,20,0.5,16.9128905914056,0.082037050254778,17.3230758426795
0.7,40,0.5,16.9128905914056,0.082037050254778,17.3230758426795
0.7,100,0.5,16.9128905914056,0.082037050254778,17.3230758426795
0.7,1000000,0.5,16.9128905914056,0.082037050254778,17.3230758426795
0.2,20,0.5,18.5909664876034,0.082037050254778,19.0011517388773
0.2,40,0.5,19.3350902304179,0.082037050254778,19.7452754816918
0.2,100,0.5,19.7216975591327,0.082037050254778,20.1318828104066
0.2,1000000,0.5,19.7216975591327,0.082037050254778,20.1318828104066
0.4,20,0,35.0295572406606,0.082037050254778,35.4397424919345
0.4,40,0,41.5258856352742,0.082037050254778,41.9360708865481
0.4,100,0,41.5258856352742,0.082037050254778,41.9360708865481
0.4,1000000,0,41.5258856352742,0.082037050254778,41.9360708865481
0.4,10,0.5,103.909415883408,0.082037050254778,104.319601134682
0.4,10,0,105.208079184448,0.082037050254778,105.618264435722
0.2,10,0,128.061137064438,0.082037050254778,128.471322315712
0.4,100,0.5,156.884302647144,0.082037050254778,157.294487898418
0.4,1000000,0.5,156.884302647144,0.082037050254778,157.294487898418
0.4,40,0.5,157.525796140979,0.082037050254778,157.935981392253
0.4,20,0.5,159.197268291275,0.082037050254778,159.607453542548
