scenario_idx,ctrl_idx,seed,rms_pre,rms_post,pk_post
1,1,1,1.58706566020878,327.545948065952,685.188371176416
1,1,2,0.828246277924356,368.559061840529,770.673243923508
1,1,3,0.643549960230916,321.075514708981,663.08522659673
1,1,4,0.673914721726035,356.219322115977,733.535346050993
1,1,5,0.756647962037419,346.468068265932,723.912494996944
1,1,6,1.07007027547021,382.084239977116,950.119063671255
1,1,7,0.984794519088706,372.234683831951,804.121505830023
1,1,8,0.912796205989267,365.606461845712,773.976938606773
1,1,9,0.933424042541924,360.729011111235,748.550352642823
1,1,10,0.652497875792499,361.386023791109,752.657991715619
1,1,11,0.914623171870394,374.465107531031,774.326949482011
1,1,12,0.759448668005157,387.803885028974,864.544456381449
1,1,13,0.577153364906616,348.763743272181,729.260266068514
1,1,14,1.31630620266213,349.18574435748,729.165925431922
1,1,15,0.873461423731749,367.018360059043,795.259952675847
1,1,16,0.726519889459975,353.621303399324,733.867584069376
1,1,17,0.688132412347394,383.012065101032,990.53308709128
1,1,18,0.784297809764127,357.199921290061,752.77322070013
1,1,19,0.630694507035429,370.437478945275,764.105050242676
1,1,20,1.24968520618412,371.201828600622,792.056409751788
1,1,21,0.596764653503408,348.010166296567,717.77866566835
1,1,22,0.599359014337805,335.537311431464,701.216135593166
1,1,23,1.18859588990481,361.714552117464,767.892032557192
1,1,24,1.07330708905069,343.75030480909,712.262872818009
1,1,25,0.970700456120061,367.880224047439,796.246621983224
1,1,26,1.2626825839508,355.541432238038,737.51528259166
1,1,27,0.883415405617094,359.749234056303,743.348126414098
1,1,28,0.987860014164947,382.736493477894,789.141759228278
1,1,29,0.915816029917862,362.656986307308,768.629075073708
1,1,30,1.80523683144044,380.043299578715,798.849263117218
1,2,1,1.41346780288829,371.770666014942,944.744031369271
1,2,2,0.672338997151324,347.313359326956,1086.63215203003
1,2,3,0.34753712316739,328.36250641915,684.091153698628
1,2,4,0.347043158810205,364.731874927111,753.866886777302
1,2,5,0.455370168810592,343.974254046103,1078.86086248039
1,2,6,0.935398156711528,288.383945722098,789.153868079426
1,2,7,0.757431824911304,305.110437630343,633.351505416921
1,2,8,0.713830100140399,351.455829480624,1099.83245244515
1,2,9,0.72294019369874,363.091362805622,1106.68200476691
1,2,10,0.376916183781577,354.99520218048,770.039700213982
1,2,11,0.715601851616454,371.888179679199,799.707415127946
1,2,12,0.566832406223826,390.729169368322,1071.18676239027
1,2,13,0.149797538407892,286.754101613089,881.874293066874
1,2,14,1.18531768056138,328.609598618947,675.368145982693
1,2,15,0.660093991224388,372.612192838129,802.694633331402
1,2,16,0.437780188873185,307.305513919618,974.374244012022
1,2,17,0.35453481285381,286.873905543851,741.692344359343
1,2,18,0.577347139584812,295.572932137234,930.405375994811
1,2,19,0.381081439556444,379.718465742541,809.707149493675
1,2,20,1.05709806896424,383.556023375539,789.888540675536
1,2,21,0.229110320850824,377.520972324188,907.7162327695
1,2,22,0.221498398485298,376.152986436412,909.187942312061
1,2,23,1.14556429701244,376.785674351239,1077.11642622554
1,2,24,0.902058593967013,291.614088595425,891.205827191725
1,2,25,0.789098004739718,376.548590891905,1051.06970593982
1,2,26,1.08426237147329,376.713864521993,1035.41950375377
1,2,27,0.733498746317767,343.145310262553,741.520410138272
1,2,28,0.823656660010966,388.912969281065,972.324844376942
1,2,29,0.739535668665332,342.435460184738,699.736646048531
1,2,30,1.70096519936147,261.939209854943,554.957220195941
1,3,1,1.53701022698768,329.734764075026,683.342004334163
1,3,2,0.77143978324793,372.545915119163,770.274070823669
1,3,3,0.561856030498567,279.702078492696,587.753356645908
1,3,4,0.581712112864182,342.518968187973,701.357161221441
1,3,5,0.672978442019026,311.559212833038,644.058084802713
1,3,6,1.0245809907066,373.57676714478,845.619539121587
1,3,7,0.918074688194606,372.123612999542,782.663053503809
1,3,8,0.857447883546671,367.400977697368,764.4909338702
1,3,9,0.876584934752409,366.562651860407,754.78241066087
1,3,10,0.577468819326982,365.443249162996,753.408999872124
1,3,11,0.856825047172445,366.908391185665,750.462352514787
1,3,12,0.690558779135409,385.580935828505,812.247697880452
1,3,13,0.474636131991457,352.63694358637,732.589994740802
1,3,14,1.27046357282827,351.624691133155,721.952677709955
1,3,15,0.799225231764375,362.236879309154,753.167640649696
1,3,16,0.648286819233918,355.27714666895,730.734764564078
1,3,17,0.60872315167859,371.545304444594,841.958456504855
1,3,18,0.723713983041558,363.999100242759,779.124984592919
1,3,19,0.557526493558384,364.526236537255,744.577250722328
1,3,20,1.19945382481802,375.585604916131,801.457350007132
1,3,21,0.511163894187194,326.112455022816,670.239350782564
1,3,22,0.504874676730926,339.62531921689,711.264921255337
1,3,23,1.16418104036359,363.421534798262,766.030933987455
1,3,24,1.02705159612814,348.346567486475,722.940854835487
1,3,25,0.915875969889961,362.895588023783,754.438622239432
1,3,26,1.21143344243153,338.82364976957,695.981667579194
1,3,27,0.831709336296743,347.726956802788,712.0239916638
1,3,28,0.937384300805861,378.221438204474,769.43469009319
1,3,29,0.848791461900194,364.213989055931,755.661776144339
1,3,30,1.77291606008178,367.691646553082,751.942901041851
1,4,1,1.53911944359405,341.716941961403,707.930220085201
1,4,2,0.766312808499646,380.673260105698,789.528496056084
1,4,3,0.562525428157267,285.490216084991,598.011125365856
1,4,4,0.583991299120572,355.500906123882,725.802423064486
1,4,5,0.669559623641724,316.062010814686,652.298666113837
1,4,6,1.02525035650443,387.969879843216,918.449923889038
1,4,7,0.921426268668723,386.536979302828,824.859607238813
1,4,8,0.855377526345836,379.450702803552,793.367795492443
1,4,9,0.875758154253654,374.012500563601,770.789631160634
1,4,10,0.576393780980601,372.886903788097,769.331638799462
1,4,11,0.852782440801039,375.988732242,768.578883631032
1,4,12,0.692584614490079,395.865369178108,842.882592897067
1,4,13,0.474647078161683,366.191440327932,763.19024439617
1,4,14,1.27084188897872,365.234243562179,748.925486558668
1,4,15,0.802288059680151,373.973392279545,781.381144842675
1,4,16,0.649676020510084,368.283841764698,756.862267067744
1,4,17,0.609343052908421,381.179302157702,881.660955971336
1,4,18,0.724060569893974,376.872026107967,818.024731231548
1,4,19,0.558897326600172,370.558796573541,756.667117220644
1,4,20,1.19541369077271,382.995767817345,822.45850026051
1,4,21,0.510603406961658,334.211992408124,685.214163681826
1,4,22,0.505142317208475,352.430244116998,739.372980653833
1,4,23,1.16610697545123,377.021757956548,802.990516904013
1,4,24,1.03155592380535,361.609367019314,751.508644853573
1,4,25,0.917790672308145,378.50771814329,792.266008583228
1,4,26,1.21446381873183,349.120095130033,715.803577760758
1,4,27,0.832923921398363,349.214593802453,714.936628142002
1,4,28,0.94032987506358,385.753190202653,784.529573825978
1,4,29,0.847604911023069,374.750210453457,780.291641677221
1,4,30,1.77459825710856,377.548493628936,771.432530374115
1,5,1,1.58374619857195,7.41767728915109,12.4222493232296
1,5,2,0.8247806565096,2.40867379943394,5.35765253657939
1,5,3,0.521755730316069,2.78689997321001,8.26072344290384
1,5,4,0.408217267235694,2.29208925379531,4.90714092671505
1,5,5,0.461180182971846,3.30649050559152,7.2022089279931
1,5,6,1.73600511947559,4.12423001083721,10.7681190565532
1,5,7,0.763240046980302,3.67013690631053,7.98945817206178
1,5,8,0.728141553060944,4.29742415511612,12.9680572781848
1,5,9,1.6184116727428,3.49912048314348,8.97933013203704
1,5,10,0.388980880820159,4.11259614803661,9.75211572416386
1,5,11,1.05958153828015,5.34363842548739,10.2102955882371
1,5,12,1.02898185052365,4.76730734427067,13.2704260255467
1,5,13,1.94357779731836,2.78624923485114,8.35697319043673
1,5,14,1.17700339544617,4.5992840700728,7.93353011336254
1,5,15,1.25014708286909,3.46708549455398,8.70746008391472
1,5,16,0.453408854603705,3.05287110675219,6.13270091454737
1,5,17,0.676285876352579,4.60274279749245,14.1170158006692
1,5,18,1.08672752141176,5.9761243050487,12.0985405730021
1,5,19,0.464758661820561,3.11420964493065,10.2972750326089
1,5,20,1.41614489510957,4.50457626119103,9.06064490719474
1,5,21,0.228489432985734,2.6581825754725,6.05881153439495
1,5,22,1.43330958832071,2.11006076634433,4.19084991318359
1,5,23,1.16483613849124,5.77140854077021,10.2704723627928
1,5,24,1.30062385986751,2.60443964078044,5.80449573424068
1,5,25,1.29865063347339,3.62360376371611,8.06568191097826
1,5,26,1.21986856429101,3.67692150430759,9.8153566773018
1,5,27,0.821094006761206,2.96096138772214,7.60036407757042
1,5,28,1.30262087575759,4.93145270055877,10.0157580907792
1,5,29,2.10245239652669,3.04626809925015,11.0285689555744
1,5,30,2.53407712368195,7.42364504480555,17.2046029757452
2,1,1,1.4572122581855,7.09467463039041,10.949581957903
2,1,2,0.58957685203714,1.03908200754887,1.79626402699305
2,1,3,0.361814292868568,1.01030024913453,1.64562529122213
2,1,4,0.37460146718527,1.20760339308445,2.15630503614696
2,1,5,0.444207840921147,2.6916859055666,5.50978887883006
2,1,6,0.882839671235086,2.81351977468241,4.81925555716673
2,1,7,0.787846859592517,3.37323375568812,5.63560098439191
2,1,8,0.736463298301578,2.92830871805066,4.65513101592582
2,1,9,0.741046625858558,1.45247611389019,2.95950216919638
2,1,10,0.401531643073416,3.43046230735353,7.04048040986768
2,1,11,0.738813733139476,4.65743307982055,7.3367075621114
2,1,12,0.542307664062672,3.55818199651438,5.44526609085454
2,1,13,0.130884671383362,1.93841038249647,4.11783239781763
2,1,14,1.21250251982698,3.90558608955853,5.98786904861383
2,1,15,0.637888027530538,3.3631718348516,5.75081791265803
2,1,16,0.483801493835006,2.47464576545264,4.59338415224458
2,1,17,0.357046510926884,2.86019149500218,5.08447499583937
2,1,18,0.584878976089134,5.02558146283979,7.723708281002
2,1,19,0.335445688843829,1.35377240790562,2.4472030256116
2,1,20,1.07260627207728,3.99285231855892,5.97571424068228
2,1,21,0.240722473572127,1.39652498140944,2.64527365050124
2,1,22,0.119446529955525,1.01418663785814,1.69903513895151
2,1,23,1.04369554248194,4.84905504218494,7.37999836002553
2,1,24,0.898628323598864,1.35332469386493,2.91506447877731
2,1,25,0.771073432487772,3.1951595844013,5.60905517055654
2,1,26,1.11135928744942,3.37281904903488,5.39791901456452
2,1,27,0.659679902894285,1.48222391406738,3.03466643387745
2,1,28,0.849377920230027,4.27723088749307,6.38147484584502
2,1,29,0.697131602424855,1.82401642727161,3.27118666476162
2,1,30,1.74842624727187,6.36907130725904,9.35841566545503
2,2,1,1.43439579137371,6.82936249206853,9.97860214339303
2,2,2,0.631314626283945,0.466298558281809,1.19320270364541
2,2,3,0.327661769832318,0.552191684816745,1.0010360938092
