variant,variant_idx,clean_rms_post_deg,clean_peak_post_deg,real_rms_post_deg,real_peak_post_deg,slew_scale_post_mean,keff_gate_post_frac
Full JOINT,1,2.05506486235582,4.74029641050954,3.67013690631053,7.98945817206178,0.174782851585192,0.128226477935054
No keff freeze,2,432.234194276911,1282.65495877543,624.349868529076,1816.48372883332,0.175531283760719,0.0116569525395504
No slew scaling,3,721.782141812203,1540.04118103429,485.295918413219,1058.68164025505,1,0.0233139050791007
Weak sat gate,4,2.92200472020268,7.72956927763763,5.11572733551275,12.436620624394,0.182037646882306,0.19150707743547
keff-RLS baseline,5,297.506326264349,837.992324137763,305.110437630343,633.351505416921,NaN,NaN
