case_name,variant_name,case_idx,variant_idx,seed,disturb_amp,rms_post_deg,peak_post_deg,pos_limited_frac
keff_amp2,JOINT_tuned_candidate,1,8,4,2,1.47443860515039,2.32889212275626,0
keff_amp2,JOINT_tuned_candidate,1,8,5,2,1.47443860515038,2.32889212275613,0
keff_amp2,JOINT_tuned_candidate,1,8,6,2,1.47443860515039,2.32889212275625,0
keff_amp2,JOINT_tuned_candidate,1,8,7,2,1.47443860515038,2.32889212275612,0
keff_amp2,JOINT_tuned_candidate,1,8,8,2,1.47443860515038,2.32889212275615,0
slew_amp2,ADAPTIVE_KEFF_LQR,2,1,1,2,0.0820370502547727,0.116034227713051,NaN
slew_amp2,ADAPTIVE_KEFF_LQR,2,1,2,2,0.0820370502547753,0.116034227713051,NaN
slew_amp2,ADAPTIVE_KEFF_LQR,2,1,3,2,0.0820370502547763,0.116034227713051,NaN
slew_amp2,ADAPTIVE_KEFF_LQR,2,1,4,2,0.0820370502547877,0.116034227713051,NaN
slew_amp2,ADAPTIVE_KEFF_LQR,2,1,5,2,0.0820370502547742,0.116034227713051,NaN
slew_amp2,ADAPTIVE_KEFF_LQR,2,1,6,2,0.0820370502547869,0.116034227713051,NaN
slew_amp2,ADAPTIVE_KEFF_LQR,2,1,7,2,0.0820370502547715,0.116034227713051,NaN
slew_amp2,ADAPTIVE_KEFF_LQR,2,1,8,2,0.0820370502547772,0.116034227713051,NaN
slew_amp2,JOINT_default,2,2,1,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_default,2,2,2,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_default,2,2,3,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_default,2,2,4,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_default,2,2,5,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_default,2,2,6,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_default,2,2,7,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_default,2,2,8,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_pos_guard,2,3,1,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_pos_guard,2,3,2,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_pos_guard,2,3,3,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_pos_guard,2,3,4,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_pos_guard,2,3,5,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_pos_guard,2,3,6,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_pos_guard,2,3,7,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_pos_guard,2,3,8,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_disturb_gate,2,4,1,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_disturb_gate,2,4,2,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_disturb_gate,2,4,3,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_disturb_gate,2,4,4,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_disturb_gate,2,4,5,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_disturb_gate,2,4,6,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_disturb_gate,2,4,7,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_disturb_gate,2,4,8,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_keff_freeze,2,5,1,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_keff_freeze,2,5,2,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_keff_freeze,2,5,3,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_keff_freeze,2,5,4,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_keff_freeze,2,5,5,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_keff_freeze,2,5,6,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_keff_freeze,2,5,7,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_keff_freeze,2,5,8,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_shield,2,6,1,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_shield,2,6,2,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_shield,2,6,3,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_shield,2,6,4,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_shield,2,6,5,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_shield,2,6,6,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_shield,2,6,7,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_shield,2,6,8,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_freeze_no_shield,2,7,1,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_freeze_no_shield,2,7,2,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_freeze_no_shield,2,7,3,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_freeze_no_shield,2,7,4,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_freeze_no_shield,2,7,5,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_freeze_no_shield,2,7,6,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_no_freeze_no_shield,2,7,7,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_no_freeze_no_shield,2,7,8,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_tuned_candidate,2,8,1,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_tuned_candidate,2,8,2,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_tuned_candidate,2,8,3,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_tuned_candidate,2,8,4,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_tuned_candidate,2,8,5,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_tuned_candidate,2,8,6,2,0.265093258614214,0.374920974692547,0
slew_amp2,JOINT_tuned_candidate,2,8,7,2,0.265093258614215,0.374920974692547,0
slew_amp2,JOINT_tuned_candidate,2,8,8,2,0.265093258614214,0.374920974692547,0
