gust_idx,amp_idx,seed,disturb_amp,gust_std,pass,cause_code,rms_post_deg,peak_post_deg,false_sat,late_detection,conf_collapse,authority_exhaust,shield_dominated
1,1,1,1,0.1,1,0,6.96595586108477,11.7053577994009,0,0,1,0,0
1,1,2,1,0.1,1,0,1.31669592252127,3.40245720627076,0,0,1,0,0
1,1,3,1,0.1,1,0,1.15832563038082,2.60762033518985,0,0,1,0,0
1,1,4,1,0.1,1,0,1.26118989377906,2.72295103765027,0,0,1,0,0
1,1,5,1,0.1,1,0,2.95490609054945,6.5868256384224,0,0,1,0,0
1,1,6,1,0.1,1,0,2.70840077256267,5.86265853350906,0,0,1,0,0
1,1,7,1,0.1,1,0,2.80173645300929,6.08383555920789,0,0,1,0,0
1,1,8,1,0.1,1,0,3.06611016738051,5.6559034057936,0,0,1,0,0
1,1,9,1,0.1,1,0,1.84724612390221,5.3172525578687,0,0,1,0,0
1,1,10,1,0.1,1,0,3.94424377078437,8.46745774105747,0,0,1,0,0
1,2,1,1.5,0.1,1,0,6.69060483139049,11.4943397823338,0,0,1,0,0
1,2,2,1.5,0.1,1,0,1.45179317999759,3.88188916020305,0,0,1,0,0
1,2,3,1.5,0.1,1,0,1.74288084326223,4.04403504312257,0,0,1,0,0
1,2,4,1.5,0.1,1,0,1.60444147285296,3.85053246740242,0,0,1,0,0
1,2,5,1.5,0.1,1,0,2.87769810984584,7.26102071342777,0,0,1,0,0
1,2,6,1.5,0.1,1,0,3.04526052797321,5.68638153932029,0,0,1,0,0
1,2,7,1.5,0.1,1,0,3.38915608184353,6.5385828462694,0,0,1,0,0
1,2,8,1.5,0.1,1,0,3.88960657686697,7.28806892879439,0,0,1,0,0
1,2,9,1.5,0.1,1,0,2.39569422173132,6.90829747322652,0,0,1,0,0
1,2,10,1.5,0.1,1,0,3.91518464758102,9.64000580219973,0,0,1,0,0
1,3,1,2,0.1,1,0,6.90130333951278,12.3152028364721,0,0,0,0,0
1,3,2,2,0.1,1,0,2.00528226818748,5.2592786342822,0,0,0,0,0
1,3,3,2,0.1,1,0,1.77493493095328,4.26931718411539,0,0,0,0,0
1,3,4,2,0.1,1,0,1.96803551388802,4.92058031259058,0,0,0,0,0
1,3,5,2,0.1,1,0,2.98386656771475,7.18455734452407,0,0,1,0,0
1,3,6,2,0.1,1,0,2.92196858382738,6.06687719984069,0,0,0,0,0
1,3,7,2,0.1,1,0,3.77994014403654,7.88514604145594,0,0,0,0,0
1,3,8,2,0.1,1,0,3.45380764332024,7.76619846058782,0,0,0,0,0
1,3,9,2,0.1,1,0,2.29027045334455,5.81518984875208,0,0,0,0,0
1,3,10,2,0.1,1,0,4.00721195119062,8.85854576935464,0,0,1,0,0
1,4,1,2.5,0.1,1,0,7.04261281989574,11.6352550253619,0,0,0,0,0
1,4,2,2.5,0.1,1,0,2.1982104798565,5.02827758109313,0,0,0,0,0
1,4,3,2.5,0.1,1,0,2.18834511978098,5.74601492937888,0,0,0,0,0
1,4,4,2.5,0.1,1,0,2.1436612308618,6.59357144774092,0,0,0,0,0
1,4,5,2.5,0.1,1,0,3.05415390045928,7.28170551791623,0,0,0,0,0
1,4,6,2.5,0.1,1,0,3.33369024033306,8.22983727599975,0,0,0,0,0
1,4,7,2.5,0.1,1,0,3.78696794411204,9.02634627900025,0,0,0,0,0
1,4,8,2.5,0.1,1,0,3.52959204969543,7.33581810253392,0,0,0,0,0
1,4,9,2.5,0.1,1,0,2.44702955356353,6.49622126113582,0,0,0,0,0
1,4,10,2.5,0.1,1,0,4.22273539483863,8.78573721942224,0,0,0,0,0
