feature,class_label,grid_value,partial_dependence
p_unstable,EASY,0.4266871508183046,0.29241724983291484
p_unstable,EASY,0.5379678793591963,0.29836843134674407
p_unstable,EASY,0.6492486079000881,0.29666415902415555
p_unstable,EASY,0.7605293364409798,0.3047328795507256
p_unstable,EASY,0.8718100649818714,0.30888237615099223
p_unstable,EASY,0.9830907935227631,0.32338227946977666
p_unstable,EASY,1.094371522063655,0.3190288379803638
p_unstable,EASY,1.2056522506045466,0.31584057263695964
p_unstable,EASY,1.3169329791454383,0.3158280098747842
p_unstable,EASY,1.42821370768633,0.3142962804511229
p_unstable,EASY,1.5394944362272216,0.31282427087517456
p_unstable,EASY,1.6507751647681135,0.3105200904301338
p_unstable,EASY,1.7620558933090051,0.31037849170749193
p_unstable,EASY,1.8733366218498968,0.30474938818711855
p_unstable,EASY,1.9846173503907887,0.2988411452693476
p_unstable,EASY,2.0958980789316803,0.2970843396515725
p_unstable,EASY,2.2071788074725722,0.2932489070845141
p_unstable,EASY,2.3184595360134637,0.29187900793059535
p_unstable,EASY,2.4297402645543555,0.29151407675715707
p_unstable,EASY,2.5410209930952474,0.28562485957199935
p_unstable,FRAGILE,0.4266871508183046,0.20717092011747099
p_unstable,FRAGILE,0.5379678793591963,0.20368279544813508
p_unstable,FRAGILE,0.6492486079000881,0.19253391662264216
p_unstable,FRAGILE,0.7605293364409798,0.18058776350753034
p_unstable,FRAGILE,0.8718100649818714,0.16595579343427727
p_unstable,FRAGILE,0.9830907935227631,0.13463293686229633
p_unstable,FRAGILE,1.094371522063655,0.13443595255888746
p_unstable,FRAGILE,1.2056522506045466,0.1353733731348219
p_unstable,FRAGILE,1.3169329791454383,0.13483558251073738
p_unstable,FRAGILE,1.42821370768633,0.12939136532824896
p_unstable,FRAGILE,1.5394944362272216,0.12865126298518223
p_unstable,FRAGILE,1.6507751647681135,0.12831922588884853
p_unstable,FRAGILE,1.7620558933090051,0.12841966224487256
p_unstable,FRAGILE,1.8733366218498968,0.13950704419246537
p_unstable,FRAGILE,1.9846173503907887,0.14586314395761102
p_unstable,FRAGILE,2.0958980789316803,0.1482638717320574
p_unstable,FRAGILE,2.2071788074725722,0.14638467813327646
p_unstable,FRAGILE,2.3184595360134637,0.1478243165420741
p_unstable,FRAGILE,2.4297402645543555,0.14751427500763845
p_unstable,FRAGILE,2.5410209930952474,0.1451432615152198
p_unstable,INFEASIBLE,0.4266871508183046,0.5004118300496148
p_unstable,INFEASIBLE,0.5379678793591963,0.4979487732051211
p_unstable,INFEASIBLE,0.6492486079000881,0.510801924353202
p_unstable,INFEASIBLE,0.7605293364409798,0.5146793569417444
p_unstable,INFEASIBLE,0.8718100649818714,0.5251618304147304
p_unstable,INFEASIBLE,0.9830907935227631,0.5419847836679275
p_unstable,INFEASIBLE,1.094371522063655,0.5465352094607488
p_unstable,INFEASIBLE,1.2056522506045466,0.5487860542282182
p_unstable,INFEASIBLE,1.3169329791454383,0.5493364076144783
p_unstable,INFEASIBLE,1.42821370768633,0.5563123542206279
p_unstable,INFEASIBLE,1.5394944362272216,0.5585244661396433
p_unstable,INFEASIBLE,1.6507751647681135,0.561160683681018
p_unstable,INFEASIBLE,1.7620558933090051,0.5612018460476356
p_unstable,INFEASIBLE,1.8733366218498968,0.5557435676204167
p_unstable,INFEASIBLE,1.9846173503907887,0.5552957107730419
p_unstable,INFEASIBLE,2.0958980789316803,0.5546517886163703
p_unstable,INFEASIBLE,2.2071788074725722,0.5603664147822094
p_unstable,INFEASIBLE,2.3184595360134637,0.5602966755273308
p_unstable,INFEASIBLE,2.4297402645543555,0.5609716482352045
p_unstable,INFEASIBLE,2.5410209930952474,0.5692318789127812
servo_slew_deg_s,EASY,25.891527775877307,0.2899669549673268
servo_slew_deg_s,EASY,30.64499994917931,0.2908311028257107
servo_slew_deg_s,EASY,35.398472122481316,0.29241024816759664
servo_slew_deg_s,EASY,40.15194429578332,0.3007067992687152
servo_slew_deg_s,EASY,44.905416469085324,0.294170981256945
servo_slew_deg_s,EASY,49.65888864238733,0.2943182332794502
servo_slew_deg_s,EASY,54.41236081568934,0.2958073353007487
servo_slew_deg_s,EASY,59.16583298899134,0.29585853670743834
servo_slew_deg_s,EASY,63.91930516229335,0.2968346463570555
