case_id,controller,regime_name,rate_center_deg_s,tau_actuator_ms,tau_sensor_ms,processing_delay_ms,aero_scale,thrust_scale,rms_angle_error_deg,rms_rate_deg_s,max_abs_angle_deg,max_abs_delta_deg,final_error_deg,unstable,precision_success,mean_abs_alpha_deg,cp_ahead_share,zero_crossings_error,slew_tracking_error_deg,overshoot_error_deg
1,PID,LOW_RATE,40,8,3,1,0.85,0.9,1.29003776343526,6.67663310130648,6.97470802939214,9.99970759730684,-0.028413429244218,0,1,93.9554053038602,0,0,0.0582990912246719,0
1,ADRC,LOW_RATE,40,8,3,1,0.85,0.9,2.03400302951286,5.85114730237286,7.59779698502921,5.77999103943529,0.272434591596778,0,0,95.6107977708899,0,1,0.0249135902437897,0.310955519925308
1,AI,LOW_RATE,40,8,3,1,0.85,0.9,2.05518667890698,5.0498578885782,7.13824142937414,9.62464879697291,-0.870758365711571,0,0,96.7070609343433,0,0,1.75094832847233,0
1,PID,MID_RATE,130,8,3,1,0.85,0.9,3.35038004845955,19.0325442010363,14.8657269722925,9.99999999999102,-0.0296691104717551,0,0,99.7003381988077,0,0,0.0685278913471913,0
1,ADRC,MID_RATE,130,8,3,1,0.85,0.9,4.17300222487333,17.3665575335089,15.0656589628731,9.99990241763534,0.569592605814312,0,0,100.795305546044,0,1,0.04559467219696,0.684679727118519
1,AI,MID_RATE,130,8,3,1,0.85,0.9,113.620029471373,47.1248503045628,191.471117049564,9.99333923051383,-191.471117049564,1,0,83.5377268754484,0,0,5.67465372256646,0
1,PID,HIGH_RATE,250,8,3,1,0.85,0.9,10.2950223750396,47.1638718674289,37.5249980780188,10,-0.0314824240052188,0,0,108.5016887397,0,0,0.0909832346252194,0
1,ADRC,HIGH_RATE,250,8,3,1,0.85,0.9,11.1342352166013,44.2041725862762,37.5249980780188,10,1.60715386335652,0,0,108.198239988854,0,1,0.0500233380813302,2.06425248720656
1,AI,HIGH_RATE,250,8,3,1,0.85,0.9,131.804278163079,58.6861526053924,211.712528630582,9.99766478514893,-211.712528630582,1,0,82.4107073612299,0,0,5.33505438886251,0
2,PID,LOW_RATE,40,25,3,1,0.85,0.9,1.40867718538119,7.53544453458853,7.40030686759214,9.7827828065079,-0.0284816423032153,0,1,94.1993217526976,0,0,0.257324231495305,0
2,ADRC,LOW_RATE,40,25,3,1,0.85,0.9,2.0717468734122,6.52146950036081,8.00634700084213,4.99008344833534,0.273154959248847,0,0,95.6395888499011,0,1,0.0688922336170709,0.311017437561294
2,AI,LOW_RATE,40,25,3,1,0.85,0.9,1.98066679520352,6.46866587057882,7.62365631333872,8.05312513156702,-0.914903966105627,0,1,96.3618160134793,0,0,1.86118214653626,0
2,PID,MID_RATE,130,25,3,1,0.85,0.9,3.84808576948995,21.7929817376454,16.781640774599,9.9988287966576,-0.0298365379240049,0,0,100.318176290032,0,0,0.290088965969373,0
2,ADRC,MID_RATE,130,25,3,1,0.85,0.9,4.50851416357113,19.6844125979567,16.8334543390083,9.87132157198991,0.605900567557007,0,0,101.063660350895,0,1,0.138516781598768,0.726994456920032
2,AI,MID_RATE,130,25,3,1,0.85,0.9,115.11609227712,47.8176643456492,193.114770988698,9.44956885616047,-193.114770988698,1,0,83.293516320092,0,0,5.42941507917893,0
2,PID,HIGH_RATE,250,25,3,1,0.85,0.9,11.6054689959861,52.663478696317,41.6497636347903,9.9999996067442,-0.031588830964712,0,0,109.140418573435,0,0,0.321521593637946,0
2,ADRC,HIGH_RATE,250,25,3,1,0.85,0.9,12.3980109537238,48.6404006185561,41.6497636347903,9.99993731774805,1.79216448332868,0,0,108.715627389433,0,1,0.158953736582624,2.28034912192758
2,AI,HIGH_RATE,250,25,3,1,0.85,0.9,134.645218174364,60.612005451899,214.784895677674,9.07548930304375,-214.784895677674,1,0,81.8429311514958,0,0,5.19982190033806,0
3,PID,LOW_RATE,40,8,15,1,0.85,0.9,1.26286590220697,7.06948126211217,6.97482787232213,9.99994678032762,-0.0283920906933884,0,1,93.8831508618103,0,0,0.122721835708399,0
3,ADRC,LOW_RATE,40,8,15,1,0.85,0.9,2.0191130856573,6.21200467577313,7.73508211505854,5.55520758371811,0.271973456630275,0,0,95.5277639712791,0,1,0.025183812181379,0.311251489739271
3,AI,LOW_RATE,40,8,15,1,0.85,0.9,1.87861840819758,5.7921223032767,7.14551458028412,9.6375906783705,-0.949659820625187,0,1,96.2157730741208,0,0,0.996489338349716,0
3,PID,MID_RATE,130,8,15,1,0.85,0.9,3.31480339650003,19.4015853546628,14.8663136759514,9.99999999999827,-0.0296401091612782,0,0,99.6149944304747,0,0,0.125409210049104,0
3,ADRC,MID_RATE,130,8,15,1,0.85,0.9,3.99136552768457,17.9600687438177,15.272344491805,9.99495921795379,0.534594408958497,0,0,100.459814989771,0,1,0.0487486553378017,0.644069534398719
3,AI,MID_RATE,130,8,15,1,0.85,0.9,115.860588369125,48.3421905009968,195.652877599229,9.99555651376666,-195.652877599229,1,0,82.6358352427986,0,0,3.21609956302625,0
3,PID,HIGH_RATE,250,8,15,1,0.85,0.9,10.2181684957499,48.08066239217,37.5262474468068,10,-0.0314204064780411,0,0,108.37422687886,0,0,0.131766155141424,0
3,ADRC,HIGH_RATE,250,8,15,1,0.85,0.9,10.8907867489289,44.6714480450643,37.5262474468068,10,1.56818487744192,0,0,108.064900901486,0,1,0.054804054920647,2.02222864017842
3,AI,HIGH_RATE,250,8,15,1,0.85,0.9,133.635725645283,59.4226159504788,215.453466023435,9.99962891055266,-215.453466023435,1,0,81.5140178735318,0,0,3.02445229166844,0
4,PID,LOW_RATE,40,25,15,1,0.85,0.9,1.35196186598131,10.505152044558,7.40061833768194,9.86433726970392,-0.0565345843868024,0,1,93.96740631018,0,56,3.05693574429722,0.200560325890349
4,ADRC,LOW_RATE,40,25,15,1,0.85,0.9,2.06304497125337,6.99986506837457,8.1428659565017,4.49845046583328,0.272648976447368,0,0,95.5560584584035,0,1,0.0690705778892494,0.311166260683271
4,AI,LOW_RATE,40,25,15,1,0.85,0.9,1.82874671175429,9.31820862769947,7.62685914260707,8.43480379846849,0.617345930908003,0,1,91.9626661791442,0,1,1.49583152604691,1.5524261964695
4,PID,MID_RATE,130,25,15,1,0.85,0.9,3.77208670997248,23.6393087401365,16.7843855015449,9.99927460654035,0.0285381718395095,0,0,100.053863882125,0,51,2.96723686071893,0.184207519159765
4,ADRC,MID_RATE,130,25,15,1,0.85,0.9,4.24897286783166,20.4831246082061,16.8553926312581,9.76499612775911,0.554008285299605,0,0,100.60062499841,0,1,0.156171237643854,0.664585458393079
4,AI,MID_RATE,130,25,15,1,0.85,0.9,119.326331972722,49.8998543377584,200.719841581078,9.54750959777985,-200.719841581078,1,0,81.6256712432113,0,0,4.14277008092589,0
