scenario,controller,cop_uncertainty,wind_scale,sensor_noise_scale,actuator_delay_ms,adrc_wo_rad_s,success_rate,rms_theta_deg_mean,rms_theta_deg_std,sat_fraction_mean,eso_error_rms,mean_loop_us,loop_utilization
CoP30_Wind25,ADRC,0.3,0.25,0.8,30,6,0.166666666666667,1.60523500488074,0.10976821835137,0,0.258544843448567,4.98026851851852,0.000996053703703703
CoP30_Wind25,ADRC,0.3,0.25,0.8,30,8,0.5,1.49902628753416,0.0712987768014173,0,0.261881641238856,4.98337037037037,0.000996674074074074
CoP30_Wind25,ADRC,0.3,0.25,0.8,30,10,0.833333333333333,1.44208638376448,0.0529422646350844,0,0.264524286109483,4.97260648148148,0.000994521296296296
CoP30_Wind25,ADRC,0.3,0.25,0.8,30,12,1,1.40701874969633,0.0422090217399712,0,0.26735462752561,5.36619444444444,0.00107323888888889
CoP30_Wind25,ADRC,0.3,0.25,0.8,30,14,1,1.38330577587454,0.0362446526075756,0,0.271133156067261,5.29244907407408,0.00105848981481482
CoP30_Wind25,ADRC,0.3,0.25,0.8,30,16,1,1.36684054854353,0.0322409546492346,0,0.276653350036187,5.1754212962963,0.00103508425925926
CoP30_Wind25,ADRC,0.3,0.25,0.8,30,18,1,1.35425067036268,0.0296943737627824,0,0.285096690247123,5.11518518518519,0.00102303703703704
CoP30_Wind25,ADRC,0.3,0.25,1,30,6,0.0555555555555556,1.59768609930766,0.0828746543009502,0,0.252639314309217,5.10662962962963,0.00102132592592593
CoP30_Wind25,ADRC,0.3,0.25,1,30,8,0.666666666666667,1.49601658114031,0.0546890833921344,0,0.25764721296032,5.04633796296296,0.00100926759259259
CoP30_Wind25,ADRC,0.3,0.25,1,30,10,0.944444444444444,1.44156219687354,0.0408012691316442,0,0.262098622446489,5.15857407407407,0.00103171481481481
CoP30_Wind25,ADRC,0.3,0.25,1,30,12,1,1.40772893441935,0.0328066805804953,0,0.266701564693475,5.129,0.0010258
CoP30_Wind25,ADRC,0.3,0.25,1,30,14,1,1.384475575007,0.028002940201445,0,0.272574319220568,5.10064814814815,0.00102012962962963
CoP30_Wind25,ADRC,0.3,0.25,1,30,16,1,1.36765950338255,0.0249997116330881,0,0.281108076704517,5.04506944444444,0.00100901388888889
CoP30_Wind25,ADRC,0.3,0.25,1,30,18,1,1.35457916594301,0.0228052473017903,0,0.294052306704785,5.06956481481482,0.00101391296296296
CoP30_Wind25,ADRC,0.3,0.25,1.25,30,6,0.0555555555555556,1.60594978838595,0.0773340591859903,0,0.261848604402289,5.29168055555556,0.00105833611111111
CoP30_Wind25,ADRC,0.3,0.25,1.25,30,8,0.611111111111111,1.50121724483061,0.0565221643597961,0,0.266563410556171,5.47567592592593,0.00109513518518519
CoP30_Wind25,ADRC,0.3,0.25,1.25,30,10,0.888888888888889,1.4444155231958,0.0468397322767675,0,0.271069523308482,6.28456481481482,0.00125691296296296
CoP30_Wind25,ADRC,0.3,0.25,1.25,30,12,1,1.40864965376042,0.0410868679503329,0,0.276349726828933,6.30743055555556,0.00126148611111111
CoP30_Wind25,ADRC,0.3,0.25,1.25,30,14,1,1.38339657314441,0.0378767831900927,0,0.28409563388055,6.48439351851852,0.0012968787037037
CoP30_Wind25,ADRC,0.3,0.25,1.25,30,16,1,1.36484399180041,0.0355363736191794,0,0.296464383586531,5.632125,0.001126425
CoP30_Wind25,ADRC,0.3,0.25,1.25,30,18,1,1.35083690319901,0.0337322252323683,0,0.315624285744576,5.42307870370371,0.00108461574074074
CoP30_Wind25,ADRC,0.3,0.25,1.5,30,6,0.111111111111111,1.62773645498157,0.108554820748885,0,0.2724482928873,5.85118981481482,0.00117023796296296
CoP30_Wind25,ADRC,0.3,0.25,1.5,30,8,0.444444444444444,1.51602209416118,0.0770802145440727,0,0.276149378090695,5.83801851851852,0.0011676037037037
CoP30_Wind25,ADRC,0.3,0.25,1.5,30,10,0.722222222222222,1.45616218565395,0.0625423209795008,0,0.280532897888937,5.40101851851852,0.0010802037037037
CoP30_Wind25,ADRC,0.3,0.25,1.5,30,12,1,1.41862738442938,0.05432132899587,0,0.286811709031946,5.24590277777778,0.00104918055555556
CoP30_Wind25,ADRC,0.3,0.25,1.5,30,14,1,1.39288342207719,0.0498722430362163,0,0.297029714529271,4.97137962962963,0.000994275925925926
CoP30_Wind25,ADRC,0.3,0.25,1.5,30,16,1,1.37351363890105,0.0465416749377692,0,0.313796582406223,5.0875462962963,0.00101750925925926
CoP30_Wind25,ADRC,0.3,0.25,1.5,30,18,1,1.35920764343051,0.0439096242300414,0,0.339800967540814,5.06360185185185,0.00101272037037037
CoP30_Wind25,ADRC,0.3,0.25,1.75,30,6,0.0555555555555556,1.62967962403322,0.0972632208154321,0,0.264334899742908,5.03646759259259,0.00100729351851852
CoP30_Wind25,ADRC,0.3,0.25,1.75,30,8,0.444444444444444,1.51675519906529,0.0665603366155037,0,0.269418856751505,5.25863425925926,0.00105172685185185
CoP30_Wind25,ADRC,0.3,0.25,1.75,30,10,0.777777777777778,1.45846339452556,0.0522014980387967,0,0.276063618066418,5.41539814814815,0.00108307962962963
CoP30_Wind25,ADRC,0.3,0.25,1.75,30,12,1,1.42281759626273,0.0440909874930449,0,0.285186721235893,5.59102777777778,0.00111820555555556
CoP30_Wind25,ADRC,0.3,0.25,1.75,30,14,1,1.39850541844418,0.0390967185530558,0,0.299411590195638,6.67968981481482,0.00133593796296296
CoP30_Wind25,ADRC,0.3,0.25,1.75,30,16,1,1.38064157497301,0.0360208946956707,0,0.321935498557878,7.40576851851852,0.0014811537037037
CoP30_Wind25,ADRC,0.3,0.25,1.75,30,18,1,1.36822704779737,0.0338733091495003,0,0.355798756129457,8.38009722222222,0.00167601944444444
CoP30_Wind25,ADRC,0.3,0.25,0.8,40,6,0,1.64732326349256,0.072965159637313,0,0.269124159197797,8.7415462962963,0.00174830925925926
CoP30_Wind25,ADRC,0.3,0.25,0.8,40,8,0.222222222222222,1.54671028143418,0.0540605639144937,0,0.274104561062847,8.17913425925926,0.00163582685185185
CoP30_Wind25,ADRC,0.3,0.25,0.8,40,10,0.5,1.49405306322143,0.0433412714498917,0,0.278515320228398,8.85568055555556,0.00177113611111111
CoP30_Wind25,ADRC,0.3,0.25,0.8,40,12,0.833333333333333,1.46076549236599,0.0369161100048805,0,0.282651171162789,7.46258333333334,0.00149251666666667
