rate_center_deg_s,delay_limited_share,aero_limited_share,mixed_interaction_share,model_mismatch_limited_share,unstable_truth_share,stability_mismatch_share,cp_ahead_share_truth,mean_static_margin_cal_truth,dominant_limitation_regime,novelty_opportunity_flag
40,0.9,0,0.1,0,0.0666666666666667,0.0666666666666667,0.70207515289974,-0.260901833818769,DELAY_LIMITED,CP_AHEAD_EXPOSURE_ZONE
130,0.833333333333333,0.0238095238095238,0.142857142857143,0,0.0857142857142857,0.0857142857142857,0.748428166868946,-0.314223918793874,DELAY_LIMITED,CP_AHEAD_EXPOSURE_ZONE
250,0.719047619047619,0.0238095238095238,0.257142857142857,0,0.242857142857143,0.242857142857143,0.781528283477309,-0.41268191641104,DELAY_LIMITED,CP_AHEAD_EXPOSURE_ZONE
